Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14
ADCYAP1R1	Coupled	Coupled	-	-	VIP and PACAP receptors	classB	-48.35236500535072	-2.4269603170868423	65.27483256724324	6.026140672965226	-10.78655776180979	11.446030814583823	7.259471508653677	-3.5821066327930167	9.418758833621855	-3.171679978117522	-8.838851900726794	-6.589703547458343	4.282567459786083	13.696856004266534
ADORA1	Coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	-64.41500178933337	2.5531435060613283	26.860108724143835	0.45208324160477986	-3.512006593096947	-8.79515261964744	-4.977341872813426	0.4967469788087822	11.092528490778296	-15.848933201362609	-17.946361176542364	4.477608798013978	2.747725312187746	9.058683906838569
ADORA2A	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-41.644994017382615	-5.230272582583149	64.58548927570473	6.68128959301912	-9.848586811143257	12.947585931447408	3.478042258745832	1.8364862435302896	11.54072868955643	-2.0915395264008603	-10.085944089903096	-0.38441797105272385	1.9689118888198656	10.823062402806569
ADORA2B	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-47.32252556484198	5.121557481612911	71.4243383082028	11.399056548551062	-8.959454856065479	17.342830020843554	2.99677092657563	-6.192052378300135	5.255780836924433	0.7661330250171321	-14.243205519956257	-4.286948893874967	4.341680130089805	13.12931858227813
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-57.58275174533	-14.432516524633579	-11.870395779751462	-13.8779745172475	4.776350707187993	-6.348182286312033	-3.2805640221393313	-3.6790095925269997	-4.933060026398989	-10.855749604898781	-0.5353079131859796	13.479835601969384	-12.764144393685466	-3.9444492520800303
ADRA1A	Coupled	Coupled	Not-coupled	-	Adrenoceptors	classA	-61.13244162816108	-15.410277463553474	-24.790495759001043	-15.731774587156005	7.235570811302882	-14.833731995125815	-8.14544849088758	6.265202314830345	-0.9170224877462593	-9.832104361498523	0.9256181529662687	9.855873586474063	-7.244382203989462	-4.470690953738623
ADRA1B	Coupled	Coupled	-	-	Adrenoceptors	classA	-60.86157876707969	-11.361223920382601	-30.865796446137594	-12.709600611957743	9.231915692912445	-23.218626278741407	-18.552896535957633	21.356106880649037	4.82890682461172	0.4826307245710824	-9.481190389542013	7.183342125912074	-2.097190656983628	3.286974264942521
ADRA1D	Coupled	Coupled	-	-	Adrenoceptors	classA	-58.94386863874123	-18.22173189743841	-14.479190313189669	-25.75896578935695	13.085278659572335	-11.95486446914624	-14.662734633551242	15.90219061429452	-0.9646919243724417	-1.7839457575406112	11.766380923115431	-4.567974496122838	-3.269738230078516	-3.7249732207858526
ADRA2A	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-55.79353160904649	-22.623474063255436	-10.59342320818248	-26.974415688874483	10.790727565712189	-7.2663158517653175	-4.3647469929953635	12.643819487534232	0.6979670897945263	-10.434669324197138	10.638906337784022	-3.8974320076221716	-7.754478789169401	-0.5720254516500693
ADRA2B	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-48.04071571387702	-27.02187019803481	-8.18101065742648	-23.791593922673272	9.450236288419932	-6.728945229069419	-11.190290993212358	22.696250194495192	2.967258894183497	2.9824976613788117	3.60413150723003	-3.033262770771175	-1.8681015969673564	0.6590835677601646
