Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
ADCYAP1R1	Not-coupled	-	-	-	VIP and PACAP receptors	classB	1.3829934516691187	0.23985732533454643	1.9277410398702277	0.8229222768940747	0.6473751043478163	-1.0037812399820865	-0.5906368859666186	0.2651957418118268	0.13507007201921364	-0.3007238165345232	-0.21858679396720546	0.4112291763189604	-0.0254552224475676	-0.0552086956658445	0.11234096834946626	0.6557504427963011	-0.09765829889606063	0.34152301222148196	0.25631817565294984	-0.09635534096461731
ADORA1	Coupled	-	Coupled	-	Adenosine receptors	classA	1.6796568709671587	0.5614462536092159	0.7974484967115061	0.7000078879318129	-0.21302727642516894	-0.43589828332107844	0.0693405649811739	-0.19889096957758562	-0.16664661481134938	-0.40634008083520357	-0.34811363228849573	0.603158181872886	-0.17315107133756902	-0.16419576136714265	0.34867604555533044	0.3737391949865619	-0.23043836195374048	0.15037614162012933	0.028498007426694	0.029917481857966926
ADORA2A	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	1.234610858494365	0.10997250115874227	1.0357416921547806	0.5946610237492252	-0.13671114894473874	-1.1951178383388912	-0.07191134120875636	0.5116484911500877	-0.07508760636742513	-0.3599039746061094	-0.5705369152732106	0.48616385204447965	0.07096901646145691	-0.01965266701687658	0.19294434769918228	0.25767749947987506	-0.05696759126406237	0.07595030609096189	0.17429427709230372	0.0614131285613288
ADORA2B	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	0.5630112527718113	-1.1365243834251075	1.7219896051580807	0.0913979976051902	0.2110709095556141	-1.0031597235325913	-0.04102449876048285	0.4132940497179154	0.021238629938153227	-0.39607907121713776	-0.24018804923922848	0.3720534516929073	0.08962861668539537	0.11282919732215772	0.14733401944921898	0.48937526767395784	-0.016814014431610468	0.19539269878910243	0.2714179863623196	0.21319417451940367
ADORA3	Coupled	-	Not-coupled	-	Adenosine receptors	classA	1.701478485390817	-0.6461923900753902	-0.15940625545856937	0.545519547338713	-0.42861509934693004	-0.03348042691957407	-0.1508099390492877	-0.1761060785987696	-0.11441179016698771	0.33124764279108304	0.06243245464903636	-0.10539563143301575	-0.26741221831839385	-0.11065628095263903	0.16806673105085262	-0.14194207275049173	-0.2920517690756952	-0.02992576929173798	-0.12401646247342661	0.10728864256055826
ADRA1A	Not-coupled	-	Not-coupled	-	Adrenoceptors	classA	1.227212686807011	-0.3543606940723118	-0.46193454279165713	-0.36956186022040033	-0.7493528482104318	0.24299334276355158	-0.011093763161226792	-0.3093867675441166	0.00026004371322363955	0.16801861464625625	0.08801598260702076	-0.17300494944065353	-0.15272590033997224	0.11133512681239312	0.03659655237767847	-0.22329661309652968	-0.20743134826372658	0.008732556281695327	0.010000529960296396	0.01973271641541453
ADRA1B	Not-coupled	-	-	-	Adrenoceptors	classA	1.4058389668944355	0.5823842487314707	-0.6593450295083424	-0.5706235536380438	-0.9281239984533174	0.4443105838201395	0.0498553334791777	-0.5211776416283092	-0.1647400641483394	-0.16656469013114916	-0.08525725911113897	-0.2718477527398084	-0.08717181424119978	-0.10881915994141923	-0.07808333561893943	-0.34355239146286687	-0.10924653528122028	0.11831496450251096	0.10589383689208134	-0.1426638308959773
ADRA1D	Not-coupled	-	-	-	Adrenoceptors	classA	2.61395022972363	0.8967228338259263	-1.2862352349151427	0.8465071099060162	-1.0465487030619163	0.0755504019309429	-0.38503818215005287	-0.20899454424150077	-0.03392552281244588	-0.46574294613911105	-0.2986833729452483	-0.24997427255648133	-0.024862084772774087	-0.30871419300329317	0.15269965185276507	0.14813760100240916	0.2227976880168033	0.023989085366310562	-0.26394508284044715	-0.3083231624798795
ADRA2A	Coupled	-	Coupled	-	Adrenoceptors	classA	2.0822696273607226	0.7911725544724195	-1.009430012917127	0.6155393225411064	-1.1243258188412966	-0.12202429114925362	-0.30582117508568585	-0.03752453861062124	-0.0052163712511645545	0.027605768285838352	-0.05979531663728206	-0.01819988794626484	0.06477841149979847	-0.3485914280634623	0.3639236286616105	0.28188180339607044	-0.07123632217236993	-0.10789852631839573	-0.2861547620495827	-0.088668134382043
ADRA2B	Coupled	-	Coupled	-	Adrenoceptors	classA	2.696053537373666	1.018023993414009	-1.4988559696162091	0.31496187918758783	-0.8274512044037342	-0.01721076259659073	-0.36352276391992205	0.11910915065734151	0.1235297575310114	-0.6399614697236999	-0.5891810795716477	-0.5342706632271527	0.17193646704911159	-0.17800012620500572	-0.1754211735961736	0.13819063731540668	0.19347239184743492	0.02525181655935051	-0.0948546563976111	-0.36132396609483186
ADRA2C	Coupled	-	Coupled	-	Adrenoceptors	classA	1.7879647248126933	0.8589729366269534	-0.6783261267351808	-0.5391814689887421	-0.9195023537574083	0.1615798520016015	-0.39163985237312193	-0.03819678236705089	0.056573904910451146	0.030353404171098074	-0.22523489133839442	-0.2858291274273037	-0.11153237108426724	0.11065002533006757	-0.09805630592559933	-0.17334340412450908	-0.21102348553733602	0.3523441429399893	0.04541193870159865	0.01950028041579163
ADRB1	Coupled	-	Coupled	-	Adrenoceptors	classA	1.3958368422746916	-0.858852231154005	-0.09153362998463144	0.3318463127312396	-0.5572933271411299	-0.32424967901871604	-0.3192416487533799	0.04845650191867915	-0.05985040123787853	0.5674270889616417	0.21552077320270996	0.16568680210748155	-0.3121648890900427	-0.09591214321073897	0.18250923489908014	-0.35597717586875705	-0.2193990451972726	0.23484523953428316	-0.047090437301821046	-0.09002491861920232
ADRB2	Coupled	-	Coupled	-	Adrenoceptors	classA	0.9926473483064471	1.6903019519434352	-0.392820413161946	-0.8017430450099324	-1.331152721129555	-0.4247182692573416	0.0525170925552649	0.11951123401108507	0.026106898465062374	0.3439530162418848	-0.005523316487778716	0.09681968117754569	-0.011561101437429647	0.3280062910391046	0.13293148824157153	-0.18276451004736646	-0.006128114632140685	0.07460057674817713	0.08271040524753796	0.2287263203295805
ADRB3	Coupled	-	-	-	Adrenoceptors	classA	-1.3323078233485361	-1.451076218297419	-0.5482495190468658	-0.017368810351926254	0.3762099989931717	-0.6435136719922844	0.5252317971240297	0.03485248821053737	0.00987893231384259	0.05268833279486516	0.2512360099552976	-0.16526970461916826	-0.2400284736147875	-0.13938149145168427	0.03909940489229002	0.39327806690193784	-0.016760273823480817	-0.009318694023690961	-0.05537365267546227	0.3808405947477144
AGTR1	Coupled	-	Coupled	-	Angiotensin receptors	classA	-1.0011623675781935	-0.2175121900007382	-0.69518844833001	-0.4493047085268678	0.29420037562053347	-0.4713900634327759	0.2196606092094855	-0.07386501417446825	0.028342818805693823	-0.128529893537968	0.14634164753478526	0.03689504026205762	-0.2182465897073628	-0.28211697972644145	-0.036674935130199766	-0.10466797352825519	-0.13674071039493468	-0.03682932037158775	0.06883920704709624	-0.15393553678631222
APLNR	Coupled	-	Coupled	-	Apelin receptor	classA	0.7726457829787037	0.30981103557056594	0.15520253930663286	0.5536027585170367	1.008122552895194	0.5316675486284685	0.22784210484169776	0.47441467231683104	0.1312298682582436	-0.17880715111573348	0.20096807256686114	-0.5222923390871963	-0.44176517447840247	-0.017563186974506376	0.33620549809602757	-0.22168179355466278	0.09490799075623597	-0.23187163171071126	-0.06770015378807051	-0.24475672385764674
AVPR1A	Not-coupled	-	Coupled	-	Vasopressin and oxytocin receptors	classA	0.0012930244227159354	0.7513036431177283	-0.22823746492996966	-0.39239767743534776	0.08481485751036445	0.5654809490525384	0.8499920563421057	0.3740794967118455	0.16791922894640365	-0.06233304529691463	0.24088663361079446	-0.006252907470285985	-0.30612177022762166	0.10799296229503066	0.6202935843959692	-0.10307335453030424	0.0010886339721141202	-0.3566303094193785	0.025376553174185492	-0.07498372691133585
AVPR1B	Not-coupled	-	-	-	Vasopressin and oxytocin receptors	classA	0.24165768224566564	1.5538413775417315	-0.09299750128305002	-0.2089533561009205	0.29225494976000554	0.3080160112718831	0.7036922956962122	0.8016259851254716	0.14801606688945368	-0.3421291147771161	-0.03080679956351071	-0.21109590075821927	-0.267691909922273	0.12485741946119991	0.48074133317297	-0.19413759752516263	0.2426000856522425	-0.2164576666092808	-0.037390933857705325	-0.12425783316464062
AVPR2	Not-coupled	-	-	-	Vasopressin and oxytocin receptors	classA	-1.5143343797524351	0.2779182196506106	0.056291291981604714	-0.11253328996371462	0.19609007650597365	-0.5964474396883253	0.11507634641643273	-0.14269437631341794	0.011526291463463043	0.26059109520519347	0.5542300449205798	0.15684820966171414	-0.05957003676303967	-0.3204895932590457	0.1649849184739224	0.23415037486734103	0.07770936030343542	0.06067380109337489	0.27235245123191676	-0.08604344924482624
BDKRB1	Coupled	-	Not-coupled	-	Bradykinin receptors	classA	-1.0542492831026444	-0.47755089748196605	0.23482016593345695	-0.010582056729396253	0.473571876717483	-0.273856254558704	0.042804332754728044	-0.3059475845633455	-0.13458051818847686	0.30886687101783317	0.6723696611940781	-0.055306146247023895	-0.33460464588245653	-0.4299826334886507	-0.007122733649234786	0.002440059084089467	0.09835542924819962	0.024299570504093086	0.1462465175534495	-0.1294349190626821
BDKRB2	Coupled	-	Coupled	-	Bradykinin receptors	classA	0.7037659876111083	-0.2622945959340033	-0.3371164294252716	0.19067026085517236	1.0772345647333788	0.24913212591315537	0.37111232603288075	-0.001984210638547467	0.40048531368744905	0.08072989166155738	0.11680614821572659	-0.01736730819602418	0.15782834410862032	0.0012996201398533162	0.3735573805604706	-0.04677765328218123	-0.12131045215601434	0.00154607357786863	0.29562835383372527	-0.040715695302619384
CCKAR	Not-coupled	-	Coupled	-	Cholecystokinin receptors	classA	0.5961276993600908	1.6904603466533492	-0.1921605352297374	-0.3249613806545468	0.7682977491707033	0.36009751100280435	0.26736128045796026	-0.2032546041977112	0.29158841427447774	0.15070757833447657	0.27301364421936036	0.08076445138011598	0.27397459504306915	0.08318621472999921	0.39221327689953567	-0.27312510432627923	-0.21777449536071705	0.08903488138616163	0.26722331531987403	0.001195411213489918
CCKBR	Not-coupled	-	-	-	Cholecystokinin receptors	classA	1.4020890356082367	0.27969688026015904	-0.34544039998216014	-0.15930903798335364	0.0981636547858439	0.25114911949178226	-0.33704938865298034	0.06620822837430637	1.0918911301755183	-0.038334373018332715	0.1740544839249359	0.8164555326156148	-0.23675530330578146	0.16414829420430083	-0.026588132817187693	0.07445080913552359	0.036381359948193685	-0.11180588502748945	0.02093761058752194	-0.06335492092631614
CHRM1	Not-coupled	-	Coupled	-	Acetylcholine receptors (muscarinic)	classA	1.5479806305239907	-1.4447994220914946	-0.18565654839532464	-0.0665263619594722	0.43469676233626303	0.471352469230106	-0.3393357415488405	-0.13639783237071304	0.9990545477859	-0.31051815861174836	0.049106059234988605	0.5057324745774768	-0.2933362283952923	0.21215685814341798	-0.28921450984569214	0.104326404775084	0.1206565650185469	-0.057962872819176545	-0.23276512665616142	0.09495318924565646
CHRM2	Coupled	-	Coupled	-	Acetylcholine receptors (muscarinic)	classA	1.3135976111350487	-1.3565832903250703	-0.35967339630934936	-0.36411185246579886	0.05991979085962288	0.9120906229623003	-0.050055535682608045	-0.5165732814865363	0.6848630892187196	-0.0955619954067135	0.23833645053755523	0.48846442921698396	-0.2991412444143998	0.22827011243738285	-0.12047323614428478	0.08543747450188216	0.07367811641928461	-0.11128592834300498	0.047578731562992777	0.06435617167998148
CHRM3	Not-coupled	-	Coupled	-	Acetylcholine receptors (muscarinic)	classA	1.5739035270465518	-0.7411996270369082	-0.3454079320820319	-0.30413294214754377	0.3618411865729672	0.4347442329485237	-0.3772318412518273	0.00116155226182833	1.0341894922002073	-0.35808671468259134	-0.03462904915738289	0.5044469416047235	-0.18609995316355518	0.17764410184789245	-0.27473421656521707	0.12800062292543074	0.10600787895865778	-0.11474898390864946	-0.008435770020718119	-0.046295100714241276
CHRM4	Coupled	-	Coupled	-	Acetylcholine receptors (muscarinic)	classA	1.2133991844187737	-0.9358432051652877	-0.33333535783977875	-0.28847883724213397	-0.08458271138553192	0.6743362937207485	0.043180270037396475	-0.40076277194870885	0.8180030291958542	-0.1248807903889747	0.14585475791081676	0.6926740710398246	-0.3314495706303793	0.17462215814491439	-0.06753027380931893	0.13346284353665472	0.0930763689923361	-0.20000875854619626	-0.09970830275814609	0.08546865209917284
