Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12
ADCYAP1R1	Not-coupled	Not-coupled	-	-	VIP and PACAP receptors	classB	-42.42903356316108	-23.864178002232578	-54.04366021427423	10.90275206831103	-7.9731932738866815	-18.225507656448052	8.282361372937642	0.3430453856215206	0.03855892373190623	-12.683105026817646	5.046908028309982	15.46740525418621
ADORA1	Coupled	Coupled	Coupled	-	Adenosine receptors	classA	-61.8276292904765	-7.869005214403218	-22.336616288487036	-4.280655965426639	-5.493493487154536	0.5241354007018684	3.1740355898515245	3.9921010847026888	-6.10821356771168	-15.952244118365874	19.171158024392543	9.73629640393516
ADORA2A	Not-coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-34.71545682506312	-27.68289878863726	-52.00930249406477	11.819905789781421	-7.3273933905652315	-20.938392586002177	4.8282769189053125	4.008938414365175	2.555362541365601	-11.576915539004201	9.642348103115308	10.23326691132595
ADORA2B	Not-coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-39.917658827780556	-21.116641384727764	-59.11288795629135	17.61627173764612	-3.289211538215107	-18.89116035608473	8.342978179180198	-4.508847231788723	1.441408513988415	-12.782741419684994	7.198882136856038	12.160368223094489
ADORA3	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-60.59382936729384	-2.9962035005705627	5.827566957294203	-15.789053159040108	2.1759890598372866	4.472473051383425	-1.2549278825003378	-3.1491845682224313	-11.80999981951377	0.5340530137269806	7.77457391252192	-8.600331203964267
ADRA1A	Not-coupled	Not-coupled	Not-coupled	-	Adrenoceptors	classA	-65.80064037018073	0.22924455327324186	16.474706294470067	-21.868059903703553	4.697126472800173	12.09989661457342	-5.282404524330795	4.295391270279664	-5.0443969892462945	2.296520827856557	9.613641474305256	-5.778727586858704
ADRA1B	Not-coupled	Not-coupled	-	-	Adrenoceptors	classA	-68.10298487545829	5.328891730566817	24.008865869048975	-23.45310264267541	4.126695784231265	18.93481308266222	-13.982141222178383	9.085070984981684	9.737176612216924	-1.4384981640574188	12.134897803653605	0.6962355323077347
ADRA1D	Not-coupled	Not-coupled	-	-	Adrenoceptors	classA	-59.410739665589	-7.714210063661554	9.891557993363968	-27.33249035028032	12.830845218489767	8.794396660186546	-10.528199405283129	3.7987992917493645	7.542057837420644	3.7990337695428704	-7.235363919619021	3.4973936224782807
ADRA2A	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	-57.20517103239794	-11.489542201262063	6.841919386174358	-27.279264338602232	10.84402861118257	3.0230078695527767	-8.35726464033115	6.672913749326429	-2.558616066346023	1.9456501174602847	-6.8316941746155075	3.805572962343219
ADRA2B	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	-49.51721515142889	-18.470388091470205	6.991324271912158	-25.74588065523316	11.827854854630731	1.3926371538899063	-14.115853835414963	9.736757750313176	11.437646096169017	3.529094633901928	-4.11724733778638	2.5427060614289734
ADRA2C	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	-61.013865146778876	-11.251626707502185	13.958345024333108	-13.746025396782	5.257874531717252	-3.008728465036194	-13.43837232626962	13.049204548186992	11.264618157992675	-2.5117163506464215	5.934148771166543	0.5325475258044348
ADRB1	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-58.56228949828315	-15.206297397814039	-0.33334398208248306	-7.41465808062635	3.2670443822481947	-10.091008817103726	0.7748344477780528	-3.2104520796300413	-0.8542622927224119	-4.13082416428737	4.287184642828448	-7.460115670006671
ADRB2	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-49.034802645857745	-17.8031120867501	-4.249646838830794	-2.9421977326117075	3.5864855355127463	-10.359656524236295	-14.304783401567871	12.432604736389683	9.572396416474312	-2.2905287447515157	1.4636575896134612	2.931463383427352
ADRB3	Coupled	Not-coupled	-	-	Adrenoceptors	classA	72.40586697130007	-33.93459601831644	-13.6861373517809	-0.485509771792917	7.630659481151378	9.863259615435965	1.844242652560289	-7.713410685089875	-6.342465227214422	-7.478373240795757	-4.030935725997331	-4.610317228277118
AGTR1	Coupled	Coupled	Coupled	-	Angiotensin receptors	classA	53.245587366881004	-37.618600016283665	-1.8904910841519391	-4.356147654302393	6.986201823269915	8.297183577852955	-1.1381181842918804	-4.018722332601189	-4.897692272737004	-7.334682193340743	0.41260674275621323	-4.1687253735022365
APLNR	Coupled	Coupled	Coupled	-	Apelin receptor	classA	-6.7357704921779336	6.038242175099826	24.395842374109797	25.488368252226746	18.67147671820915	2.320715475238185	-16.471438663689128	-6.643316062862051	-12.534605930555868	11.85897885131811	5.553157629220885	-0.49467103429286297
AVPR1A	Not-coupled	Not-coupled	Coupled	-	Vasopressin and oxytocin receptors	classA	-14.39356992603397	6.559340694802462	31.189460618839338	26.044806092470402	17.666262923002254	-0.5747201964123855	-19.9242344837255	-2.657063466535512	-15.148471799634937	9.1062063589893	5.059865510420132	2.0112969150542765
AVPR1B	Not-coupled	Coupled	-	-	Vasopressin and oxytocin receptors	classA	-2.877600299540892	8.480200390678714	17.54193196500915	36.606317904591016	20.465195668008374	-6.307382969648448	-27.251325574577	-1.9478286268922484	-7.721810267163279	6.032548609959302	-1.701208888370885	5.3610893761830045
AVPR2	Not-coupled	Not-coupled	-	-	Vasopressin and oxytocin receptors	classA	55.361442730400675	-23.392453342293994	-14.314442683755974	3.828882247272672	7.255841269287552	10.270108872846578	-0.40763430832270797	-7.575021201967662	-0.12502287307433357	-5.680028872669936	-12.59280750255	1.1617216408937363
BDKRB1	Coupled	Coupled	Not-coupled	-	Bradykinin receptors	classA	36.571068320175335	-10.322971737158376	-2.8023743094650477	-1.7037950620874207	12.69465522174366	16.77271204092221	-1.4019321142724437	-18.180250758172285	4.296435445861178	-4.9083993248345585	-9.017541217682906	-0.14294488066750505
BDKRB2	Coupled	Coupled	Coupled	-	Bradykinin receptors	classA	-10.288688083919618	-26.08611776149081	30.023442145709318	10.338682558361604	-15.062887468284547	-4.792961862000146	-2.379062808529487	-5.202049948535825	-5.999713159590194	3.6097181038811517	-1.0577608455797247	-0.9066520188723308
CCKAR	Not-coupled	Coupled	Coupled	-	Cholecystokinin receptors	classA	-16.005554362283313	-20.549906564087717	37.122588031358134	9.881711938666177	-13.27842049551071	1.3253912817014903	-9.245656004234773	1.6880870403704151	-2.057893317877773	2.636876785134505	0.4411662995172416	4.375796353280116
CCKBR	Not-coupled	Coupled	-	-	Cholecystokinin receptors	classA	-51.42247718827232	-28.561798122283335	14.64665377233449	-23.959761249234166	4.052246146892251	-16.391173237366964	4.2966707205793	7.458489741519977	-9.339735270669305	1.2946602773878235	-8.49983269602876	1.8579650512693433
CHRM1	Not-coupled	Coupled	Coupled	-	Acetylcholine receptors (muscarinic)	classA	-56.86973394918265	-19.6795646999505	16.402721639602905	-25.747848004160634	0.7807684324968309	-13.386756439078797	7.758047883459679	-2.484754489473372	-12.090727204100938	-3.138999236932073	-0.48387577417436733	0.5208105428708979
CHRM2	Coupled	Coupled	Coupled	-	Acetylcholine receptors (muscarinic)	classA	-78.02142466171276	-0.19130165414793399	34.98595076019757	-30.53578335970371	-2.2479757558648625	4.312569486883862	8.681822768527768	-9.366592362293334	-10.500907820081892	2.8419575545786757	-4.211041125982381	1.7849817474168743
CHRM3	Not-coupled	Coupled	Coupled	-	Acetylcholine receptors (muscarinic)	classA	-57.092543099603546	-19.401775307479245	16.885655432105693	-24.335504972551366	-1.2665631069651226	-14.79147570218612	3.5382409434827253	-0.1765683308120823	-7.5665776189029685	-1.4345092868967217	-5.736702849640761	4.89826206549589
CHRM4	Coupled	Coupled	Coupled	-	Acetylcholine receptors (muscarinic)	classA	-72.33458404658431	-3.3389768793961263	28.37353547810025	-29.532888264604708	-2.0068118357235436	-2.4616429865929916	6.050417517679687	-6.136097655754594	-15.01153816586679	-0.4417075979547668	-7.3536141048290675	4.2183177695456875
CHRM5	Not-coupled	Coupled	-	-	Acetylcholine receptors (muscarinic)	classA	-87.20786934150478	34.08413232978726	-9.725849206686668	2.1878803769968744	-5.6790029212904205	21.285725408614468	1.5300105827263035	-18.958839974813923	9.9474054579972	-4.770266030518087	4.282036417809973	6.508158072392333
CNR1	Coupled	Coupled	Coupled	-	Cannabinoid receptors	classA	-66.78857895062805	13.779598995140992	-37.34681393394101	12.12039292281955	-0.324511166547548	12.342583107346654	2.1386048430529008	-0.7786236620993643	0.08699229648084551	-1.9641878573974074	2.3075430493220193	5.3192843478211955
CNR2	Coupled	Coupled	Coupled	-	Cannabinoid receptors	classA	96.53475008829079	12.369436583292961	-9.312476699168561	-8.818837826461158	1.6736702155012886	-6.536442064433812	2.2020435443835753	-0.7985026822505221	-2.6357856319420296	1.2617222230891916	4.907853136212008	0.1566654532854896
CYSLTR1	Coupled	Coupled	Coupled	-	Leukotriene receptors	classA	88.28202641137649	8.582128067192924	-8.206294180721283	-7.361435513680937	4.728992161299654	1.4914221319708478	2.3517622150068753	-2.8786648380414874	1.645386908399892	2.4340539106106696	2.6629976694247977	0.6572202058311403
CYSLTR2	Coupled	Not-coupled	Coupled	-	Leukotriene receptors	classA	-64.6617461935556	-5.505950799505101	4.432236593603105	-10.11096003053822	0.3982884088544989	-7.146331160559553	0.3003872671687974	-7.422213730727598	-6.2312665191422	-3.1735520724931576	1.5582933303999327	-4.246648730976192
DRD1	Not-coupled	Coupled	Coupled	-	Dopamine receptors	classA	-57.72311169474319	-13.247101675847114	2.2665530021077513	-22.614011436663315	-1.4087217294369976	-2.3584061897567126	5.203448634544501	-0.8675423654947361	-9.41209846608749	7.732383110404392	-3.469559565750967	3.4612554939268043
DRD2	Coupled	Coupled	Coupled	-	Dopamine receptors	classA	-45.68038636965289	-21.950716313257928	-8.694942876022033	-16.193520803422683	-1.8969467050732516	-6.239633994099596	3.7841468648956624	1.7746019494569385	-7.792868034316039	8.623479556392647	-6.1510869624709015	5.392466431911051
DRD3	Coupled	Coupled	-	-	Dopamine receptors	classA	-29.399297971139262	-29.716474844691536	-9.087002313432263	-12.730119454562915	4.217115874704213	-11.09287288236451	-18.054600214293515	30.683903105585483	19.220635112097142	2.089959185378594	6.720121929300413	11.808547842464293
DRD4	Coupled	Coupled	-	-	Dopamine receptors	classA	-68.79179213083484	-1.4055632921458272	8.292575624811635	-8.651042781524877	0.882408049793524	-1.2140371115569655	2.343511186460715	-9.943579395253087	0.5205351287922412	-0.4765987863618182	-2.148504095426523	-0.6982299262039786
DRD5	Not-coupled	Coupled	Coupled	-	Dopamine receptors	classA	10.960105699546672	-0.6649643104894974	32.22754452174003	14.771703538284326	-25.547505285260293	2.317872365433145	10.481441652824177	-13.469365350886543	7.660107034240621	-0.6801227534970872	-8.059812616995188	6.715996869596472
EDNRA	Not-coupled	Coupled	Coupled	-	Endothelin receptors	classA	1.107486193587068	3.339580932840835	36.414655432769166	11.872079214454532	-17.1981780376625	12.048335953169243	4.863860084269097	-10.782782942372915	10.725122238090508	3.567783723626849	-10.045292067814376	11.619437575399916
EDNRB	Coupled	Coupled	-	-	Endothelin receptors	classA	41.203480563435484	48.11471383815719	13.393008334678518	-17.74988135174844	1.1369715742761355	7.315147668999074	3.0617879640893513	-10.333138156864155	16.071564794456	8.75184979315923	1.0138730207983693	5.924256545636511
F2R	-	Coupled	Coupled	-	NA	classA	50.600218027174215	42.71373667218437	11.177016239941993	-12.604384040004746	-1.571775320748992	1.5915133460569086	4.510467646220053	-9.534851181760827	6.769488746153971	7.627178990053596	2.8880790385814095	5.214514443448174
F2RL1	-	Coupled	Coupled	-	NA	classA	56.214281646199915	39.981217105159786	-3.2430469564797875	-11.675467501067331	10.10879593685144	3.1084145576804456	-0.09851546184259448	-9.64297532282509	19.58061874313208	8.539040936102563	-7.3229416647605525	7.672223772314789
F2RL2	-	Coupled	-	-	NA	classA	49.3763453436186	33.896027896414914	0.3201949226825315	-12.55291313237238	6.729674405665324	5.21956200555061	-10.350861037920504	9.450797235071393	13.960441288021654	8.870329213281094	0.009072613223428005	9.785213914393756
F2RL3	-	Coupled	-	-	NA	classA	53.31225979752351	18.688948324388683	-31.86397493240217	-2.1601610267762137	8.034981519329952	2.5894130756201377	-7.766166554228198	17.285876898924336	-6.247857388938922	1.269288387178686	-14.19290459486547	4.584458663356172
FFAR1	Coupled	Coupled	-	-	Free fatty acid receptors	classA	57.019665566456986	38.22773808013495	-14.178430083815003	-11.306296436291836	-6.138102506407694	-9.310579503147709	4.398785460046436	20.470032038117267	-11.40056265399233	3.8020594959231597	4.350938447115898	-1.9661069370242905
FFAR2	Coupled	Not-coupled	Not-coupled	-	Free fatty acid receptors	classA	48.097892294936635	37.784571389985274	-16.66181946862167	-17.072533090047838	3.2880964532363697	0.03631232671788693	0.7116484189205299	16.113872708664342	-9.278391398976442	2.6678623246037785	5.250173411887613	-0.6246462756904292
FFAR3	Coupled	Coupled	Not-coupled	-	Free fatty acid receptors	classA	1.5370690770233404	-5.153689221238377	-5.335872235481984	20.816531346443004	5.1140300893121085	5.532356685021501	-10.477046278953706	-12.723429179284338	2.217821417430172	-5.167458298312783	-13.834135511226846	1.910262635830114
FFAR4	Not-coupled	Coupled	-	-	Free fatty acid receptors	classA	63.34994600925025	-21.992341940294992	-22.541102984936956	-5.115890093662218	7.675974255845575	15.55521897377882	-1.6465727111758033	-0.7011647479250875	-5.975529912979377	-8.3019962781218	-8.945078693204021	-6.25406307575994
FPR1	Coupled	Coupled	-	-	Formylpeptide receptors	classA	66.89937006642141	-22.227076997385527	-19.32379077178255	-3.690035006612808	7.721654959080306	13.94470594598817	-1.1668152232329512	-2.5669813260367613	-7.117375518456009	-8.233694045060798	-8.918735934187414	-4.060675113719008
FPR2	Coupled	Not-coupled	-	-	Leukotriene receptors	classA	54.821467335957884	-53.944559225131485	0.580191328601811	20.48660136427868	8.109481391867893	-6.133146124600884	-7.162806747530275	1.6006764383408008	-3.0668335373376174	3.012653078880132	1.9083871943105242	-3.491298361109581
GALR1	Coupled	Coupled	-	-	Galanin receptors	classA	33.502366846077486	-39.49572436060167	15.959558671294902	11.71878633560873	-4.543737419300582	3.3835402484791555	-2.744774968199921	10.327526625125724	-10.7471565498117	0.7674578481572737	10.755264281641491	-0.24996076612827203
GALR2	Coupled	Coupled	-	-	Galanin receptors	classA	40.92014789604964	-40.583970771145154	8.235372998128419	12.486875720354018	-2.7109238741656503	-0.7097338807449133	-14.928834516975531	18.786958526901206	-6.539801724973109	-5.402224699137839	6.885246982344255	4.0890724445339455
GALR3	Coupled	Coupled	-	-	Galanin receptors	classA	36.55275306165474	-33.83820258006272	9.835507863572985	17.062599203950096	-42.277051523820354	-9.148986441180867	17.73995097178135	10.426200791732187	5.947934889324772	0.272736896916522	-8.896878541008492	8.49952822436337
GHSR	Coupled	Coupled	Coupled	-	Ghrelin receptor	classA	-7.265490706335666	34.09707234247481	43.94832888587042	31.904863657862503	65.2548484483386	-11.548411309042494	34.00691225412415	19.64106823072395	8.462766185197577	-11.476787983389295	-5.832221279816503	0.4253967435373968
