Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
ADCYAP1R1	Not-coupled	Not-coupled	-	-	VIP and PACAP receptors	classB	-0.8024541789076653	-0.08135950331891775	0.2902292811852433	-0.10435992990589704	0.3127507420109522	0.05583259218426252	-0.06947976754919179	0.08316287448811628
ADORA1	Not-coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	0.29775555139026677	0.17426841806181348	-0.19379609675784074	-0.11693956133372986	0.15253499075619423	0.1037506087384967	0.09942674108387338	-0.1283436209016309
ADORA2A	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-0.7172042475113134	0.08238101908520326	0.2677396718898771	-0.03010708263509642	0.24949383929311614	0.06033501830077256	0.021649244922284257	0.05137903824339963
ADORA2B	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-1.02919324455692	-0.39595229731932186	0.30972587470512913	-0.29838167487708944	0.05397535911167898	0.06487754394623065	0.09428133204864612	0.09970336803204764
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	0.8118683485210888	-0.25553171834680366	0.02822733384850796	-0.17559773783742985	0.03846637488161334	-0.03848135782922833	0.047898279168863314	-0.08804851874361376
ADRA1A	Coupled	Not-coupled	Not-coupled	-	Adrenoceptors	classA	1.1653159469725922	-0.07766493813210366	0.4868487342010087	0.11118775059616345	-0.14077294539771804	-0.03737472301427802	0.02418479632157943	-0.07927578233270684
ADRA1B	Not-coupled	Not-coupled	-	-	Adrenoceptors	classA	1.2848775288652772	0.22464667172831182	0.8597707386436908	0.38213294676573034	0.023024205195593853	0.22633422081698587	0.2398684832930798	-0.1567406438338182
ADRA1D	Not-coupled	Not-coupled	-	-	Adrenoceptors	classA	1.0189514064695553	0.1357427294640918	0.08851662488730784	0.05244609212648353	0.24112772545145417	-0.28080850422387593	-0.04964169213440168	-0.1671578246848472
ADRA2A	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	0.850327384070875	0.13174145186752734	-0.024166812623067208	-0.11896219865962977	0.10975318117282923	-0.1771275266273031	-0.08522677369544865	-0.0600501590895907
ADRA2B	Not-coupled	Coupled	Coupled	-	Adrenoceptors	classA	0.9970108122080075	0.40078551032582893	0.12448742281136764	0.0031448847094891104	0.2008851776418009	-0.165129599021735	0.12926836500225225	-0.08134676878077762
ADRA2C	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	1.045237024230863	0.30811792600064214	0.22151734103391763	-0.05617649441008436	0.16019121382131993	-0.018212296639959526	-0.06408125303020581	0.08050693296618018
ADRB1	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	0.3145391123593997	-0.18901741295238403	-0.27424445262165176	0.015094306762436116	0.10629822533876702	-0.04321570036578309	0.08090576659426561	-0.19990964560430177
ADRB2	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	0.3673625698771466	0.6292514301076257	-0.13645745677578966	-0.036820098919790004	0.11700027527163835	0.06120475119760998	-0.016859679063082864	0.06846918998316286
ADRB3	Not-coupled	Not-coupled	-	-	Adrenoceptors	classA	-0.5573940782658705	-0.375515135322296	-0.10261711249767362	0.029985971024228116	-0.027281519340075607	0.04785844998001235	-0.07750027778421544	-0.00023307409116405292
AGTR1	Not-coupled	Not-coupled	Coupled	-	Angiotensin receptors	classA	-0.09738486430346882	0.04376167118437071	-0.18621783513462167	0.16550567069506358	-0.05428755851559516	-0.07890759320436906	0.18662534818574725	-0.1868251829415886
APLNR	Not-coupled	Not-coupled	Coupled	-	Apelin receptor	classA	0.48568057746261734	-0.02529194087754149	-0.256798958295684	0.142799750949046	0.10966178763740812	-0.22556717250064295	0.1039969834259818	-0.03365442177438807
AVPR1A	Not-coupled	Not-coupled	Coupled	-	Vasopressin and oxytocin receptors	classA	0.47791204750486466	0.16582479423946447	-0.17381235475619197	-0.1599442094174547	-0.15180157012436674	-0.08291977037015238	-0.059294295259785586	0.01338083389223443
AVPR1B	Not-coupled	Not-coupled	-	-	Vasopressin and oxytocin receptors	classA	-0.09016297152576798	0.5268109850734408	-0.05807911009861023	0.1855107517507809	-0.04683561814244769	-0.05402107326931117	0.005242821224944985	0.06180020912964479
AVPR2	Not-coupled	Not-coupled	-	-	Vasopressin and oxytocin receptors	classA	-0.5680578110008443	0.006058607059424943	0.04592700189919403	-0.08287726638150238	-0.0486643651679895	0.12666723028923335	-0.22869344554112772	-0.1288734821793183
BDKRB1	Not-coupled	Coupled	Not-coupled	-	Bradykinin receptors	classA	-0.09982806420791664	-0.22705136964607855	-0.2759785171978375	-0.07976463643239692	-0.12981387742006828	0.11941181927234068	0.023771503689402333	-0.07284998243166653
BDKRB2	Not-coupled	Coupled	Coupled	-	Bradykinin receptors	classA	0.4901539441201577	-0.17985114603456231	-0.22851833515138334	-0.10586845966834421	-0.13633485221964167	-0.1849879721234617	0.023366729097433907	0.035830164728879337
CCKAR	Not-coupled	Coupled	Coupled	-	Cholecystokinin receptors	classA	0.7176465572628754	0.22340642832319008	-0.03756537336417203	-0.28041923667205265	-0.0071654055725825375	-0.0052133685813748045	-0.05598680060042159	-0.03873505508818584
CCKBR	Not-coupled	Coupled	-	-	Cholecystokinin receptors	classA	0.9297208547204202	-0.006289869994500259	0.018272677019927065	-0.036125168840728306	-0.018735958967863293	-0.28561812280605126	-0.16443413217265676	0.032366799272372106
CHRM1	Not-coupled	Not-coupled	Coupled	-	Acetylcholine receptors (muscarinic)	classA	0.887003956811104	-0.46011472768096967	-0.040897276187804796	0.07186301415769274	0.22409779819388523	-0.14714765334592386	-0.005806332912186716	0.12460776488059865
CHRM2	Not-coupled	Not-coupled	Coupled	-	Acetylcholine receptors (muscarinic)	classA	1.1691287821783962	-0.4800199548004335	0.7784006772705199	0.4795588425576024	-0.2592734562072454	0.08688747602712203	0.11228721292651517	0.12250048543661664
