Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24
ADCYAP1R1	Not-coupled	Not-coupled	-	-	VIP and PACAP receptors	classB	-5.863127018182443	0.38401034139435275	-4.107405792800047	-0.015904112673925223	0.22433506457340247	0.28063999198032136	-5.420752149727146	2.6716741420890497	0.32402037763015284	2.0962838931666115	-1.4529628631660347	0.9010472013747381	2.0011970887997905	1.2715787810323191	1.1488389221109565	1.0572845388809375	-1.511480959427694	-0.24011505247692982	0.7277440579219878	-0.7739809002774303	-1.1634122260807664	-1.747920519785229	1.1588219431351683	-0.24080170404779563
ADORA1	Not-coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	7.238691814553027	1.3542119799963024	0.34688004225750496	-1.854842721883406	-4.625606229760842	6.1919178927604115	0.21385827193599138	1.085124799547907	1.479380512791335	1.786567709115701	-2.3249687298300565	0.7448594161871618	0.4968374204060265	0.6925751277505617	0.14466854752320876	1.166361676535186	-1.6098296405805999	-0.3948140371799066	-0.9987211012504843	-1.2232439663025196	-0.3432179365746802	-0.8956162030481792	0.46092998963442544	-1.0552862403487122
ADORA2A	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-9.184663072028727	-3.355193041933577	-3.9313810397316304	-0.6025263895270088	-0.31551802293584635	3.074121248161334	-3.677296923573156	0.9480032418708614	2.1053906289833453	2.5607624128488795	-2.4930511510970943	-1.2713878823591307	-1.9942425479218737	0.1282484541074691	0.10288292027891985	0.8839788961377291	-0.251043863979181	0.10128851634281628	-0.025115275269931417	-0.9466953177281182	-0.9922065350865692	-0.8925808792243465	0.6535736641155002	-0.3261186357565258
ADORA2B	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-10.156555111766364	2.266607115140283	-6.476608465401999	0.04226644657394829	0.8699446947245324	1.0824134012517497	-6.232812757398381	2.534099856166393	2.45365190117314	-0.5742297322971883	-0.996980541720698	1.9990122378736053	1.4999281521919663	1.0957441420930365	1.1368907242421444	1.0171623350462735	-1.5691329918540087	-0.8067022345080279	1.2025824379729644	-0.8036265207923429	0.7897679834816526	-2.009578895899636	-1.105637964370295	0.6047306998226512
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	15.020185696043345	-0.9427644881950933	-1.8982610340566524	-1.7498305435785975	-0.368096489939416	6.359594447686174	0.5982118924880038	-0.5094310357705938	-0.16123799836005034	1.1475704822387258	-1.0042502195999132	1.5642951457368302	-1.023896792978642	0.3166207915024446	-0.8293963737359447	-1.9686357829223573	-0.206826335905554	-1.4677041367961736	-0.5369402722299853	-0.3901686330765251	-0.17427131567858015	1.6616787202159864	-1.0042019100764983	-0.6491290967537947
ADRA1A	Coupled	Not-coupled	Not-coupled	-	Adrenoceptors	classA	20.359349905449104	-2.578953483790692	2.225519363110623	-1.7084157858658784	-3.778655432746089	5.284455436371423	2.888957693374744	0.3145054426216075	0.5453274847425725	0.1280065164149743	-1.346072603363917	1.38530304375371	-1.1007053233159312	-0.03917036711090258	-1.135336625841108	-1.226404726004683	-0.2430397657099224	-0.8601387907510953	-1.1566693243491348	-1.621568978027634	1.7873031029710837	1.5115414179983464	-0.39112137935794017	-0.25822442091464487
ADRA1B	Not-coupled	Not-coupled	-	-	Adrenoceptors	classA	25.65310760925204	2.801537794865014	4.427268088623692	-5.390582645607501	-2.3020026119406967	-0.06638759209625433	4.86340394777691	2.77962646953122	7.199503170305169	2.1398068919771154	-0.49792417018181057	3.401828365662031	-0.8314373075663687	-0.46213558582076464	-0.562622883999378	-1.0303786635613283	0.9676183537211982	-0.5001043653928628	-1.323082643500715	-1.2452657991165068	-0.5914861891747706	0.5339767052849088	-0.11786676315171593	-0.1726798585768487
ADRA1D	Not-coupled	Not-coupled	-	-	Adrenoceptors	classA	15.584025119952024	-12.59782910869377	5.8534295356747625	-0.7844399426987643	3.0932419290757425	-3.6893874398308797	-0.39965513004120834	-4.538968371339383	-1.2987657340902103	-2.3309133195417253	-4.060365013811573	0.6034736200720735	2.4690591539136624	0.202307176987049	-2.9122634084958916	0.4027736693815611	-0.4109159238249675	1.0870038972960403	-0.5258618041252627	-1.845143687301331	0.5600261658519539	-0.3216505192570852	0.3925575528236531	1.0503927001727178
ADRA2A	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	16.677402275003573	-9.973270985850288	4.871452766196173	-1.7341054409430274	3.7078494772134434	-1.297132392839783	-4.273929128573865	-4.116050923637164	-1.5269016918650247	-0.5743513124652025	-1.5031459914863727	1.6678713312399782	1.9262386590287899	-0.19525810217917933	-1.9643631514984017	0.05443314229160201	0.3464178452710849	1.5094627917510797	-0.700061865456065	-1.1822155951703834	-0.22170928398494724	-1.7002461430912894	0.24049601649819732	-0.4486200507443358
ADRA2B	Not-coupled	Coupled	Coupled	-	Adrenoceptors	classA	14.149663643631824	-12.551045689015288	4.801062906209789	-2.1225404088955986	-0.9406954036048797	-8.32936577358642	-1.1739106070319894	-0.6128287976131426	2.447835805340116	-1.638071558209465	-2.844699676827032	0.23723015075101558	0.8616253218928069	-2.5120345149850807	0.06271363872962063	-1.0281366996322194	0.32955526904315513	-0.09566360243950289	-3.2366026066667595	-1.6078839947577934	1.038173554733836	-0.38646903447203007	-1.0553432787963013	-0.7584437093120734
