Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17
ADCYAP1R1	-	-	-	-	VIP and PACAP receptors	classB	-15.146071750710494	-2.056734517302772	4.385305481395154	-1.6822220013300766	-4.463588720105695	-2.8141099380655556	1.2425849814107104	-1.4053781171385453	3.4908038306478217	-0.20851553344777674	-0.5825742535161448	2.131475775748356	-2.353922478342302	0.2675674428924498	0.6063380639193531	3.561379874149682	0.5498426266834303
ADORA1	-	-	Not-coupled	-	Adenosine receptors	classA	10.385605693082947	0.20781376794206183	-0.7680870666218369	-0.5145003745268135	-3.621865147017865	6.915853273642061	-1.201587045269628	-2.432021633963975	1.9028289412840913	1.818172468256368	0.9145713639944092	2.0776538373605686	-2.1002562120813466	0.6226078999893854	1.5098079771748754	3.400246525588865	-0.6294316865462027
ADORA2A	-	-	Not-coupled	-	Adenosine receptors	classA	-22.04986313822854	-5.242086154573454	2.078738664390986	-2.28749860175541	-4.765529467867735	0.8457814491285834	-0.7625008029088794	-1.5791449983497357	1.1653955882426965	1.8451058278283898	2.2439931752141726	2.5955245765414374	-0.645927269654166	2.7377137855470406	0.29342425960986657	2.612676824128784	0.23834522587963436
ADORA2B	-	-	Not-coupled	-	Adenosine receptors	classA	-20.163353059885438	0.780671614337343	6.050283166009672	-3.5169439993549783	-4.321010797800038	-3.346353785965993	-0.2798670056748624	-2.3422502565409227	3.3804835396935347	2.743446221816705	-1.4552719140234276	-0.008745522126507095	-1.7799908169734908	-0.5621732791243877	0.5778030113612782	3.99156190947869	0.3067446590970918
ADORA3	-	-	Not-coupled	-	Adenosine receptors	classA	17.16085129464061	-4.983903024252176	0.18280180603237772	-2.156291122849184	-1.6399056296742203	4.397390819175328	-3.493928332883336	-3.186432844828129	0.07818452780487621	-0.21569049152548395	2.2897333524354697	-0.8833479358943287	-1.0913081894486139	0.04585762462561968	2.0481050049264473	-0.17386228758157238	-1.794312887894398
ADRA1A	-	-	Not-coupled	-	Adrenoceptors	classA	26.31727433051124	-6.645535406166985	-2.8065369976078687	0.6610401361645151	-1.4920901975862473	7.259630984402795	-1.4337628107424316	-1.0648773726497087	0.7782057878525037	1.2170724053147064	2.3758885922160564	-1.4160961610382394	-0.7332769973601087	-0.4456824652746136	2.0509012428913174	-0.40533954749452866	-1.7658283553533576
ADRA1B	-	-	-	Coupled	Adrenoceptors	classA	35.775006044746455	-2.2415396820423625	-6.169978906756552	0.7168804528207976	1.8993260983183593	4.5688183397368505	3.8179190636620173	0.7485238546043914	3.702325139955097	5.645857432940923	-0.06189440441907056	-0.1812303241365675	0.10693030631321036	1.5534116642847828	3.096737559056753	-0.6658952911433899	-0.40257787010115437
ADRA1D	-	-	-	-	Adrenoceptors	classA	18.231720574069644	-14.809247781383538	-6.730448647386637	3.102992042856564	1.9539859679476115	-3.854079875258858	1.175581885692357	0.8776277606713406	-5.35788255792549	1.6916114759132823	-0.8859738465046754	-0.010702017497359387	-4.59584214277851	-1.0256484877326884	-0.9074349414628019	-1.6907846787432033	-1.1565954262249079
ADRA2A	-	-	Coupled	-	Adrenoceptors	classA	19.312206933731275	-12.999029275100405	-6.076772117115334	2.4919775940101747	-1.631464419776227	-5.359041864140087	0.12642902549130752	-3.0672509449250858	-4.353387665928492	-0.13360976798838692	-2.079944083481329	-0.3307728227609353	-3.5688404536961134	-0.33307637936120565	1.0809488917719865	-1.2300423207074753	-0.5417797098917438
ADRA2B	-	-	Coupled	-	Adrenoceptors	classA	14.41325226696834	-16.055084755448647	-6.351258293516481	2.355679191694461	0.918601849842043	-4.225457485682059	6.3493565884126495	3.73253778156695	-1.5264672784196522	3.7747137669068525	-0.2679035956759368	-0.4348645931940569	-2.2021856240348616	-0.9043684912306712	-0.39251085558437393	-0.5599838375506786	1.711081804405633
ADRA2C	-	-	Coupled	-	Adrenoceptors	classA	11.548502749126635	-10.735549693411018	-3.546636813125831	2.259781095557517	-1.7354464203037	2.9584015919660915	6.797882873757786	3.4077433237757964	3.889730830299309	2.838512088203309	1.2621118235947737	-2.492805588620217	2.145184912172587	-0.16113525716768012	1.1101055055550646	1.0339218275385467	1.3860435865835352
