Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45
ADCYAP1R1	Coupled	Not-coupled	-	-	VIP and PACAP receptors	classB	-2.5418989071351863	-1.754245963635787	-2.687620020403195	-0.8199017198155084	2.790827663871986	2.2911416713464443	-1.1681453278701797	1.6451434885304308	0.1732617057870934	-2.4366693689345325	-0.6827058533610669	-1.4300491132128892	-0.5226915947636475	-0.7230505912815376	1.0097031683982038	0.14569456969891695	-0.7721006510292994	0.10484123981671492	0.06884435502581844	0.4890639936579002	-1.1492425380138134	0.9736547016963346	0.18795747891933431	0.5638978016617759	1.086190973542324	0.0006939001879568864	-1.329863350179536	-1.068148643854586	-0.18243972660679447	-0.023600962008588532	-0.5576838266244275	0.20127387731054225	0.24011601023434495	-0.33507050168483	0.07645232203075694	-0.6312071198274949	-0.0843458042039507	0.1323005992000481	0.7990491091407363	0.9972688730032853	0.7385098998898068	0.34266622499234495	0.14675941268096424	-0.7967359372670445	-1.0366529059887262
ADORA1	Coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	-2.1360024058903893	1.2598818301693016	2.90117302055994	-1.3468596524146261	2.9785187136746036	1.1668383450924613	-0.7084301250351618	-0.44806021017356656	0.5708471324374289	0.21803874307901466	-0.2138581440436307	-0.10389379031668956	-2.2929412264762403	-1.589759073260975	1.2771527305354178	0.339590996992674	-1.5372980514354195	0.009680668416790527	-0.8286813719598897	-0.8833529582172543	1.151587045100225	-0.5325313935533493	0.49496603068806566	0.6133110288377741	0.4446019144343461	0.12551194665068555	0.34586501983124274	0.18848234945156644	-0.7762781121969725	-0.26360852542328767	-0.3539765288585048	0.34263396715488187	-0.084908799010517	0.004987475766794004	0.2836491661910144	-0.6259538136926601	-0.08560088975573829	0.5465318668549938	0.7746947060680079	-0.7428825193342858	0.25692695978923286	-0.032483233736766176	-0.44981887129171977	-0.6673933104033011	-0.7125686062416228
ADORA2A	Coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-8.920125794082729	-0.6441949154831095	1.0227471717034078	-1.042071904764493	3.5266393384358765	-0.843793569081793	-0.948234432616914	1.5056676215562443	0.2590500718290104	0.36629301516596174	-1.1342968011638523	-0.44294987785160517	-1.1599654027084896	-0.19385240849685756	-0.38853573731687574	0.5479730493782295	0.4463693430552009	-1.327267043052751	-0.5642271259024109	-0.22001512142602211	-0.6567007946170349	0.031207169152470057	0.3626076815455106	2.1423125277920856	-0.24183572032831754	-0.7087137884556062	0.01930162902025742	-0.10681010137370445	-0.9650876343711862	0.11952952761927887	-0.3566621167146161	-0.2138278293775753	0.49211536399903383	0.8613724021585151	0.4629934080160171	-0.7474379654653922	-0.11007753729539613	-0.3280818828664407	0.11409364086073726	0.5092122812969808	0.0038324884298618464	0.07961305802009362	-0.0885247612846753	-0.403436976938973	-0.4346041769816198
ADORA2B	Coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-5.340633441405078	-3.553834157282251	-5.421031941969099	-2.892213879498452	1.1165908257397348	0.7856592867247418	0.1612201972681766	-0.7181778281632504	1.3436056971310533	-0.0889694257146229	1.491216808436345	-1.0492278642177255	-0.022443456977014647	0.3140029124421831	0.05742203411474504	1.003780194086922	-0.6700842069334638	0.22611693802462554	0.5949413462282045	0.9413648914107651	-0.7899554216583102	0.7446358601391071	-0.16136786740131112	0.6628922636925715	0.6915474127226625	-0.8862601173632356	-0.41101506403100296	-1.6382716752981115	-0.5612576811728726	-0.6036141303008107	-0.6085446480149673	0.027682781925933965	0.0207917282725888	-0.08241001330278516	0.00041455445555175715	-0.16965426947835327	1.458793253992366	0.15272084679553533	-0.30573508122308246	-0.25355633175666514	1.0383168732717707	0.033327324247436375	-0.6362630892995486	0.45666979874204605	-0.24480545571651974
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-5.629745791454632	3.8502220243625973	3.4029795365429902	-1.7872959142650164	-0.2751393059395292	-0.03907624510712115	-0.9630729092008409	-1.0258469427291745	0.27271804551516277	0.3028802573439747	-1.4141265244835828	0.7663115835390268	-1.4143781891495684	0.9783952190257855	1.1788577155393474	-0.1961194778466336	-0.12388330884317254	1.7829954907722612	-0.23308874935669488	-1.531030401805385	-1.3545911322067201	-0.8422927797115657	-0.042207373431767295	-0.6640176076374952	-0.0717921539725287	0.8475164292679565	-0.11907619818303206	-0.5625547632933514	-0.3345144609343237	-0.5873935718502541	-1.136350937556502	1.2217525518017993	-0.004205742581157023	-1.0489031203055363	-0.7593096247330261	-0.16227077527051728	-0.2763269755668749	-0.9104986258148491	-0.21069541795812344	0.43116147154654205	0.6078051351182365	-0.2428415065164505	0.8406335537253322	0.24397124249804314	-0.2910055169743522
ADRA1A	Coupled	Not-coupled	Not-coupled	-	Adrenoceptors	classA	4.728089384511511	4.295645632058688	3.874871771358938	-1.1536502209852952	-0.16809748826654192	0.7166977395432739	0.25337231624833434	-0.8540129219176289	0.9410171941987303	0.870319615772675	-1.07121977783237	-0.3308415710634684	-0.3886631112491619	-0.601622621467145	1.1747749205993545	-0.712922675169184	-0.31395230882994907	1.6558554646031778	-2.2295969953117547	-0.3092335665343726	-1.1199865743358117	1.7052944554166187	0.0518424921468386	-0.15328264788239082	0.06063545964927115	1.1153485852275749	-0.12210552594394793	-0.34017140436204646	-0.32528204707201136	-0.13337675454003953	0.5307656943779526	-0.24193079387733982	0.0515517770143201	1.0887488604630633	0.1595338041007764	-1.3566385590118402	0.5325569911423074	0.4356324802332935	-0.6832248982479167	0.8671707243777937	0.28089697343108017	-0.6879191286916854	-0.13139365566896502	0.2653041399991354	0.03259324634910594
ADRA1B	Coupled	Not-coupled	-	-	Adrenoceptors	classA	2.506378790267361	3.7264114188695854	7.288568055337784	-1.6905230633751154	2.6102427291791357	-1.551620734234977	0.6203040068023709	-2.1518987820881073	2.8573075191115715	0.9860286394659581	-0.9109009661639467	-1.0864214566078116	-1.129702095699172	2.597408618149309	-0.6088131255940938	-1.3462360656923362	-0.6553205668708763	-0.44683431144190494	-0.153132231294456	1.0071930000823517	-2.2131868128816765	0.9207011280338779	0.8891797252688136	-1.220329839055385	-0.3582909093055607	-0.10525112171836207	-0.23870737553864613	-1.1659713613187905	-0.5200184975168469	-0.5082497872140186	0.039415120733435186	-0.5290336586973539	0.6904910123606919	0.681208991432822	-0.9218153209445058	-0.6641067362193988	-1.2519963535015557	-0.030627460451217302	-0.8587517240537896	0.9617100583973301	-0.329096126984965	1.446200304580274	0.08427854592542336	-0.2705109948754915	0.9532605115158898
ADRA1D	Coupled	Not-coupled	-	-	Adrenoceptors	classA	19.511754701398804	3.3590845132407194	-0.7763554016110492	-1.7070176714562597	1.1031891662308173	0.6105786910096196	0.04396615225232981	0.6059441819883946	3.8059026003487477	-0.11766638763098906	-1.487596242972771	-1.0193393582683237	-1.3234472419315542	-1.1792011993559006	-0.44804048199484575	-1.6009019972741354	0.06401456377372984	0.4109664893659398	0.466027893857495	-0.937854799229046	2.271891242476192	-0.05378958726219689	-0.290220129080773	-1.092921162946792	-0.8156833644490019	0.34219293461471095	0.03215456878107138	-0.8556800530597779	1.828397143520983	-0.8578840853465768	0.6535819495045865	-0.9577146081074687	0.8548804161844054	-0.005694017077276844	1.4540461443924964	-0.01769728840965963	0.7396043778857899	-0.011095291825937447	0.3105727926112527	0.2794567078922332	-0.04985839273247136	0.16384771819276364	-0.20006509772964134	-0.16741435157630252	0.07707738297523765
ADRA2A	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	14.395842434775977	1.3619882111264279	0.055679662909973775	-1.1358645105161083	-0.43384009636902426	2.805672469042877	-0.012932537322444055	1.2186257703692913	1.7654025620544482	-1.1385349481765414	-1.6540000745968322	-0.2970493209009352	-1.4099683541061434	-1.1848616816406334	-1.4411157072263177	-0.9657195028800084	0.07072704290391509	-0.836390263924872	-0.2722592488387001	-1.4132993243792593	1.6011713852267744	-0.992986642976288	-0.037426425722852825	0.004761753827829934	0.026480804578234957	0.2796962066695824	0.3161493148886632	-1.623355001757946	0.4141811672360216	0.33566578236262296	-0.1410651654547201	-0.5630266824954048	-0.30225487244795773	-0.8680067210242691	0.4905043228433544	0.5022842694392502	0.09391137845232446	-1.2637781557639503	0.11306198283330826	0.7795540922224822	-0.1418523782586767	-0.3845197810382307	0.3556668390745739	-0.7170441222915829	0.1685961338009386
ADRA2B	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	18.583930660875577	0.784941896754056	0.45050064389468103	-1.404091791826977	0.4369238681614826	-1.331215794648548	1.1625584415626775	-0.4040587949935629	3.1675295242943373	1.505308270282006	-0.4464595037702558	-1.9474156092672	-1.0726205315507296	1.3801878032264498	-2.7628960252452686	-0.8668288899147815	-1.1530347069169855	0.120551006284719	1.133565818668958	0.4939687522909098	0.1494918489351297	-0.6609775814068125	-0.008816725432345027	-0.04475481959524871	0.5571139640845421	-0.7266694068504621	-0.2782454937405602	0.8336497936359143	-0.44440885262650737	-0.03706490617619519	-0.22735753720176205	-0.61713264938228	0.6091473129297381	0.0007208486819926382	0.6808974602110998	-0.4026514363263828	-1.1585761129800594	-0.5029445975878617	0.2953840211165416	0.35144633523211505	-0.371577383006157	0.6041606505043579	-0.3125181624849356	0.6022469120799891	-0.06228474313205699
