Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23
ADCYAP1R1	-	-	-	-	VIP and PACAP receptors	classB	2.8000216469810555	-32.40097273574419	-7.421128050038876	8.990098303068399	1.8523629907849826	4.186789847006712	-1.1254479025386157	-0.5294440927279166	1.275067856786772	-4.251772906493113	-2.3392920297802866	5.217721495824243	4.874361192467769	1.3566836581517565	6.121983075822035	5.0327855297972794	3.7947964913746954	-5.915467870478708	0.6135989942228242	0.2333192955608524	-1.683428942698571	2.3942519568213667	2.5340562544645024
ADORA1	-	-	Not-coupled	-	Adenosine receptors	classA	-19.471846591892582	-11.744152324648564	-5.466920650555282	2.9746558320891223	3.8638514542043194	-0.8886861100449874	4.267284956487502	-10.67005224591031	3.1650732502560324	-2.2467020102020774	6.410403987831318	1.574415101269558	4.954828954902123	-1.3197835207327415	4.499507552973901	3.9870630107694964	5.55960119492227	-6.591247976881378	-0.39639983231559117	1.6756934811495283	-1.476154118537417	1.4197788301719547	2.1156178514791755
ADORA2A	-	-	Not-coupled	-	Adenosine receptors	classA	8.498221728804177	-36.15582837300725	-14.699995114693449	7.763235776623233	3.6645004125044047	2.280461054816625	-0.016416610829588126	-2.2898078338710572	5.939103660172419	-2.2892826427493755	3.7955233636471757	3.2252020887405384	5.999609506084367	-2.4321572330581804	3.2039627302047986	3.983709543437104	2.2286368924097917	-4.1144345989599875	-1.1597723154991746	1.1784575071558887	-0.34407295946388744	0.9813045885682061	1.0685938634177667
ADORA2B	-	-	Not-coupled	-	Adenosine receptors	classA	9.197233501844996	-35.156543871860094	-7.006235404518844	11.736207112592142	-1.2512818575745908	6.910772943589873	-1.2330926998339007	-0.6716857118348045	3.1522363148054042	-0.07301486381455974	-0.06037106409591672	2.967531156576033	4.288947609977047	1.047867977267108	8.494219784397796	0.9140370094871073	2.951530963460011	-4.617104422095279	3.3332404648897107	-1.3753797161850558	-4.093231378205293	2.3235370803098574	2.8749486435746556
ADORA3	-	-	Not-coupled	-	Adenosine receptors	classA	-27.760417517036306	0.25159509337095903	-5.9666765989403	-0.3757528837732823	-0.27833887459109335	1.6385475135520275	-2.9047907810672675	-8.57655741769341	-3.0934941491879755	-0.48872680019282994	6.7466310440885415	2.4337918556886002	0.8880738403350734	-4.200040660335824	0.8054794896663113	-4.4536142570868025	3.6728831760408474	5.782606067153352	-0.2012349752664542	-0.46396508059214686	0.3070267292820122	2.337599383269038	-1.0150190598874278
ADRA1A	-	-	Not-coupled	-	Adrenoceptors	classA	-37.972153379104846	11.02307642511268	-5.013116034652207	-4.312827768102205	3.897712026956199	-4.119353284032543	1.9885751614628497	-7.162478780823708	-1.644486252988695	-0.3319088173027576	7.959230356854449	1.019181103072571	0.24328449524676746	-1.1410693928198987	-0.8273000315787307	-3.7782402860441398	2.1940559937121784	0.14476064193051422	-0.3205645313271798	0.44176116320538733	0.11575290338371973	-0.7922388532804353	1.6286093149691967
ADRA1B	-	-	-	Coupled	Adrenoceptors	classA	-40.69314127391528	14.040430011729187	-4.635692984461933	-7.009266841773785	8.70588774597921	-7.430486295460389	5.2403736455952385	-1.1379269064906712	7.436051816961916	6.287775899604253	6.318879819633148	3.2621536890856233	3.6645778698404907	2.9099677206125127	-0.784810323116977	-3.3307803651596135	0.8925104249845301	0.7399638889233566	1.2862359080129842	0.6621293948373328	-1.173809007350939	0.5709318737901196	2.158624321022237
ADRA1D	-	-	-	-	Adrenoceptors	classA	-37.75080349502629	11.485981678279245	-8.385942466589361	-7.383028493762337	6.0603540103916504	-5.589330122575685	-1.0994504456324536	6.000705522288462	-4.573211461007776	1.1555910326346666	-2.7023170087258483	-5.122714627304418	-3.173868231909467	-0.1127509351040961	-1.0891633505830636	1.0592114780712516	0.7904384752354168	-4.403021319892741	-2.6801923833164127	6.962615807279412	-3.4958814851600097	1.1320232489580597	0.8898504793478145
ADRA2A	-	-	Coupled	-	Adrenoceptors	classA	-36.16477078139789	6.80665472698343	-8.999800363817684	-6.344984456534547	8.291433384014555	-2.530615942676118	-3.827195239397595	0.3060789620665631	-9.3921197570205	0.036589809471880216	-5.086808312959261	-3.605570519789923	-2.6927016639351256	-0.1225343141833853	1.6802748849891913	-1.3681928874057387	2.2394420149128442	-4.252964962866886	-2.710009287382828	4.905934342895948	-2.0792112767433615	3.2969913271129476	2.336842079950439
ADRA2B	-	-	Coupled	-	Adrenoceptors	classA	-30.56936822798462	4.1246981780183445	-15.593870914334182	-6.746995049182218	11.630484370097554	-5.266626343716346	-2.0966830975033983	8.455021659660735	3.497049361675392	3.3415012605321492	-3.111280425373608	-3.206154648118521	-1.58705924728532	4.500298455814166	-1.3490622806662984	-2.756374893564153	-1.6410606001461983	-3.9262928056457094	-2.261252194586195	3.539729883671752	-2.577644708363854	-0.6582472005548389	2.1515333952421885
