Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17
ADCYAP1R1	Not-coupled	Not-coupled	-	-	VIP and PACAP receptors	classB	-6.198897192433333	-0.7651474506481317	3.3781794090750004	1.3282070039380423	1.2257914876927598	-0.16376929114756583	-1.3986667155525276	0.44018943207733136	-1.7043753607837504	0.005430582651383291	-1.064158672769751	-0.18781015790148584	-0.4448822208514888	-0.17177723297007524	1.0018652666546157	-0.25369246553650054	-0.9826130065654456
ADORA1	Not-coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	-2.1961729483441843	2.069249765794685	3.6517081944374463	0.679507969810259	-0.24192192014734376	1.858107389615905	-0.20453819407152196	-0.19404220567569386	-0.5534732178272254	-0.7289231913472567	-1.2091534114391347	0.862499377958971	-0.8298530137312957	0.9192888736409875	-0.701752311329359	0.18895213926289886	0.5181056176508907
ADORA2A	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-3.3087132422732806	-0.470685049147157	1.5985054419259837	0.035286199926002085	1.5328764409739677	2.050400389098427	-0.30769956937508325	-0.38096443895608767	-1.5221445633693078	-1.285729493076723	0.6050798459103397	-0.06411981943653547	0.594932816483144	-0.5836249764556455	-0.03730601310166405	-0.23044048794938038	0.523985570652231
ADORA2B	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-7.988716700837583	-3.8603593955252813	0.47922940017377497	-0.9979212198598182	0.1493111803344787	-0.197148329977636	0.7928039558641612	-0.014494311138596413	0.6336511733452953	0.8662649614858525	-1.4017574435160123	-0.02463671976234456	1.3141585455754452	-0.5851531564334614	0.8135762418309009	-1.095706532027084	-0.3522490909812529
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	3.204719407174119	-0.2180350637438915	1.1617549682888848	-0.7624010434411108	-1.1576488389262207	0.7196483819506364	-0.03130385058536289	1.806771693094264	-0.36887659595042827	-0.8524730053573972	-0.6916144325108854	0.2482868604630196	-0.2736926638554441	1.2281941563041716	-0.4104962743129973	-0.9241937838197868	1.8584536889390832
ADRA1A	Coupled	Not-coupled	Not-coupled	-	Adrenoceptors	classA	5.684827844307363	2.6268275745736913	1.0004773296478209	-0.32580777280341483	-0.8589956285087252	0.48004781110091277	1.276133226782515	1.0513651062589238	-1.1215931354540187	0.3913279116953869	-1.2369427810491196	-0.5741474719054843	-0.4885494717496963	0.14300708164190534	-0.46903015824653715	-1.6488385899709215	-0.06336112730559271
ADRA1B	Not-coupled	Not-coupled	-	-	Adrenoceptors	classA	7.656850181027047	4.02702177016079	-0.19128200694512387	-1.1858269062324822	0.6119276362103138	1.9110635908370022	1.8332528405816062	3.1925597859825716	-0.3608435334340948	-1.6314202670524494	-1.2039129429622208	-0.016740886318897488	2.378164564374606	-0.2637733270009666	0.6129756232623295	0.006804542304806706	-0.821898564460512
ADRA1D	Not-coupled	Not-coupled	-	-	Adrenoceptors	classA	4.632848603720312	3.975990510895526	4.048073288129563	-0.027241484004995542	1.2696931232074646	-0.719390808951877	1.3804866493851158	1.6434808914915289	-0.4762126448142879	0.36903594278663604	-1.5871738291711432	0.18610361270767448	-1.135935949040319	-0.16420978540872067	-1.3846827382536269	-0.03877064704857267	-0.702326638427075
ADRA2A	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	3.851075573713645	3.1541892055069396	1.7005302498805597	1.3585754634888665	-0.13738277974228152	-0.4470809945057572	0.2561316524277148	1.0998934592090406	-0.42072581600660885	0.5006184981795377	-1.8970316755936083	-0.7189784048543688	-0.48576505930642355	-0.5089753854805539	-1.1730287381848936	1.040481524129398	-0.39996139520581986
ADRA2B	Not-coupled	Coupled	Coupled	-	Adrenoceptors	classA	5.140928215693676	4.757529104845846	0.27881439359009835	-1.686934827591984	1.6348719629287425	-0.221146263923093	2.993758336341611	1.7947251934027035	0.8355754604514933	-0.9807802022426769	-1.9537800591379872	-0.44707357450222385	0.648170944544849	0.4830337310592313	0.2352712907296671	1.5580173770295886	0.22626380230475693
