Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
ADCYAP1R1	Coupled	-	-	-	VIP and PACAP receptors	classB	-41.35954456542481	-27.378214883173335	-45.98314689297364	17.015109815978676	-8.354837388415161	9.888630737475623	5.778864834727356	-1.331756163152219	1.5769062911130214	3.335700643209025
ADORA1	Coupled	-	Coupled	-	Adenosine receptors	classA	-64.83637819721248	-9.837333119729411	-17.230175213729094	-0.18236543778726377	-3.8746483921852257	-5.6520218869338645	5.115644417727483	6.862305772879432	-1.1042186163910552	-3.371085400049298
ADORA2A	Coupled	-	Not-coupled	-	Adenosine receptors	classA	-32.76282993831101	-31.902796261391135	-44.2258104788629	17.011651752777198	-9.902065851540641	14.946156109600398	4.637187772540905	2.0438077034581243	3.9942413401149235	0.24286021066605035
ADORA2B	Coupled	-	Not-coupled	-	Adenosine receptors	classA	-39.70234122099122	-24.960177863502498	-49.339701403709135	24.46486022293687	-2.9199348815676816	10.306442824796433	4.824343689293338	-5.835684149570996	1.2585048066748161	1.0721585755950633
ADORA3	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	-64.0675674280234	-5.393300423101367	3.1199515382168745	-16.24858451195216	1.1860543462715978	-1.21680017394113	-2.754163775353671	2.326266452147812	-9.555718577724482	-1.2549569154143725
ADRA1A	Coupled	-	Not-coupled	-	Adrenoceptors	classA	-70.57631482903302	-0.5608952147573346	13.448778732048341	-22.386177487604428	4.5496039633067795	-7.075051188635186	-1.6929937485120978	9.59210582754673	-2.5029030890350437	-6.287794629546185
ADRA1B	Coupled	-	-	-	Adrenoceptors	classA	-77.42478373236298	6.709436055771557	20.581108245773702	-24.174036577701074	6.185380576135096	-13.887522071214596	-6.240981231212327	11.56684087025113	8.830975166532626	-7.934315077582574
ADRA1D	Coupled	-	-	-	Adrenoceptors	classA	-62.962280242103326	-7.28847702875695	7.952657358764577	-29.23592907581381	11.241355816991057	-4.01806593541267	-8.027431256383549	2.5099905963763387	7.600813432970992	-0.043095969016674465
ADRA2A	Not-coupled	-	Coupled	-	Adrenoceptors	classA	-59.89646120386832	-10.078063481315493	3.8143719271165675	-28.28464558028593	7.726472848891361	-0.7842420999363452	-6.36628434237867	6.0401116470095575	0.5424118261281832	4.348312368474571
ADRA2B	Not-coupled	-	Coupled	-	Adrenoceptors	classA	-53.523745290563674	-17.89947828940539	5.088465894486275	-27.18706093116704	8.369496734310836	2.4031098375984716	-8.432993051368245	6.245584188850483	11.36278626699988	-0.620725802496944
