GPCR	Uniprot_acc	Uniprot_id
ADGRG2	Q8IZP9	AGRG2_HUMAN
LGR6	Q9HBX8	LGR6_HUMAN
ADGRD2	Q7Z7M1	AGRD2_HUMAN
GABBR1	Q9UBS5	GABR1_HUMAN
LGR4	Q9BXB1	LGR4_HUMAN
GABBR2	O75899	GABR2_HUMAN
GPRC6A	Q5T6X5	GPC6A_HUMAN
GRM7	Q14831	GRM7_HUMAN
GRM4	Q14833	GRM4_HUMAN
ADGRF1	Q5T601	AGRF1_HUMAN
GRM8	O00222	GRM8_HUMAN
LGR5	O75473	LGR5_HUMAN
ADGRE1	Q14246	AGRE1_HUMAN
GRM3	Q14832	GRM3_HUMAN
GRM6	O15303	GRM6_HUMAN
ADGRD1	Q6QNK2	AGRD1_HUMAN
GRM2	Q14416	GRM2_HUMAN
TAS1R3	Q7RTX0	TS1R3_HUMAN
TAS1R1	Q7RTX1	TS1R1_HUMAN
TAS1R2	Q8TE23	TS1R2_HUMAN
ADGRE5	P48960	AGRE5_HUMAN
ADGRE2	Q9UHX3	AGRE2_HUMAN
GPR156	Q8NFN8	GP156_HUMAN
ADGRG7	Q96K78	AGRG7_HUMAN
SMO	Q99835	SMO_HUMAN
TSHR	P16473	TSHR_HUMAN
RXFP1	Q9HBX9	RXFP1_HUMAN
RXFP2	Q8WXD0	RXFP2_HUMAN
GPR149	Q86SP6	GP149_HUMAN
ADGRF2	Q8IZF7	AGRF2_HUMAN
FZD6	O60353	FZD6_HUMAN
LHCGR	P22888	LSHR_HUMAN
ADGRF4	Q8IZF3	AGRF4_HUMAN
FSHR	P23945	FSHR_HUMAN
FZD8	Q9H461	FZD8_HUMAN
ADGRG1	Q9Y653	AGRG1_HUMAN
ADGRL4	Q9HBW9	AGRL4_HUMAN
FZD3	Q9NPG1	FZD3_HUMAN
ADGRE3	Q9BY15	AGRE3_HUMAN
FZD1	Q9UP38	FZD1_HUMAN
GPR50	Q13585	MTR1L_HUMAN
GPR37	O15354	GPR37_HUMAN
GPR153	Q6NV75	GP153_HUMAN
GPR107	Q5VW38	GP107_HUMAN
PTH1R	Q03431	PTH1R_HUMAN
FZD9	O00144	FZD9_HUMAN
CHRM3	P20309	ACM3_HUMAN
GPR162	Q16538	GP162_HUMAN
FZD5	Q13467	FZD5_HUMAN
FZD10	Q9ULW2	FZD10_HUMAN
FZD7	O75084	FZD7_HUMAN
ADRA1D	P25100	ADA1D_HUMAN
FZD2	Q14332	FZD2_HUMAN
ADGRA1	Q86SQ6	AGRA1_HUMAN
GLP2R	O95838	GLP2R_HUMAN
PTH2R	P49190	PTH2R_HUMAN
