DimR	Assay	G-protein	Layer	Score
PCA	ebBRET	GoB	2	0.084
PCA	ebBRET	GoB	16	0.072
PCA	ebBRET	GoB	19	0.057
PCA	ebBRET	GoB	20	0.057
PCA	ebBRET	GoB	8	0.054
PCA	ebBRET	GoB	9	0.054
PCA	ebBRET	GoB	10	0.054
PCA	ebBRET	GoB	11	0.054
PCA	ebBRET	GoB	12	0.054
PCA	ebBRET	GoB	13	0.054
PCA	ebBRET	GoB	23	0.054
PCA	ebBRET	GoB	24	0.054
PCA	ebBRET	GoB	14	0.035
PCA	ebBRET	GoB	1	0.032
PCA	ebBRET	GoB	21	0.032
PCA	ebBRET	GoB	0	0.029
PCA	ebBRET	GoB	28	0.029
PCA	ebBRET	GoB	17	0.027
PCA	ebBRET	GoB	26	0.027
PCA	ebBRET	GoB	27	0.027
PCA	ebBRET	GoB	15	0.025
PCA	ebBRET	GoB	18	0.017
PCA	ebBRET	GoB	7	0.014
PCA	ebBRET	GoB	25	0.012
PCA	ebBRET	GoB	29	0.011
PCA	ebBRET	GoB	30	0.011
PCA	ebBRET	GoB	6	0.009
PCA	ebBRET	GoB	31	0.008
PCA	ebBRET	GoB	32	0.008
PCA	ebBRET	GoB	5	0.004
PCA	ebBRET	GoB	22	0.004
PCA	ebBRET	GoB	4	0.001
PCA	ebBRET	GoB	3	0.0
PCA	ebBRET	GoB	33	0.0
PCA	ebBRET	GoA	28	0.057
PCA	ebBRET	GoA	26	0.052
PCA	ebBRET	GoA	27	0.052
PCA	ebBRET	GoA	16	0.049
PCA	ebBRET	GoA	21	0.047
PCA	ebBRET	GoA	6	0.036
PCA	ebBRET	GoA	29	0.03
PCA	ebBRET	GoA	30	0.03
PCA	ebBRET	GoA	19	0.028
PCA	ebBRET	GoA	20	0.028
PCA	ebBRET	GoA	25	0.025
PCA	ebBRET	GoA	8	0.024
PCA	ebBRET	GoA	9	0.024
PCA	ebBRET	GoA	10	0.024
PCA	ebBRET	GoA	11	0.024
PCA	ebBRET	GoA	12	0.024
PCA	ebBRET	GoA	13	0.024
PCA	ebBRET	GoA	23	0.024
PCA	ebBRET	GoA	24	0.024
PCA	ebBRET	GoA	31	0.024
PCA	ebBRET	GoA	32	0.024
PCA	ebBRET	GoA	7	0.011
PCA	ebBRET	GoA	22	0.01
PCA	ebBRET	GoA	2	0.008
PCA	ebBRET	GoA	5	0.008
PCA	ebBRET	GoA	4	0.006
PCA	ebBRET	GoA	0	0.004
PCA	ebBRET	GoA	15	0.003
PCA	ebBRET	GoA	18	0.002
PCA	ebBRET	GoA	33	0.001
PCA	ebBRET	GoA	1	0.0
PCA	ebBRET	GoA	3	0.0
PCA	ebBRET	GoA	14	0.0
PCA	ebBRET	GoA	17	0.0
PCA	ebBRET	GNAZ	1	0.068
PCA	ebBRET	GNAZ	2	0.057
PCA	ebBRET	GNAZ	6	0.036
PCA	ebBRET	GNAZ	19	0.027
