DimR	Assay	G-protein	Layer	Score
UMAP	ebBRET	GoB	3	0.072
UMAP	ebBRET	GoB	2	0.059
UMAP	ebBRET	GoB	1	0.046
UMAP	ebBRET	GoB	0	0.029
UMAP	ebBRET	GoB	9	0.006
UMAP	ebBRET	GoB	24	0.006
UMAP	ebBRET	GoB	4	0.005
UMAP	ebBRET	GoB	27	0.004
UMAP	ebBRET	GoB	29	0.004
UMAP	ebBRET	GoB	31	0.004
UMAP	ebBRET	GoB	32	0.004
UMAP	ebBRET	GoB	10	0.003
UMAP	ebBRET	GoB	11	0.003
UMAP	ebBRET	GoB	12	0.003
UMAP	ebBRET	GoB	33	0.003
UMAP	ebBRET	GoB	25	0.002
UMAP	ebBRET	GoB	5	0.001
UMAP	ebBRET	GoB	6	0.001
UMAP	ebBRET	GoB	30	0.001
UMAP	ebBRET	GoB	7	0.0
UMAP	ebBRET	GoB	8	0.0
UMAP	ebBRET	GoB	13	0.0
UMAP	ebBRET	GoB	14	0.0
UMAP	ebBRET	GoB	15	0.0
UMAP	ebBRET	GoB	16	0.0
UMAP	ebBRET	GoB	17	0.0
UMAP	ebBRET	GoB	18	0.0
UMAP	ebBRET	GoB	19	0.0
UMAP	ebBRET	GoB	20	0.0
UMAP	ebBRET	GoB	21	0.0
UMAP	ebBRET	GoB	22	0.0
UMAP	ebBRET	GoB	23	0.0
UMAP	ebBRET	GoB	26	0.0
UMAP	ebBRET	GoB	28	0.0
UMAP	ebBRET	GoA	3	0.041
UMAP	ebBRET	GoA	1	0.032
UMAP	ebBRET	GoA	2	0.029
UMAP	ebBRET	GoA	10	0.017
UMAP	ebBRET	GoA	11	0.017
UMAP	ebBRET	GoA	12	0.017
UMAP	ebBRET	GoA	25	0.013
UMAP	ebBRET	GoA	7	0.012
UMAP	ebBRET	GoA	8	0.009
UMAP	ebBRET	GoA	13	0.009
UMAP	ebBRET	GoA	16	0.009
UMAP	ebBRET	GoA	17	0.009
UMAP	ebBRET	GoA	18	0.009
UMAP	ebBRET	GoA	19	0.009
UMAP	ebBRET	GoA	20	0.009
UMAP	ebBRET	GoA	21	0.009
UMAP	ebBRET	GoA	6	0.007
UMAP	ebBRET	GoA	14	0.007
UMAP	ebBRET	GoA	15	0.007
UMAP	ebBRET	GoA	22	0.007
UMAP	ebBRET	GoA	5	0.006
UMAP	ebBRET	GoA	9	0.005
UMAP	ebBRET	GoA	31	0.005
UMAP	ebBRET	GoA	32	0.005
UMAP	ebBRET	GoA	33	0.004
UMAP	ebBRET	GoA	24	0.002
UMAP	ebBRET	GoA	4	0.001
UMAP	ebBRET	GoA	30	0.001
UMAP	ebBRET	GoA	0	0.0
UMAP	ebBRET	GoA	23	0.0
UMAP	ebBRET	GoA	26	0.0
UMAP	ebBRET	GoA	27	0.0
UMAP	ebBRET	GoA	28	0.0
UMAP	ebBRET	GoA	29	0.0
UMAP	ebBRET	GNAZ	0	0.027
