From	To
Q8IZP9	ADGRG2
Q9HBX8	LGR6
Q7Z7M1	ADGRD2
Q9UBS5	GABBR1
Q9BXB1	LGR4
O75899	GABBR2
Q5T6X5	GPRC6A
Q14831	GRM7
Q14833	GRM4
Q5T601	ADGRF1
O00222	GRM8
O75473	LGR5
Q14246	ADGRE1
Q14832	GRM3
O15303	GRM6
Q6QNK2	ADGRD1
Q14416	GRM2
Q7RTX0	TAS1R3
Q7RTX1	TAS1R1
Q8TE23	TAS1R2
P48960	ADGRE5
Q9UHX3	ADGRE2
Q8NFN8	GPR156
Q96K78	ADGRG7
Q99835	SMO
P16473	TSHR
Q9HBX9	RXFP1
Q8WXD0	RXFP2
Q86SP6	GPR149
Q8IZF7	ADGRF2
O60353	FZD6
P22888	LHCGR
Q8IZF3	ADGRF4
P23945	FSHR
Q9H461	FZD8
Q9Y653	ADGRG1
Q9HBW9	ADGRL4
Q9NPG1	FZD3
Q9BY15	ADGRE3
Q9UP38	FZD1
Q13585	GPR50
O15354	GPR37
Q6NV75	GPR153
Q5VW38	GPR107
Q03431	PTH1R
O00144	FZD9
P20309	CHRM3
Q16538	GPR162
Q13467	FZD5
Q9ULW2	FZD10
O75084	FZD7
P25100	ADRA1D
Q14332	FZD2
Q86SQ6	ADGRA1
O95838	GLP2R
P49190	PTH2R
Q86Y34	ADGRG3
O95800	GPR75
Q9ULV1	FZD4
P08912	CHRM5
Q8N6U8	GPR161
Q8IZF4	ADGRG5
Q9Y5X5	NPFFR2
P35368	ADRA1B
Q14439	GPR176
Q96P66	GPR101
Q8IZ08	GPR135
P35408	PTGER4
P35367	HRH1
Q16581	C3AR1
P41595	HTR2B
O60883	GPR37L1
P08173	CHRM4
P34969	HTR7
Q9UHM6	OPN4
P47871	GCGR
P21918	DRD5
P08588	ADRB1
P30988	CALCR
P21554	CNR1
P28223	HTR2A
Q8TDT2	GPR152
Q9NSD7	RXFP3
P41586	ADCYAP1R1
P48546	GIPR
P35348	ADRA1A
P08172	CHRM2
P29371	TACR3
P08913	ADRA2A
P43220	GLP1R
Q7Z601	GPR142
P18825	ADRA2C
Q16602	CALCRL
P11229	CHRM1
P28335	HTR2C
Q86SQ3	ADGRE4P
P32241	VIPR1
O43194	GPR39
Q9BZJ8	GPR61
P18089	ADRA2B
P32239	CCKBR
P21728	DRD1
Q15761	NPY5R
Q9Y5N1	HRH3
O43614	HCRTR2
P34998	CRHR1
P14416	DRD2
P24530	EDNRB
Q9NQ84	GPRC5C
P47872	SCTR
P50406	HTR6
P41587	VIPR2
Q8NGU9	GPR150
Q99680	GPR22
Q96P65	QRFPR
Q9GZQ6	NPFFR1
P32238	CCKAR
P25101	EDNRA
Q9HB89	NMUR1
O43613	HCRTR1
P25116	F2R
