DimR	Assay	G-protein	Layer	Score
tSNE	ebBRET	GoB	19	0.032
tSNE	ebBRET	GoB	6	0.022
tSNE	ebBRET	GoB	22	0.018
tSNE	ebBRET	GoB	15	0.016
tSNE	ebBRET	GoB	28	0.015
tSNE	ebBRET	GoB	25	0.014
tSNE	ebBRET	GoB	0	0.012
tSNE	ebBRET	GoB	26	0.011
tSNE	ebBRET	GoB	1	0.007
tSNE	ebBRET	GoB	13	0.007
tSNE	ebBRET	GoB	14	0.006
tSNE	ebBRET	GoB	27	0.006
tSNE	ebBRET	GoB	11	0.004
tSNE	ebBRET	GoB	17	0.004
tSNE	ebBRET	GoB	2	0.003
tSNE	ebBRET	GoB	3	0.003
tSNE	ebBRET	GoB	5	0.003
tSNE	ebBRET	GoB	10	0.003
tSNE	ebBRET	GoB	23	0.003
tSNE	ebBRET	GoB	30	0.003
tSNE	ebBRET	GoB	31	0.003
tSNE	ebBRET	GoB	4	0.002
tSNE	ebBRET	GoB	9	0.002
tSNE	ebBRET	GoB	12	0.002
tSNE	ebBRET	GoB	33	0.002
tSNE	ebBRET	GoB	8	0.001
tSNE	ebBRET	GoB	18	0.001
tSNE	ebBRET	GoB	32	0.001
tSNE	ebBRET	GoB	7	0.0
tSNE	ebBRET	GoB	16	0.0
tSNE	ebBRET	GoB	20	0.0
tSNE	ebBRET	GoB	21	0.0
tSNE	ebBRET	GoB	24	0.0
tSNE	ebBRET	GoB	29	0.0
tSNE	ebBRET	GoA	28	0.017
tSNE	ebBRET	GoA	9	0.01
tSNE	ebBRET	GoA	13	0.007
tSNE	ebBRET	GoA	18	0.007
tSNE	ebBRET	GoA	32	0.007
tSNE	ebBRET	GoA	19	0.006
tSNE	ebBRET	GoA	31	0.006
tSNE	ebBRET	GoA	6	0.005
tSNE	ebBRET	GoA	4	0.004
tSNE	ebBRET	GoA	10	0.004
tSNE	ebBRET	GoA	11	0.003
tSNE	ebBRET	GoA	15	0.003
tSNE	ebBRET	GoA	8	0.002
tSNE	ebBRET	GoA	12	0.002
tSNE	ebBRET	GoA	16	0.002
tSNE	ebBRET	GoA	23	0.002
tSNE	ebBRET	GoA	25	0.002
tSNE	ebBRET	GoA	26	0.002
tSNE	ebBRET	GoA	33	0.002
tSNE	ebBRET	GoA	0	0.001
tSNE	ebBRET	GoA	1	0.001
tSNE	ebBRET	GoA	5	0.001
tSNE	ebBRET	GoA	14	0.001
tSNE	ebBRET	GoA	17	0.001
tSNE	ebBRET	GoA	21	0.001
tSNE	ebBRET	GoA	29	0.001
tSNE	ebBRET	GoA	30	0.001
tSNE	ebBRET	GoA	2	0.0
tSNE	ebBRET	GoA	3	0.0
tSNE	ebBRET	GoA	7	0.0
tSNE	ebBRET	GoA	20	0.0
tSNE	ebBRET	GoA	22	0.0
tSNE	ebBRET	GoA	24	0.0
tSNE	ebBRET	GoA	27	0.0
tSNE	ebBRET	GNAZ	0	0.093
tSNE	ebBRET	GNAZ	4	0.052
tSNE	ebBRET	GNAZ	31	0.047
tSNE	ebBRET	GNAZ	8	0.043
tSNE	ebBRET	GNAZ	27	0.043
tSNE	ebBRET	GNAZ	2	0.042
tSNE	ebBRET	GNAZ	22	0.038
tSNE	ebBRET	GNAZ	17	0.034
tSNE	ebBRET	GNAZ	26	0.034
tSNE	ebBRET	GNAZ	30	0.031
tSNE	ebBRET	GNAZ	14	0.026
tSNE	ebBRET	GNAZ	10	0.024
tSNE	ebBRET	GNAZ	9	0.023
tSNE	ebBRET	GNAZ	12	0.023
tSNE	ebBRET	GNAZ	15	0.018
tSNE	ebBRET	GNAZ	16	0.018
tSNE	ebBRET	GNAZ	6	0.017
tSNE	ebBRET	GNAZ	19	0.017
tSNE	ebBRET	GNAZ	25	0.015
tSNE	ebBRET	GNAZ	3	0.014
tSNE	ebBRET	GNAZ	21	0.014
tSNE	ebBRET	GNAZ	24	0.014
tSNE	ebBRET	GNAZ	1	0.013
tSNE	ebBRET	GNAZ	13	0.008
tSNE	ebBRET	GNAZ	18	0.008
tSNE	ebBRET	GNAZ	23	0.008
tSNE	ebBRET	GNAZ	7	0.007
tSNE	ebBRET	GNAZ	33	0.004
