Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2
ADGRG2	-	-	-	-	Adhesion Class GPCRs	classB	0.6807244420051575	0.5770115852355957
LGR6	-	-	-	-	NA	classA	0.5407148003578186	0.38435178995132446
ADGRD2	-	-	-	-	Adhesion Class GPCRs	classB	0.5434751510620117	0.727235734462738
GABBR1	-	-	-	-	GABA<sub>B</sub> receptors	classC	0.4729534983634949	0.681174635887146
LGR4	-	-	-	-	Class A Orphans	classA	0.5423495769500732	0.40159958600997925
GABBR2	-	-	-	-	GABA<sub>B</sub> receptors	classC	0.5281984806060791	0.5481090545654297
GPRC6A	-	-	-	-	Calcium-sensing receptors	classC	0.43793022632598877	0.678641676902771
GRM7	-	-	-	-	Metabotropic glutamate receptors	classC	0.38102343678474426	0.687473714351654
GRM4	-	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.3810666799545288	0.6951760053634644
ADGRF1	-	-	-	-	NA	classB	0.5603194236755371	0.7811251878738403
GRM8	-	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.37983089685440063	0.6850958466529846
LGR5	-	-	-	-	NA	classA	0.49911490082740784	0.4094928503036499
ADGRE1	-	-	-	-	NA	classB	0.38859137892723083	0.8797965049743652
GRM3	-	-	-	-	Metabotropic glutamate receptors	classC	0.3597906529903412	0.7112016677856445
GRM6	-	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.3615536689758301	0.703044056892395
ADGRD1	-	-	-	-	Adhesion Class GPCRs	classB	0.5150754451751709	0.7715866565704346
GRM2	-	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.34928879141807556	0.7110159397125244
TAS1R3	-	-	-	-	NA	classC	0.41163182258605957	0.7348747253417969
TAS1R1	-	-	-	-	NA	classC	0.3527348041534424	0.7668765187263489
TAS1R2	-	-	-	-	NA	classC	0.38671356439590454	0.7423348426818848
ADGRE5	-	-	-	-	Adhesion Class GPCRs	classB	0.3715392053127289	0.9236804246902466
ADGRE2	-	-	-	-	Adhesion Class GPCRs	classB	0.3597523272037506	0.8992433547973633
GPR156	-	-	-	-	NA	classC	1.0	0.1462361216545105
ADGRG7	-	-	-	-	NA	classB	0.4992992579936981	0.838099479675293
SMO	-	-	-	-	Class Frizzled GPCRs	Frizzeled	0.7455558776855469	0.5367230772972107
TSHR	-	-	-	-	Glycoprotein hormone receptors	classA	0.5585900545120239	0.3350850045681
RXFP1	-	-	-	Coupled	Relaxin family peptide receptors	classA	0.43913620710372925	0.4272805452346802
RXFP2	-	-	-	-	Relaxin family peptide receptors	classA	0.4319685995578766	0.43147093057632446
GPR149	-	-	-	-	NA	classA	0.9106552004814148	0.03504875302314758
ADGRF2	-	-	-	-	NA	classB	0.602880597114563	0.7617390155792236
FZD6	-	-	-	-	Class Frizzled GPCRs	Frizzeled	0.634614109992981	0.6055961847305298
LHCGR	-	-	-	Coupled	Glycoprotein hormone receptors	classA	0.5003529787063599	0.3644248843193054
ADGRF4	-	-	-	-	NA	classB	0.5259619355201721	0.8064685463905334
FSHR	-	-	-	-	Glycoprotein hormone receptors	classA	0.45575183629989624	0.38052210211753845
FZD8	-	-	-	-	Class Frizzled GPCRs	Frizzeled	0.5051238536834717	0.6887131929397583
ADGRG1	-	-	-	-	Adhesion Class GPCRs	classB	0.6500861048698425	0.6901431083679199
ADGRL4	-	-	-	-	NA	classB	0.39390385150909424	0.9221799373626709
FZD3	-	-	-	-	Class Frizzled GPCRs	Frizzeled	0.5477187037467957	0.6671735644340515
ADGRE3	-	-	-	-	NA	classB	0.36408963799476624	0.9115142822265625
FZD1	-	-	-	-	Class Frizzled GPCRs	Frizzeled	0.5276591181755066	0.7005938291549683
GPR50	-	-	-	Not-coupled	NA	classA	0.3718169927597046	0.2936929762363434
GPR37	-	-	-	-	Class A Orphans	classA	0.6250579953193665	0.20073290169239044
GPR153	-	-	-	-	NA	classA	0.7703965306282043	0.10536719858646393
GPR107	-	-	-	-	NA	Other	0.7556029558181763	0.43902793526649475
PTH1R	-	-	Coupled	-	Parathyroid hormone receptors	classB	0.4298363924026489	0.7056249380111694
FZD9	-	-	-	-	Class Frizzled GPCRs	Frizzeled	0.502296507358551	0.756029486656189
CHRM3	-	-	Coupled	-	Acetylcholine receptors (muscarinic)	classA	0.503173291683197	0.12333768606185913
GPR162	-	-	-	-	NA	classA	0.7796275615692139	0.09381666779518127
FZD5	-	-	-	-	Class Frizzled GPCRs	Frizzeled	0.46527397632598877	0.7543346285820007
FZD10	-	-	-	-	Class Frizzled GPCRs	Frizzeled	0.4994417726993561	0.7568645477294922
FZD7	-	-	-	-	Class Frizzled GPCRs	Frizzeled	0.4587007164955139	0.7886258363723755
ADRA1D	-	-	-	-	Adrenoceptors	classA	0.48192334175109863	0.10524263978004456
FZD2	-	-	-	-	Class Frizzled GPCRs	Frizzeled	0.44395482540130615	0.8126655220985413
ADGRA1	-	-	-	-	Adhesion Class GPCRs	classB	0.7341815233230591	0.535683810710907
GLP2R	-	-	Coupled	-	Glucagon receptor family	classB	0.4234301447868347	0.70244300365448
PTH2R	-	-	-	-	NA	classB	0.3846457600593567	0.7467694282531738
ADGRG3	-	-	-	-	Adhesion Class GPCRs	classB	0.4490451216697693	0.8771365880966187
GPR75	-	-	-	-	Class A Orphans	classA	0.6100863218307495	0.018122762441635132
FZD4	-	-	-	-	Class Frizzled GPCRs	Frizzeled	0.42792946100234985	0.8273866176605225
CHRM5	-	-	-	-	Acetylcholine receptors (muscarinic)	classA	0.4758678078651428	0.10708574950695038
GPR161	-	-	-	Coupled	NA	classA	0.5040517449378967	0.149135559797287
ADGRG5	-	-	-	-	NA	classB	0.40736785531044006	0.9083831310272217
NPFFR2	-	-	Not-coupled	-	Neuropeptide FF/neuropeptide AF receptors	classA	0.4242147207260132	0.21233420073986053
ADRA1B	-	-	-	Not-coupled	Adrenoceptors	classA	0.45612454414367676	0.12015645205974579
GPR176	-	-	-	-	NA	classA	0.5249760746955872	0.161992147564888
GPR101	-	-	-	-	Class A Orphans	classA	0.3527017831802368	0.24074217677116394
GPR135	-	-	-	-	NA	classA	0.45550328493118286	0.12802930176258087
PTGER4	-	-	Coupled	Not-coupled	Prostanoid receptors	classA	0.4650287628173828	0.136484295129776
HRH1	-	-	Coupled	-	Histamine receptors	classA	0.45453885197639465	0.12200750410556793
C3AR1	-	-	-	-	Complement peptide receptors	classA	0.43646419048309326	0.20064811408519745
HTR2B	-	-	Coupled	-	5-Hydroxytryptamine receptors	classA	0.45305803418159485	0.11879073083400726
GPR37L1	-	-	-	-	Class A Orphans	classA	0.44829291105270386	0.30832919478416443
CHRM4	-	-	Coupled	-	Acetylcholine receptors (muscarinic)	classA	0.3692803382873535	0.14314869046211243
HTR7	-	-	-	-	5-Hydroxytryptamine receptors	classA	0.40699875354766846	0.12354114651679993
OPN4	-	-	-	-	Class A Orphans	classA	0.43530675768852234	0.1372380256652832
GCGR	-	-	Coupled	-	Glucagon receptor family	classB	0.24952566623687744	0.8729890584945679
DRD5	-	-	Coupled	-	Dopamine receptors	classA	0.45005184412002563	0.11567090451717377
ADRB1	-	-	Coupled	Coupled	Adrenoceptors	classA	0.34872129559516907	0.15356557071208954
CALCR	-	-	Coupled	-	Calcitonin receptors	classB	0.2869983911514282	0.8377928733825684
CNR1	-	-	Coupled	Coupled	Cannabinoid receptors	classA	0.5347846746444702	0.036351174116134644
HTR2A	-	-	Coupled	Coupled	5-Hydroxytryptamine receptors	classA	0.42785435914993286	0.11048723757266998
GPR152	-	-	-	-	NA	classA	0.38820546865463257	0.28251367807388306
RXFP3	-	-	-	-	Relaxin family peptide receptors	classA	0.3520628809928894	0.25629347562789917
ADCYAP1R1	-	-	-	-	VIP and PACAP receptors	classB	0.23956191539764404	0.8867456912994385
GIPR	-	-	Coupled	-	Glucagon receptor family	classB	0.2774161994457245	0.8208094835281372
ADRA1A	-	-	Not-coupled	-	Adrenoceptors	classA	0.39003458619117737	0.11846494674682617
CHRM2	-	-	Coupled	Coupled	Acetylcholine receptors (muscarinic)	classA	0.3806638717651367	0.13994279503822327
TACR3	-	-	-	-	Tachykinin receptors	classA	0.3143158257007599	0.26866763830184937
ADRA2A	-	-	Coupled	-	Adrenoceptors	classA	0.4404613971710205	0.12371943891048431
GLP1R	-	-	Coupled	-	Glucagon receptor family	classB	0.2379266917705536	0.8553045988082886
GPR142	-	-	-	-	NA	classA	0.605962336063385	0.0
ADRA2C	-	-	Coupled	-	Adrenoceptors	classA	0.3746078908443451	0.13008147478103638
CALCRL	-	-	-	-	NA	classB	0.3087047338485718	0.8264894485473633
CHRM1	-	-	Coupled	Not-coupled	Acetylcholine receptors (muscarinic)	classA	0.32529693841934204	0.17152930796146393
HTR2C	-	-	Coupled	Not-coupled	5-Hydroxytryptamine receptors	classA	0.4064125418663025	0.10727372765541077
ADGRE4P	-	-	-	-	NA	classB	0.19601014256477356	1.0
VIPR1	-	-	Not-coupled	-	VIP and PACAP receptors	classB	0.27404871582984924	0.8094285130500793
GPR39	-	-	Coupled	-	Class A Orphans	classA	0.3936859667301178	0.08155505359172821
GPR61	-	-	-	-	Class A Orphans	classA	0.3679838478565216	0.16174958646297455
ADRA2B	-	-	Coupled	-	Adrenoceptors	classA	0.43019700050354004	0.10828638076782227
CCKBR	-	-	-	-	Cholecystokinin receptors	classA	0.2795675992965698	0.2516081929206848
DRD1	-	-	Coupled	-	Dopamine receptors	classA	0.4092591404914856	0.09788559377193451
NPY5R	-	-	Not-coupled	-	Neuropeptide Y receptors	classA	0.34058520197868347	0.2569162845611572
HRH3	-	-	-	-	Histamine receptors	classA	0.35996580123901367	0.14743705093860626
HCRTR2	-	-	Coupled	-	Orexin receptors	classA	0.24388380348682404	0.3336033225059509
CRHR1	-	-	Coupled	-	Corticotropin-releasing factor receptors	classB	0.26865094900131226	0.7827562689781189
DRD2	-	-	Coupled	Not-coupled	Dopamine receptors	classA	0.39759841561317444	0.10087607800960541
EDNRB	-	-	-	-	Endothelin receptors	classA	0.3602944612503052	0.2898539900779724
GPRC5C	-	-	-	-	NA	classC	0.8163371682167053	0.3567214608192444
SCTR	-	-	-	-	Glucagon receptor family	classB	0.2246129810810089	0.8368781805038452
HTR6	-	-	-	-	5-Hydroxytryptamine receptors	classA	0.3949209153652191	0.09951739013195038
VIPR2	-	-	-	-	VIP and PACAP receptors	classB	0.22171610593795776	0.8173336982727051
GPR150	-	-	-	-	NA	classA	0.38768959045410156	0.22687408328056335
GPR22	-	-	-	-	Class A Orphans	classA	0.45569562911987305	0.06990909576416016
QRFPR	-	-	-	-	QRFP receptor	classA	0.24821606278419495	0.30976611375808716
NPFFR1	-	-	Coupled	-	Neuropeptide FF/neuropeptide AF receptors	classA	0.23296910524368286	0.3149717152118683
CCKAR	-	-	Coupled	-	Cholecystokinin receptors	classA	0.23618485033512115	0.2619713544845581
EDNRA	-	-	Coupled	Not-coupled	Endothelin receptors	classA	0.3122328221797943	0.26809161901474
NMUR1	-	-	-	-	Neuromedin U receptors	classA	0.25359055399894714	0.1403403878211975
HCRTR1	-	-	-	Coupled	Orexin receptors	classA	0.2109389454126358	0.359912633895874
F2R	-	-	Coupled	-	NA	classA	0.3431500494480133	0.2736664116382599
AVPR1B	-	-	-	-	Vasopressin and oxytocin receptors	classA	0.23648104071617126	0.45288074016571045
OXER1	-	-	-	Coupled	Leukotriene receptors	classA	0.3702915608882904	0.20157775282859802
GPR83	-	-	-	-	NA	classA	0.22548870742321014	0.3447422683238983
