GPCR	393pos	398bip	398bin	428bip	428bin	439pos	500bip	500bin	507bip	507bin	544bip	544bin	599pos	658bip	658bin	662bip	662bin	674pos	885pos	886pos	887pos	888pos	966pos	967pos	998bip	998bin	IP_Z_6g79	N_TIL	O
AVPR1B	1	1.25971	1.49504	3.24441	2.80105	1	3.17674	2.58618	1.06908	0.93475	1.71775	1.81136	1	1.93061	1.20994	0.86707	1.65376	0	1	1	1	1	1	1	0.43991	1.002	1.944	2	1
LTB4R2	1	2.04172	2.2531	3.24441	2.80105	1	0.53855	0.99721	1.06908	0.93475	1.93799	1.86406	0	1.93061	1.20994	2.6016	2.67282	0	0	0	0	0	1	1	0.43991	1.002	0.956	0	1
UTS2R	1	1.25971	1.49504	1.52257	1.38952	0	0.53855	0.99721	1.06908	0.93475	1.71775	1.81136	0	1.58265	2.0247	2.47531	2.42666	0	0	0	1	1	1	1	0.43991	1.002	1.425	0	1
GPR35	0	1.25971	1.49504	1.52257	1.38952	0	1.35603	0.9796	1.06908	0.93475	1.93799	1.86406	0	1.93061	1.20994	2.14945	1.41943	0	0	0	0	1	1	1	1.58504	0.81978	1.724	0	1
GPR34	1	1.25971	1.49504	1.52257	1.38952	0	0.53855	0.99721	0.74614	1.27184	1.71775	1.81136	0	2.99334	3.73957	0.86707	1.65376	1	0	0	0	1	1	1	1.58504	0.81978	1.548	1	1
PTGER4	1	1.30784	1.07403	3.20678	2.62903	1	0.53855	0.99721	0.74614	1.27184	1.92391	2.27318	1	1.93061	1.20994	2.14945	1.41943	1	1	1	1	1	1	1	1.58504	0.81978	2.763	0	1
GPR183	1	1.25971	1.49504	1.52257	1.38952	0	0.53855	0.99721	1.06908	0.93475	1.71775	1.81136	0	1.93061	1.20994	0.86707	1.65376	1	0	0	1	1	1	1	1.58504	0.81978	0.955	1	1
ADRA2A	1	1.30784	1.07403	1.17502	1.82016	1	0.53855	0.99721	0.74614	1.27184	2.57868	2.58261	1	2.28859	2.04519	0.86707	1.65376	1	1	1	1	1	0	0	0.43991	1.002	3.308	3	1
ADRA2B	1	1.30784	1.07403	1.17502	1.82016	1	0.53855	0.99721	1.06908	0.93475	1.71775	1.81136	1	2.28859	2.04519	0.86707	1.65376	1	1	1	1	1	0	1	0.43991	1.002	1.91	3	1
ADRA2C	1	2.04172	2.2531	1.17502	1.82016	1	0.53855	0.99721	1.06908	0.93475	2.57868	2.58261	1	2.28859	2.04519	0.86707	1.65376	1	1	1	1	1	0	1	0.43991	1.002	2.797	2	1
