GPCR	401bip	401bin	655bip	655bin	919bip	919bin	966pos	967pos	IP_Z_6cmo	IP_Z_6dde	TILL	A_TIL	C_TIL	E_TIL	F_TIL	G_TIL	K_TIL	L_TIL	P_TIL	R_TIL	S_TIL	M_CTL	T_CTL	O
TBXA2R	1.79869	1.76651	2.78694	3.61896	1.92308	1.19234	1	1	-0.484	-0.342	17	2	1	1	0	1	0	0	1	2	1	0	2	1
TACR1	1.25678	1.48779	1.52361	1.47491	1.38992	1.20265	1	1	0.791	0.035	19	2	0	2	0	1	0	0	1	1	4	2	9	1
P2RY2	1.64441	2.30656	1.52361	1.47491	1.38992	1.20265	1	1	-0.269	0.117	14	2	0	0	0	3	1	2	2	1	1	1	6	1
PTAFR	1.64441	2.30656	1.52361	1.47491	1.38992	1.20265	1	1	-0.458	0.667	13	1	0	1	0	0	0	1	1	1	0	1	6	1
GPR55	5.99371	5.44913	1.6661	1.47003	3.43295	4.58928	1	1	-2.802	-1.236	11	0	0	0	0	1	0	1	0	2	0	1	2	1
EDNRA	1.25678	1.48779	2.07461	2.40793	1.40172	1.57085	1	1	0.468	1.203	18	1	0	1	0	1	1	4	0	3	2	3	3	1
EDNRB	1.25678	1.48779	2.07461	2.40793	1.40172	1.57085	1	1	0.365	0.334	17	1	0	0	0	1	3	3	0	1	1	0	0	1
GPR35	1.64441	2.30656	2.49765	2.05813	3.81779	5.40165	1	1	-1.389	0.235	13	3	0	1	0	1	0	0	2	1	0	1	1	1
CCKBR	1.79869	1.76651	1.6661	1.47003	1.92308	1.19234	1	1	1.646	1.597	82	7	2	3	1	12	1	9	7	8	8	1	5	1
F2R	1.64441	2.30656	2.78694	3.61896	1.38992	1.20265	1	1	-2.788	0.208	10	2	0	0	0	0	1	0	0	1	4	2	2	1
S1PR3	1.25678	1.48779	1.52361	1.47491	1.38992	1.20265	0	1	0.483	1.934	15	1	0	1	0	0	2	0	0	2	4	2	2	1
S1PR2	1.52791	1.30788	1.52361	1.47491	1.38992	1.20265	0	1	-2.533	-0.807	25	3	0	3	0	0	1	1	1	1	2	2	5	1
