GPCR	395bip	395bin	398bip	398bin	400bip	400bin	425bip	425bin	493bip	493bin	497bip	497bin	501bip	501bin	635bip	635bin	654bip	654bin	655bip	655bin	657bip	657bin	966pos	967pos	997bip	997bin	TILL	G_TIL	N_TIL	R_TIL	A_CTL	O
MRGPRX2	2.63692	2.66127	1.02279	1.59683	2.28219	2.21309	0.93905	2.10849	2.42492	2.06646	2.87401	3.08436	2.92618	3.53151	2.4437	2.72715	3.46681	3.0853	2.97408	3.38743	2.36356	2.43643	0	0	2.4282	2.69852	0	0	0	0	3	1
PTAFR	2.63692	2.66127	1.02279	1.59683	1.60086	1.67241	1.10511	1.01039	1.13356	1.62839	3.42611	3.21147	3.50686	3.57413	3.90942	4.74111	1.49195	1.35423	1.76794	1.46588	2.13803	2.51296	1	1	1.59235	1.21382	13	0	1	1	1	1
EDNRA	2.31561	2.19242	1.02279	1.59683	2.229	2.17983	1.72923	1.75265	1.13356	1.62839	2.35002	1.67523	1.75195	1.31697	2.89759	4.71506	3.31311	3.43685	2.01974	2.41467	1.83815	1.97914	1	1	1.50393	1.90572	18	1	2	3	1	1
EDNRB	2.36911	2.35256	1.02279	1.59683	2.229	2.17983	1.72923	1.75265	1.13356	1.62839	2.35002	1.67523	1.61845	1.90761	2.89759	4.71506	1.49195	1.35423	2.01974	2.41467	2.13803	2.51296	1	1	1.50393	1.90572	17	1	1	1	0	1
UTS2R	2.31561	2.19242	1.02279	1.59683	1.60086	1.67241	0.93905	2.10849	1.20509	1.18123	1.77669	1.84741	3.27535	3.55244	2.81456	2.69182	1.51537	1.77224	1.76794	1.46588	2.36698	1.60904	1	1	2.4282	2.69852	14	0	0	6	8	1
CYSLTR1	2.63692	2.66127	1.02279	1.59683	1.60086	1.67241	0.93905	2.10849	1.20509	1.18123	1.77669	1.84741	2.12908	2.6383	2.97334	3.69972	1.49195	1.35423	1.76794	1.46588	1.69866	1.62879	1	1	3.18172	2.96574	11	0	1	0	1	1
CCKBR	3.22209	3.68338	1.51175	1.17966	1.60086	1.67241	1.10511	1.01039	2.59828	2.85149	2.31636	2.41648	1.86719	1.45269	1.92053	1.83223	1.43161	1.7739	1.48274	1.54807	1.69866	1.62879	1	1	1.40593	1.786	82	12	2	8	5	1
P2RY2	2.31561	2.19242	1.02279	1.59683	2.229	2.17983	0.93905	2.10849	1.20509	1.18123	1.77669	1.84741	1.75195	1.31697	3.02324	3.54221	1.43161	1.7739	1.76794	1.46588	1.69866	1.62879	1	1	1.59235	1.21382	14	3	0	1	6	1
F2R	1.87632	2.05345	1.51175	1.17966	1.60086	1.67241	0.93905	2.10849	1.20509	1.18123	1.77669	1.84741	1.61845	1.90761	2.4437	2.72715	1.49195	1.35423	2.97408	3.38743	1.69866	1.62879	1	1	1.50393	1.90572	10	0	1	1	2	1
S1PR3	1.88429	1.84258	1.02279	1.59683	1.85998	1.50689	1.10511	1.01039	2.59828	2.85149	1.70044	1.90843	1.61845	1.90761	2.4437	2.72715	3.21045	3.21664	1.76794	1.46588	1.83815	1.97914	0	1	2.86709	3.04627	15	0	3	2	8	1
P2RY11	2.63692	2.66127	1.02279	1.59683	3.22803	4.28173	1.10511	1.01039	1.13356	1.62839	1.77669	1.84741	1.86719	1.45269	1.99755	1.5333	1.51537	1.77224	2.01974	2.41467	2.36356	2.43643	0	0	5.47466	5.21044	10	1	0	1	8	1
P2RY13	2.51184	2.71945	1.02279	1.59683	1.60086	1.67241	0.93905	2.10849	1.20509	1.18123	3.42611	3.21147	2.12908	2.6383	3.8309	3.98403	1.51537	1.77224	1.48274	1.54807	1.69866	1.62879	1	1	2.86709	3.04627	14	0	1	2	4	1
MRGPRX1	2.31561	2.19242	1.02279	1.59683	2.28219	2.21309	0.93905	2.10849	2.42492	2.06646	2.87401	3.08436	2.92618	3.53151	4.95269	5.20918	1.43161	1.7739	2.23242	2.18879	3.53416	3.78692	1	1	2.4282	2.69852	0	0	0	0	2	1
HTR2C	1.87632	2.05345	1.51175	1.17966	1.85998	1.50689	1.10511	1.01039	1.20509	1.18123	2.35002	1.67523	1.86719	1.45269	1.99755	1.5333	1.49195	1.35423	1.48274	1.54807	1.83815	1.97914	1	1	1.50393	1.90572	64	3	7	9	5	1
HRH1	1.88429	1.84258	1.02279	1.59683	1.85998	1.50689	0.93905	2.10849	1.20509	1.18123	2.84373	2.64658	1.61845	1.90761	1.92053	1.83223	1.51537	1.77224	1.48274	1.54807	3.34013	4.68948	0	0	1.59235	1.21382	192	15	6	14	0	1
CHRM5	2.19422	1.70175	2.49796	2.14072	2.24722	2.1644	0.93905	2.10849	1.13356	1.62839	1.70044	1.90843	2.12908	2.6383	2.28038	2.52075	1.43161	1.7739	1.48274	1.54807	1.83815	1.97914	0	0	1.40593	1.786	216	8	8	14	1	1
MC3R	1.87632	2.05345	1.51175	1.17966	1.85998	1.50689	1.10511	1.01039	1.20509	1.18123	1.70044	1.90843	1.75195	1.31697	4.95269	5.20918	1.51537	1.77224	1.48274	1.54807	2.85092	2.92488	1	1	1.50393	1.90572	22	1	0	2	1	1
