DimR	Family	Layer	Score
UMAP	Adhesion Class GPCRs	23	0.111
UMAP	Adhesion Class GPCRs	7	0.102
UMAP	Adhesion Class GPCRs	1	0.101
UMAP	Adhesion Class GPCRs	3	0.1
UMAP	Adhesion Class GPCRs	9	0.098
UMAP	Adhesion Class GPCRs	20	0.092
UMAP	Adhesion Class GPCRs	18	0.092
UMAP	Adhesion Class GPCRs	16	0.092
UMAP	Adhesion Class GPCRs	2	0.091
UMAP	Adhesion Class GPCRs	0	0.09
UMAP	Adhesion Class GPCRs	13	0.09
UMAP	Adhesion Class GPCRs	21	0.09
UMAP	Adhesion Class GPCRs	19	0.09
UMAP	Adhesion Class GPCRs	17	0.09
UMAP	Adhesion Class GPCRs	8	0.087
UMAP	Adhesion Class GPCRs	12	0.082
UMAP	Adhesion Class GPCRs	11	0.082
UMAP	Adhesion Class GPCRs	10	0.082
UMAP	Adhesion Class GPCRs	4	0.082
UMAP	Adhesion Class GPCRs	6	0.07
UMAP	Adhesion Class GPCRs	15	0.047
UMAP	Adhesion Class GPCRs	28	0.047
UMAP	Adhesion Class GPCRs	22	0.047
UMAP	Adhesion Class GPCRs	14	0.045
UMAP	Adhesion Class GPCRs	33	0.036
UMAP	Adhesion Class GPCRs	31	0.035
UMAP	Adhesion Class GPCRs	32	0.035
UMAP	Adhesion Class GPCRs	26	0.034
UMAP	Adhesion Class GPCRs	24	0.017
UMAP	Adhesion Class GPCRs	5	0.009
UMAP	Adhesion Class GPCRs	25	0.005
UMAP	Adhesion Class GPCRs	30	0.004
UMAP	Adhesion Class GPCRs	27	0.002
UMAP	Adhesion Class GPCRs	29	0.002
