DimR	Family	Layer	Score
tSNE	Complement peptide receptors	19	0.025
tSNE	Complement peptide receptors	26	0.023
tSNE	Complement peptide receptors	22	0.02
tSNE	Complement peptide receptors	15	0.016
tSNE	Complement peptide receptors	7	0.016
tSNE	Complement peptide receptors	30	0.007
tSNE	Complement peptide receptors	29	0.005
tSNE	Complement peptide receptors	21	0.004
tSNE	Complement peptide receptors	16	0.004
tSNE	Complement peptide receptors	12	0.003
tSNE	Complement peptide receptors	31	0.003
tSNE	Complement peptide receptors	8	0.003
tSNE	Complement peptide receptors	10	0.003
tSNE	Complement peptide receptors	24	0.003
tSNE	Complement peptide receptors	20	0.002
tSNE	Complement peptide receptors	33	0.002
tSNE	Complement peptide receptors	28	0.002
tSNE	Complement peptide receptors	11	0.002
tSNE	Complement peptide receptors	5	0.002
tSNE	Complement peptide receptors	32	0.002
tSNE	Complement peptide receptors	2	0.002
tSNE	Complement peptide receptors	23	0.002
tSNE	Complement peptide receptors	27	0.001
tSNE	Complement peptide receptors	25	0.001
tSNE	Complement peptide receptors	0	0.001
tSNE	Complement peptide receptors	1	0.001
tSNE	Complement peptide receptors	14	0.001
tSNE	Complement peptide receptors	13	0.001
tSNE	Complement peptide receptors	9	0.001
tSNE	Complement peptide receptors	6	0.001
tSNE	Complement peptide receptors	4	0.001
tSNE	Complement peptide receptors	3	0.001
tSNE	Complement peptide receptors	18	0.0
tSNE	Complement peptide receptors	17	0.0
