DimR	Family	Layer	Score
PCA	Acetylcholine receptors (muscarinic)	15	0.091
PCA	Acetylcholine receptors (muscarinic)	5	0.058
PCA	Acetylcholine receptors (muscarinic)	33	0.053
PCA	Acetylcholine receptors (muscarinic)	4	0.052
PCA	Acetylcholine receptors (muscarinic)	17	0.049
PCA	Acetylcholine receptors (muscarinic)	3	0.042
PCA	Acetylcholine receptors (muscarinic)	21	0.034
PCA	Acetylcholine receptors (muscarinic)	26	0.033
PCA	Acetylcholine receptors (muscarinic)	18	0.032
PCA	Acetylcholine receptors (muscarinic)	30	0.03
PCA	Acetylcholine receptors (muscarinic)	27	0.03
PCA	Acetylcholine receptors (muscarinic)	25	0.03
PCA	Acetylcholine receptors (muscarinic)	29	0.029
PCA	Acetylcholine receptors (muscarinic)	31	0.028
PCA	Acetylcholine receptors (muscarinic)	6	0.028
PCA	Acetylcholine receptors (muscarinic)	32	0.027
PCA	Acetylcholine receptors (muscarinic)	16	0.023
PCA	Acetylcholine receptors (muscarinic)	7	0.016
PCA	Acetylcholine receptors (muscarinic)	8	0.014
PCA	Acetylcholine receptors (muscarinic)	22	0.013
PCA	Acetylcholine receptors (muscarinic)	24	0.013
PCA	Acetylcholine receptors (muscarinic)	28	0.013
PCA	Acetylcholine receptors (muscarinic)	19	0.013
PCA	Acetylcholine receptors (muscarinic)	20	0.013
PCA	Acetylcholine receptors (muscarinic)	13	0.013
PCA	Acetylcholine receptors (muscarinic)	12	0.013
PCA	Acetylcholine receptors (muscarinic)	11	0.013
PCA	Acetylcholine receptors (muscarinic)	10	0.013
PCA	Acetylcholine receptors (muscarinic)	9	0.013
PCA	Acetylcholine receptors (muscarinic)	23	0.012
PCA	Acetylcholine receptors (muscarinic)	0	0.011
PCA	Acetylcholine receptors (muscarinic)	14	0.008
PCA	Acetylcholine receptors (muscarinic)	2	0.006
PCA	Acetylcholine receptors (muscarinic)	1	0.002
