DimR	Family	Layer	Score
PCA	Calcitonin receptors	23	0.03
PCA	Calcitonin receptors	9	0.029
PCA	Calcitonin receptors	28	0.029
PCA	Calcitonin receptors	22	0.029
PCA	Calcitonin receptors	10	0.029
PCA	Calcitonin receptors	11	0.029
PCA	Calcitonin receptors	24	0.027
PCA	Calcitonin receptors	20	0.027
PCA	Calcitonin receptors	19	0.027
PCA	Calcitonin receptors	12	0.027
PCA	Calcitonin receptors	13	0.027
PCA	Calcitonin receptors	8	0.025
PCA	Calcitonin receptors	14	0.024
PCA	Calcitonin receptors	16	0.022
PCA	Calcitonin receptors	17	0.021
PCA	Calcitonin receptors	15	0.02
PCA	Calcitonin receptors	7	0.02
PCA	Calcitonin receptors	18	0.015
PCA	Calcitonin receptors	5	0.013
PCA	Calcitonin receptors	33	0.011
PCA	Calcitonin receptors	4	0.011
PCA	Calcitonin receptors	6	0.009
PCA	Calcitonin receptors	25	0.008
PCA	Calcitonin receptors	26	0.008
PCA	Calcitonin receptors	27	0.008
PCA	Calcitonin receptors	21	0.007
PCA	Calcitonin receptors	3	0.006
PCA	Calcitonin receptors	2	0.006
PCA	Calcitonin receptors	29	0.006
PCA	Calcitonin receptors	30	0.006
PCA	Calcitonin receptors	31	0.006
PCA	Calcitonin receptors	32	0.006
PCA	Calcitonin receptors	1	0.004
PCA	Calcitonin receptors	0	0.003
