DimR	Family	Layer	Score
tSNE	Neuropeptide W/neuropeptide B receptors	5	0.015
tSNE	Neuropeptide W/neuropeptide B receptors	22	0.015
tSNE	Neuropeptide W/neuropeptide B receptors	2	0.014
tSNE	Neuropeptide W/neuropeptide B receptors	32	0.014
tSNE	Neuropeptide W/neuropeptide B receptors	27	0.014
tSNE	Neuropeptide W/neuropeptide B receptors	1	0.013
tSNE	Neuropeptide W/neuropeptide B receptors	3	0.013
tSNE	Neuropeptide W/neuropeptide B receptors	24	0.013
tSNE	Neuropeptide W/neuropeptide B receptors	0	0.012
tSNE	Neuropeptide W/neuropeptide B receptors	17	0.009
tSNE	Neuropeptide W/neuropeptide B receptors	30	0.001
tSNE	Neuropeptide W/neuropeptide B receptors	29	0.001
tSNE	Neuropeptide W/neuropeptide B receptors	10	0.0
tSNE	Neuropeptide W/neuropeptide B receptors	11	0.0
tSNE	Neuropeptide W/neuropeptide B receptors	4	0.0
tSNE	Neuropeptide W/neuropeptide B receptors	31	0.0
tSNE	Neuropeptide W/neuropeptide B receptors	28	0.0
tSNE	Neuropeptide W/neuropeptide B receptors	6	0.0
tSNE	Neuropeptide W/neuropeptide B receptors	26	0.0
tSNE	Neuropeptide W/neuropeptide B receptors	25	0.0
tSNE	Neuropeptide W/neuropeptide B receptors	7	0.0
tSNE	Neuropeptide W/neuropeptide B receptors	23	0.0
tSNE	Neuropeptide W/neuropeptide B receptors	8	0.0
tSNE	Neuropeptide W/neuropeptide B receptors	21	0.0
tSNE	Neuropeptide W/neuropeptide B receptors	20	0.0
tSNE	Neuropeptide W/neuropeptide B receptors	19	0.0
tSNE	Neuropeptide W/neuropeptide B receptors	18	0.0
tSNE	Neuropeptide W/neuropeptide B receptors	9	0.0
tSNE	Neuropeptide W/neuropeptide B receptors	16	0.0
tSNE	Neuropeptide W/neuropeptide B receptors	15	0.0
tSNE	Neuropeptide W/neuropeptide B receptors	14	0.0
tSNE	Neuropeptide W/neuropeptide B receptors	13	0.0
tSNE	Neuropeptide W/neuropeptide B receptors	12	0.0
tSNE	Neuropeptide W/neuropeptide B receptors	33	0.0
