DimR	Family	Layer	Score
tSNE	Class A Orphans	3	0.026
tSNE	Class A Orphans	25	0.018
tSNE	Class A Orphans	2	0.017
tSNE	Class A Orphans	32	0.016
tSNE	Class A Orphans	22	0.011
tSNE	Class A Orphans	0	0.01
tSNE	Class A Orphans	21	0.01
tSNE	Class A Orphans	1	0.008
tSNE	Class A Orphans	17	0.008
tSNE	Class A Orphans	24	0.007
tSNE	Class A Orphans	33	0.005
tSNE	Class A Orphans	12	0.005
tSNE	Class A Orphans	14	0.005
tSNE	Class A Orphans	15	0.005
tSNE	Class A Orphans	8	0.005
tSNE	Class A Orphans	18	0.005
tSNE	Class A Orphans	10	0.004
tSNE	Class A Orphans	27	0.003
tSNE	Class A Orphans	20	0.003
tSNE	Class A Orphans	4	0.002
tSNE	Class A Orphans	31	0.002
tSNE	Class A Orphans	5	0.002
tSNE	Class A Orphans	29	0.001
tSNE	Class A Orphans	26	0.001
tSNE	Class A Orphans	7	0.001
tSNE	Class A Orphans	13	0.001
tSNE	Class A Orphans	11	0.001
tSNE	Class A Orphans	23	0.0
tSNE	Class A Orphans	6	0.0
tSNE	Class A Orphans	19	0.0
tSNE	Class A Orphans	28	0.0
tSNE	Class A Orphans	16	0.0
tSNE	Class A Orphans	30	0.0
tSNE	Class A Orphans	9	0.0
