DimR	Family	Layer	Score
UMAP	Neuropeptide W/neuropeptide B receptors	24	0.011
UMAP	Neuropeptide W/neuropeptide B receptors	0	0.009
UMAP	Neuropeptide W/neuropeptide B receptors	2	0.009
UMAP	Neuropeptide W/neuropeptide B receptors	3	0.008
UMAP	Neuropeptide W/neuropeptide B receptors	1	0.008
UMAP	Neuropeptide W/neuropeptide B receptors	4	0.007
UMAP	Neuropeptide W/neuropeptide B receptors	13	0.006
UMAP	Neuropeptide W/neuropeptide B receptors	21	0.006
UMAP	Neuropeptide W/neuropeptide B receptors	20	0.006
UMAP	Neuropeptide W/neuropeptide B receptors	19	0.006
UMAP	Neuropeptide W/neuropeptide B receptors	18	0.006
UMAP	Neuropeptide W/neuropeptide B receptors	16	0.006
UMAP	Neuropeptide W/neuropeptide B receptors	17	0.006
UMAP	Neuropeptide W/neuropeptide B receptors	9	0.006
UMAP	Neuropeptide W/neuropeptide B receptors	8	0.006
UMAP	Neuropeptide W/neuropeptide B receptors	7	0.006
UMAP	Neuropeptide W/neuropeptide B receptors	12	0.005
UMAP	Neuropeptide W/neuropeptide B receptors	22	0.005
UMAP	Neuropeptide W/neuropeptide B receptors	15	0.005
UMAP	Neuropeptide W/neuropeptide B receptors	11	0.005
UMAP	Neuropeptide W/neuropeptide B receptors	10	0.005
UMAP	Neuropeptide W/neuropeptide B receptors	14	0.005
UMAP	Neuropeptide W/neuropeptide B receptors	23	0.004
UMAP	Neuropeptide W/neuropeptide B receptors	26	0.001
UMAP	Neuropeptide W/neuropeptide B receptors	27	0.001
UMAP	Neuropeptide W/neuropeptide B receptors	29	0.001
UMAP	Neuropeptide W/neuropeptide B receptors	31	0.001
UMAP	Neuropeptide W/neuropeptide B receptors	32	0.001
UMAP	Neuropeptide W/neuropeptide B receptors	33	0.001
UMAP	Neuropeptide W/neuropeptide B receptors	6	0.0
UMAP	Neuropeptide W/neuropeptide B receptors	5	0.0
UMAP	Neuropeptide W/neuropeptide B receptors	25	0.0
UMAP	Neuropeptide W/neuropeptide B receptors	28	0.0
UMAP	Neuropeptide W/neuropeptide B receptors	30	0.0
