DimR	Family	Layer	Score
UMAP	Melatonin receptors	32	0.023
UMAP	Melatonin receptors	27	0.023
UMAP	Melatonin receptors	26	0.023
UMAP	Melatonin receptors	33	0.022
UMAP	Melatonin receptors	31	0.022
UMAP	Melatonin receptors	29	0.022
UMAP	Melatonin receptors	30	0.02
UMAP	Melatonin receptors	25	0.017
UMAP	Melatonin receptors	28	0.016
UMAP	Melatonin receptors	24	0.011
UMAP	Melatonin receptors	6	0.011
UMAP	Melatonin receptors	0	0.009
UMAP	Melatonin receptors	2	0.009
UMAP	Melatonin receptors	1	0.008
UMAP	Melatonin receptors	4	0.007
UMAP	Melatonin receptors	17	0.006
UMAP	Melatonin receptors	9	0.006
UMAP	Melatonin receptors	16	0.006
UMAP	Melatonin receptors	18	0.006
UMAP	Melatonin receptors	19	0.006
UMAP	Melatonin receptors	20	0.006
UMAP	Melatonin receptors	21	0.006
UMAP	Melatonin receptors	7	0.006
UMAP	Melatonin receptors	13	0.006
UMAP	Melatonin receptors	8	0.006
UMAP	Melatonin receptors	12	0.005
UMAP	Melatonin receptors	10	0.005
UMAP	Melatonin receptors	11	0.005
UMAP	Melatonin receptors	22	0.005
UMAP	Melatonin receptors	15	0.005
UMAP	Melatonin receptors	14	0.005
UMAP	Melatonin receptors	23	0.004
UMAP	Melatonin receptors	3	0.002
UMAP	Melatonin receptors	5	0.0
