DimR	Family	Layer	Score
PCA	Leukotriene receptors	32	0.051
PCA	Leukotriene receptors	31	0.05
PCA	Leukotriene receptors	29	0.047
PCA	Leukotriene receptors	30	0.046
PCA	Leukotriene receptors	27	0.046
PCA	Leukotriene receptors	25	0.045
PCA	Leukotriene receptors	26	0.041
PCA	Leukotriene receptors	33	0.027
PCA	Leukotriene receptors	15	0.018
PCA	Leukotriene receptors	17	0.018
PCA	Leukotriene receptors	16	0.017
PCA	Leukotriene receptors	13	0.016
PCA	Leukotriene receptors	14	0.016
PCA	Leukotriene receptors	8	0.016
PCA	Leukotriene receptors	24	0.016
PCA	Leukotriene receptors	19	0.016
PCA	Leukotriene receptors	20	0.016
PCA	Leukotriene receptors	10	0.015
PCA	Leukotriene receptors	11	0.015
PCA	Leukotriene receptors	28	0.015
PCA	Leukotriene receptors	23	0.015
PCA	Leukotriene receptors	22	0.015
PCA	Leukotriene receptors	9	0.015
PCA	Leukotriene receptors	12	0.015
PCA	Leukotriene receptors	0	0.015
PCA	Leukotriene receptors	21	0.014
PCA	Leukotriene receptors	6	0.006
PCA	Leukotriene receptors	4	0.006
PCA	Leukotriene receptors	2	0.006
PCA	Leukotriene receptors	1	0.005
PCA	Leukotriene receptors	5	0.004
PCA	Leukotriene receptors	18	0.002
PCA	Leukotriene receptors	7	0.001
PCA	Leukotriene receptors	3	0.001
