DimR	Family	Layer	Score
UMAP	Thyrotropin-releasing hormone receptors	6	0.01
UMAP	Thyrotropin-releasing hormone receptors	24	0.009
UMAP	Thyrotropin-releasing hormone receptors	5	0.007
UMAP	Thyrotropin-releasing hormone receptors	28	0.007
UMAP	Thyrotropin-releasing hormone receptors	25	0.006
UMAP	Thyrotropin-releasing hormone receptors	0	0.005
UMAP	Thyrotropin-releasing hormone receptors	32	0.005
UMAP	Thyrotropin-releasing hormone receptors	31	0.005
UMAP	Thyrotropin-releasing hormone receptors	30	0.005
UMAP	Thyrotropin-releasing hormone receptors	29	0.005
UMAP	Thyrotropin-releasing hormone receptors	27	0.005
UMAP	Thyrotropin-releasing hormone receptors	26	0.005
UMAP	Thyrotropin-releasing hormone receptors	33	0.005
UMAP	Thyrotropin-releasing hormone receptors	2	0.005
UMAP	Thyrotropin-releasing hormone receptors	3	0.004
UMAP	Thyrotropin-releasing hormone receptors	1	0.004
UMAP	Thyrotropin-releasing hormone receptors	4	0.004
UMAP	Thyrotropin-releasing hormone receptors	13	0.003
UMAP	Thyrotropin-releasing hormone receptors	12	0.003
UMAP	Thyrotropin-releasing hormone receptors	7	0.003
UMAP	Thyrotropin-releasing hormone receptors	8	0.003
UMAP	Thyrotropin-releasing hormone receptors	9	0.003
UMAP	Thyrotropin-releasing hormone receptors	10	0.003
UMAP	Thyrotropin-releasing hormone receptors	11	0.003
UMAP	Thyrotropin-releasing hormone receptors	17	0.003
UMAP	Thyrotropin-releasing hormone receptors	14	0.003
UMAP	Thyrotropin-releasing hormone receptors	22	0.003
UMAP	Thyrotropin-releasing hormone receptors	21	0.003
UMAP	Thyrotropin-releasing hormone receptors	20	0.003
UMAP	Thyrotropin-releasing hormone receptors	19	0.003
UMAP	Thyrotropin-releasing hormone receptors	18	0.003
UMAP	Thyrotropin-releasing hormone receptors	16	0.003
UMAP	Thyrotropin-releasing hormone receptors	15	0.003
UMAP	Thyrotropin-releasing hormone receptors	23	0.002
