DimR	Family	Layer	Score
tSNE	Platelet-activating factor receptor	12	0.009
tSNE	Platelet-activating factor receptor	19	0.009
tSNE	Platelet-activating factor receptor	22	0.008
tSNE	Platelet-activating factor receptor	25	0.008
tSNE	Platelet-activating factor receptor	27	0.008
tSNE	Platelet-activating factor receptor	10	0.008
tSNE	Platelet-activating factor receptor	20	0.007
tSNE	Platelet-activating factor receptor	1	0.007
tSNE	Platelet-activating factor receptor	26	0.007
tSNE	Platelet-activating factor receptor	14	0.007
tSNE	Platelet-activating factor receptor	13	0.007
tSNE	Platelet-activating factor receptor	33	0.007
tSNE	Platelet-activating factor receptor	23	0.007
tSNE	Platelet-activating factor receptor	9	0.007
tSNE	Platelet-activating factor receptor	28	0.007
tSNE	Platelet-activating factor receptor	32	0.007
tSNE	Platelet-activating factor receptor	5	0.007
tSNE	Platelet-activating factor receptor	4	0.007
tSNE	Platelet-activating factor receptor	3	0.007
tSNE	Platelet-activating factor receptor	2	0.007
tSNE	Platelet-activating factor receptor	11	0.007
tSNE	Platelet-activating factor receptor	31	0.006
tSNE	Platelet-activating factor receptor	24	0.006
tSNE	Platelet-activating factor receptor	0	0.006
tSNE	Platelet-activating factor receptor	21	0.006
tSNE	Platelet-activating factor receptor	18	0.006
tSNE	Platelet-activating factor receptor	16	0.006
tSNE	Platelet-activating factor receptor	15	0.006
tSNE	Platelet-activating factor receptor	8	0.006
tSNE	Platelet-activating factor receptor	7	0.006
tSNE	Platelet-activating factor receptor	6	0.006
tSNE	Platelet-activating factor receptor	29	0.005
tSNE	Platelet-activating factor receptor	30	0.005
tSNE	Platelet-activating factor receptor	17	0.005
