DimR	Family	Layer	Score
PCA	Galanin receptors	32	0.027
PCA	Galanin receptors	31	0.026
PCA	Galanin receptors	29	0.025
PCA	Galanin receptors	2	0.025
PCA	Galanin receptors	30	0.024
PCA	Galanin receptors	21	0.021
PCA	Galanin receptors	26	0.02
PCA	Galanin receptors	25	0.019
PCA	Galanin receptors	6	0.018
PCA	Galanin receptors	27	0.018
PCA	Galanin receptors	4	0.014
PCA	Galanin receptors	5	0.013
PCA	Galanin receptors	18	0.012
PCA	Galanin receptors	15	0.01
PCA	Galanin receptors	17	0.01
PCA	Galanin receptors	7	0.01
PCA	Galanin receptors	14	0.009
PCA	Galanin receptors	16	0.009
PCA	Galanin receptors	1	0.009
PCA	Galanin receptors	8	0.009
PCA	Galanin receptors	28	0.008
PCA	Galanin receptors	23	0.008
PCA	Galanin receptors	24	0.008
PCA	Galanin receptors	0	0.008
PCA	Galanin receptors	22	0.008
PCA	Galanin receptors	20	0.008
PCA	Galanin receptors	19	0.008
PCA	Galanin receptors	13	0.008
PCA	Galanin receptors	12	0.008
PCA	Galanin receptors	11	0.008
PCA	Galanin receptors	10	0.008
PCA	Galanin receptors	9	0.008
PCA	Galanin receptors	33	0.006
PCA	Galanin receptors	3	0.001
