DimR	Family	Layer	Score
PCA	QRFP receptor	30	0.008
PCA	QRFP receptor	25	0.007
PCA	QRFP receptor	26	0.007
PCA	QRFP receptor	21	0.007
PCA	QRFP receptor	29	0.006
PCA	QRFP receptor	2	0.006
PCA	QRFP receptor	3	0.006
PCA	QRFP receptor	6	0.006
PCA	QRFP receptor	27	0.006
PCA	QRFP receptor	32	0.006
PCA	QRFP receptor	31	0.006
PCA	QRFP receptor	33	0.005
PCA	QRFP receptor	5	0.005
PCA	QRFP receptor	4	0.005
PCA	QRFP receptor	7	0.004
PCA	QRFP receptor	1	0.004
PCA	QRFP receptor	18	0.004
PCA	QRFP receptor	28	0.003
PCA	QRFP receptor	24	0.003
PCA	QRFP receptor	23	0.003
PCA	QRFP receptor	22	0.003
PCA	QRFP receptor	0	0.003
PCA	QRFP receptor	20	0.003
PCA	QRFP receptor	19	0.003
PCA	QRFP receptor	16	0.003
PCA	QRFP receptor	15	0.003
PCA	QRFP receptor	14	0.003
PCA	QRFP receptor	13	0.003
PCA	QRFP receptor	12	0.003
PCA	QRFP receptor	11	0.003
PCA	QRFP receptor	10	0.003
PCA	QRFP receptor	9	0.003
PCA	QRFP receptor	8	0.003
PCA	QRFP receptor	17	0.003
