DimR	Family	Layer	Score
tSNE	5-Hydroxytryptamine receptors	7	0.042
tSNE	5-Hydroxytryptamine receptors	28	0.024
tSNE	5-Hydroxytryptamine receptors	26	0.022
tSNE	5-Hydroxytryptamine receptors	8	0.021
tSNE	5-Hydroxytryptamine receptors	13	0.018
tSNE	5-Hydroxytryptamine receptors	4	0.016
tSNE	5-Hydroxytryptamine receptors	9	0.009
tSNE	5-Hydroxytryptamine receptors	25	0.009
tSNE	5-Hydroxytryptamine receptors	5	0.007
tSNE	5-Hydroxytryptamine receptors	11	0.006
tSNE	5-Hydroxytryptamine receptors	20	0.006
tSNE	5-Hydroxytryptamine receptors	23	0.004
tSNE	5-Hydroxytryptamine receptors	1	0.003
tSNE	5-Hydroxytryptamine receptors	3	0.003
tSNE	5-Hydroxytryptamine receptors	19	0.003
tSNE	5-Hydroxytryptamine receptors	12	0.003
tSNE	5-Hydroxytryptamine receptors	27	0.002
tSNE	5-Hydroxytryptamine receptors	16	0.002
tSNE	5-Hydroxytryptamine receptors	30	0.002
tSNE	5-Hydroxytryptamine receptors	6	0.002
tSNE	5-Hydroxytryptamine receptors	21	0.002
tSNE	5-Hydroxytryptamine receptors	29	0.001
tSNE	5-Hydroxytryptamine receptors	0	0.001
tSNE	5-Hydroxytryptamine receptors	15	0.001
tSNE	5-Hydroxytryptamine receptors	32	0.001
tSNE	5-Hydroxytryptamine receptors	2	0.001
tSNE	5-Hydroxytryptamine receptors	14	0.001
tSNE	5-Hydroxytryptamine receptors	31	0.0
tSNE	5-Hydroxytryptamine receptors	17	0.0
tSNE	5-Hydroxytryptamine receptors	24	0.0
tSNE	5-Hydroxytryptamine receptors	22	0.0
tSNE	5-Hydroxytryptamine receptors	18	0.0
tSNE	5-Hydroxytryptamine receptors	10	0.0
tSNE	5-Hydroxytryptamine receptors	33	0.0
