DimR	Family	Layer	Score
tSNE	Neurotensin receptors	0	0.018
tSNE	Neurotensin receptors	21	0.018
tSNE	Neurotensin receptors	24	0.016
tSNE	Neurotensin receptors	14	0.016
tSNE	Neurotensin receptors	32	0.015
tSNE	Neurotensin receptors	4	0.015
tSNE	Neurotensin receptors	5	0.015
tSNE	Neurotensin receptors	11	0.014
tSNE	Neurotensin receptors	22	0.014
tSNE	Neurotensin receptors	10	0.013
tSNE	Neurotensin receptors	13	0.013
tSNE	Neurotensin receptors	9	0.013
tSNE	Neurotensin receptors	8	0.012
tSNE	Neurotensin receptors	12	0.012
tSNE	Neurotensin receptors	16	0.012
tSNE	Neurotensin receptors	18	0.011
tSNE	Neurotensin receptors	30	0.001
tSNE	Neurotensin receptors	29	0.001
tSNE	Neurotensin receptors	17	0.001
tSNE	Neurotensin receptors	19	0.0
tSNE	Neurotensin receptors	20	0.0
tSNE	Neurotensin receptors	1	0.0
tSNE	Neurotensin receptors	15	0.0
tSNE	Neurotensin receptors	23	0.0
tSNE	Neurotensin receptors	7	0.0
tSNE	Neurotensin receptors	25	0.0
tSNE	Neurotensin receptors	26	0.0
tSNE	Neurotensin receptors	27	0.0
tSNE	Neurotensin receptors	28	0.0
tSNE	Neurotensin receptors	6	0.0
tSNE	Neurotensin receptors	3	0.0
tSNE	Neurotensin receptors	31	0.0
tSNE	Neurotensin receptors	2	0.0
tSNE	Neurotensin receptors	33	0.0
