DimR	Family	Layer	Score
tSNE	Calcitonin receptors	17	0.012
tSNE	Calcitonin receptors	30	0.012
tSNE	Calcitonin receptors	15	0.01
tSNE	Calcitonin receptors	29	0.01
tSNE	Calcitonin receptors	19	0.009
tSNE	Calcitonin receptors	16	0.009
tSNE	Calcitonin receptors	0	0.009
tSNE	Calcitonin receptors	3	0.008
tSNE	Calcitonin receptors	28	0.008
tSNE	Calcitonin receptors	26	0.008
tSNE	Calcitonin receptors	23	0.008
tSNE	Calcitonin receptors	1	0.008
tSNE	Calcitonin receptors	22	0.008
tSNE	Calcitonin receptors	20	0.007
tSNE	Calcitonin receptors	4	0.007
tSNE	Calcitonin receptors	32	0.007
tSNE	Calcitonin receptors	2	0.007
tSNE	Calcitonin receptors	27	0.007
tSNE	Calcitonin receptors	25	0.007
tSNE	Calcitonin receptors	33	0.007
tSNE	Calcitonin receptors	5	0.007
tSNE	Calcitonin receptors	14	0.007
tSNE	Calcitonin receptors	13	0.007
tSNE	Calcitonin receptors	11	0.007
tSNE	Calcitonin receptors	10	0.007
tSNE	Calcitonin receptors	9	0.007
tSNE	Calcitonin receptors	8	0.006
tSNE	Calcitonin receptors	21	0.006
tSNE	Calcitonin receptors	18	0.006
tSNE	Calcitonin receptors	24	0.006
tSNE	Calcitonin receptors	6	0.006
tSNE	Calcitonin receptors	12	0.006
tSNE	Calcitonin receptors	31	0.006
tSNE	Calcitonin receptors	7	0.006
