DimR	Family	Layer	Score
tSNE	Ghrelin receptor	7	0.01
tSNE	Ghrelin receptor	18	0.01
tSNE	Ghrelin receptor	8	0.009
tSNE	Ghrelin receptor	31	0.008
tSNE	Ghrelin receptor	22	0.008
tSNE	Ghrelin receptor	25	0.008
tSNE	Ghrelin receptor	4	0.008
tSNE	Ghrelin receptor	9	0.008
tSNE	Ghrelin receptor	10	0.008
tSNE	Ghrelin receptor	13	0.008
tSNE	Ghrelin receptor	28	0.007
tSNE	Ghrelin receptor	20	0.007
tSNE	Ghrelin receptor	26	0.007
tSNE	Ghrelin receptor	1	0.007
tSNE	Ghrelin receptor	27	0.007
tSNE	Ghrelin receptor	33	0.007
tSNE	Ghrelin receptor	14	0.007
tSNE	Ghrelin receptor	11	0.007
tSNE	Ghrelin receptor	32	0.007
tSNE	Ghrelin receptor	5	0.007
tSNE	Ghrelin receptor	3	0.007
tSNE	Ghrelin receptor	2	0.007
tSNE	Ghrelin receptor	23	0.007
tSNE	Ghrelin receptor	24	0.006
tSNE	Ghrelin receptor	0	0.006
tSNE	Ghrelin receptor	21	0.006
tSNE	Ghrelin receptor	19	0.006
tSNE	Ghrelin receptor	16	0.006
tSNE	Ghrelin receptor	15	0.006
tSNE	Ghrelin receptor	12	0.006
tSNE	Ghrelin receptor	6	0.006
tSNE	Ghrelin receptor	29	0.005
tSNE	Ghrelin receptor	30	0.005
tSNE	Ghrelin receptor	17	0.005
