DimR	Family	Layer	Score
UMAP	Class Frizzled GPCRs	4	0.17
UMAP	Class Frizzled GPCRs	1	0.134
UMAP	Class Frizzled GPCRs	2	0.121
UMAP	Class Frizzled GPCRs	0	0.119
UMAP	Class Frizzled GPCRs	24	0.088
UMAP	Class Frizzled GPCRs	3	0.063
UMAP	Class Frizzled GPCRs	28	0.062
UMAP	Class Frizzled GPCRs	7	0.057
UMAP	Class Frizzled GPCRs	30	0.051
UMAP	Class Frizzled GPCRs	10	0.051
UMAP	Class Frizzled GPCRs	11	0.051
UMAP	Class Frizzled GPCRs	12	0.051
UMAP	Class Frizzled GPCRs	15	0.048
UMAP	Class Frizzled GPCRs	22	0.048
UMAP	Class Frizzled GPCRs	31	0.047
UMAP	Class Frizzled GPCRs	33	0.047
UMAP	Class Frizzled GPCRs	14	0.046
UMAP	Class Frizzled GPCRs	32	0.046
UMAP	Class Frizzled GPCRs	29	0.046
UMAP	Class Frizzled GPCRs	27	0.046
UMAP	Class Frizzled GPCRs	26	0.045
UMAP	Class Frizzled GPCRs	16	0.033
UMAP	Class Frizzled GPCRs	18	0.033
UMAP	Class Frizzled GPCRs	20	0.033
UMAP	Class Frizzled GPCRs	17	0.032
UMAP	Class Frizzled GPCRs	13	0.032
UMAP	Class Frizzled GPCRs	21	0.032
UMAP	Class Frizzled GPCRs	19	0.032
UMAP	Class Frizzled GPCRs	8	0.03
UMAP	Class Frizzled GPCRs	9	0.019
UMAP	Class Frizzled GPCRs	25	0.015
UMAP	Class Frizzled GPCRs	6	0.012
UMAP	Class Frizzled GPCRs	23	0.005
UMAP	Class Frizzled GPCRs	5	0.003
