DimR	Family	Layer	Score
tSNE	Lysophospholipid (S1P) receptors	3	0.031
tSNE	Lysophospholipid (S1P) receptors	21	0.015
tSNE	Lysophospholipid (S1P) receptors	24	0.012
tSNE	Lysophospholipid (S1P) receptors	14	0.011
tSNE	Lysophospholipid (S1P) receptors	27	0.011
tSNE	Lysophospholipid (S1P) receptors	32	0.01
tSNE	Lysophospholipid (S1P) receptors	11	0.01
tSNE	Lysophospholipid (S1P) receptors	28	0.01
tSNE	Lysophospholipid (S1P) receptors	2	0.009
tSNE	Lysophospholipid (S1P) receptors	5	0.009
tSNE	Lysophospholipid (S1P) receptors	22	0.009
tSNE	Lysophospholipid (S1P) receptors	20	0.009
tSNE	Lysophospholipid (S1P) receptors	13	0.008
tSNE	Lysophospholipid (S1P) receptors	25	0.008
tSNE	Lysophospholipid (S1P) receptors	26	0.008
tSNE	Lysophospholipid (S1P) receptors	9	0.008
tSNE	Lysophospholipid (S1P) receptors	31	0.007
tSNE	Lysophospholipid (S1P) receptors	19	0.007
tSNE	Lysophospholipid (S1P) receptors	10	0.007
tSNE	Lysophospholipid (S1P) receptors	8	0.007
tSNE	Lysophospholipid (S1P) receptors	6	0.006
tSNE	Lysophospholipid (S1P) receptors	7	0.005
tSNE	Lysophospholipid (S1P) receptors	29	0.004
tSNE	Lysophospholipid (S1P) receptors	30	0.003
tSNE	Lysophospholipid (S1P) receptors	17	0.003
tSNE	Lysophospholipid (S1P) receptors	12	0.002
tSNE	Lysophospholipid (S1P) receptors	23	0.002
tSNE	Lysophospholipid (S1P) receptors	33	0.001
tSNE	Lysophospholipid (S1P) receptors	4	0.001
tSNE	Lysophospholipid (S1P) receptors	18	0.0
tSNE	Lysophospholipid (S1P) receptors	1	0.0
tSNE	Lysophospholipid (S1P) receptors	16	0.0
tSNE	Lysophospholipid (S1P) receptors	15	0.0
tSNE	Lysophospholipid (S1P) receptors	0	0.0
