DimR	Family	Layer	Score
PCA	Tachykinin receptors	21	0.021
PCA	Tachykinin receptors	26	0.02
PCA	Tachykinin receptors	25	0.019
PCA	Tachykinin receptors	6	0.018
PCA	Tachykinin receptors	27	0.018
PCA	Tachykinin receptors	32	0.017
PCA	Tachykinin receptors	4	0.014
PCA	Tachykinin receptors	5	0.013
PCA	Tachykinin receptors	1	0.013
PCA	Tachykinin receptors	7	0.01
PCA	Tachykinin receptors	15	0.01
PCA	Tachykinin receptors	17	0.01
PCA	Tachykinin receptors	8	0.009
PCA	Tachykinin receptors	14	0.009
PCA	Tachykinin receptors	16	0.009
PCA	Tachykinin receptors	20	0.008
PCA	Tachykinin receptors	28	0.008
PCA	Tachykinin receptors	24	0.008
PCA	Tachykinin receptors	23	0.008
PCA	Tachykinin receptors	22	0.008
PCA	Tachykinin receptors	0	0.008
PCA	Tachykinin receptors	19	0.008
PCA	Tachykinin receptors	13	0.008
PCA	Tachykinin receptors	12	0.008
PCA	Tachykinin receptors	11	0.008
PCA	Tachykinin receptors	10	0.008
PCA	Tachykinin receptors	9	0.008
PCA	Tachykinin receptors	33	0.006
PCA	Tachykinin receptors	29	0.003
PCA	Tachykinin receptors	30	0.003
PCA	Tachykinin receptors	3	0.001
PCA	Tachykinin receptors	31	0.001
PCA	Tachykinin receptors	2	0.001
PCA	Tachykinin receptors	18	0.0
