DimR	Family	Layer	Score
UMAP	Opioid receptors	24	0.022
UMAP	Opioid receptors	0	0.017
UMAP	Opioid receptors	1	0.016
UMAP	Opioid receptors	4	0.013
UMAP	Opioid receptors	9	0.012
UMAP	Opioid receptors	7	0.012
UMAP	Opioid receptors	21	0.011
UMAP	Opioid receptors	19	0.011
UMAP	Opioid receptors	13	0.011
UMAP	Opioid receptors	17	0.011
UMAP	Opioid receptors	8	0.011
UMAP	Opioid receptors	16	0.01
UMAP	Opioid receptors	20	0.01
UMAP	Opioid receptors	18	0.01
UMAP	Opioid receptors	10	0.009
UMAP	Opioid receptors	11	0.009
UMAP	Opioid receptors	22	0.009
UMAP	Opioid receptors	14	0.009
UMAP	Opioid receptors	12	0.009
UMAP	Opioid receptors	15	0.009
UMAP	Opioid receptors	23	0.008
UMAP	Opioid receptors	28	0.007
UMAP	Opioid receptors	6	0.002
UMAP	Opioid receptors	27	0.002
UMAP	Opioid receptors	32	0.002
UMAP	Opioid receptors	31	0.002
UMAP	Opioid receptors	29	0.002
UMAP	Opioid receptors	33	0.002
UMAP	Opioid receptors	26	0.002
UMAP	Opioid receptors	2	0.001
UMAP	Opioid receptors	30	0.001
UMAP	Opioid receptors	3	0.0
UMAP	Opioid receptors	5	0.0
UMAP	Opioid receptors	25	0.0
