DimR	Family	Layer	Score
tSNE	Acetylcholine receptors (muscarinic)	29	0.048
tSNE	Acetylcholine receptors (muscarinic)	0	0.043
tSNE	Acetylcholine receptors (muscarinic)	16	0.043
tSNE	Acetylcholine receptors (muscarinic)	12	0.04
tSNE	Acetylcholine receptors (muscarinic)	24	0.039
tSNE	Acetylcholine receptors (muscarinic)	3	0.037
tSNE	Acetylcholine receptors (muscarinic)	23	0.037
tSNE	Acetylcholine receptors (muscarinic)	14	0.037
tSNE	Acetylcholine receptors (muscarinic)	28	0.035
tSNE	Acetylcholine receptors (muscarinic)	5	0.035
tSNE	Acetylcholine receptors (muscarinic)	11	0.035
tSNE	Acetylcholine receptors (muscarinic)	22	0.033
tSNE	Acetylcholine receptors (muscarinic)	33	0.033
tSNE	Acetylcholine receptors (muscarinic)	13	0.031
tSNE	Acetylcholine receptors (muscarinic)	25	0.031
tSNE	Acetylcholine receptors (muscarinic)	10	0.03
tSNE	Acetylcholine receptors (muscarinic)	15	0.025
tSNE	Acetylcholine receptors (muscarinic)	30	0.023
tSNE	Acetylcholine receptors (muscarinic)	21	0.015
tSNE	Acetylcholine receptors (muscarinic)	6	0.015
tSNE	Acetylcholine receptors (muscarinic)	1	0.012
tSNE	Acetylcholine receptors (muscarinic)	26	0.011
tSNE	Acetylcholine receptors (muscarinic)	32	0.01
tSNE	Acetylcholine receptors (muscarinic)	2	0.01
tSNE	Acetylcholine receptors (muscarinic)	20	0.009
tSNE	Acetylcholine receptors (muscarinic)	4	0.008
tSNE	Acetylcholine receptors (muscarinic)	27	0.008
tSNE	Acetylcholine receptors (muscarinic)	8	0.007
tSNE	Acetylcholine receptors (muscarinic)	17	0.003
tSNE	Acetylcholine receptors (muscarinic)	19	0.0
tSNE	Acetylcholine receptors (muscarinic)	18	0.0
tSNE	Acetylcholine receptors (muscarinic)	31	0.0
tSNE	Acetylcholine receptors (muscarinic)	9	0.0
tSNE	Acetylcholine receptors (muscarinic)	7	0.0
