DimR	Family	Layer	Score
tSNE	Parathyroid hormone receptors	17	0.012
tSNE	Parathyroid hormone receptors	30	0.012
tSNE	Parathyroid hormone receptors	15	0.01
tSNE	Parathyroid hormone receptors	18	0.01
tSNE	Parathyroid hormone receptors	7	0.01
tSNE	Parathyroid hormone receptors	21	0.009
tSNE	Parathyroid hormone receptors	19	0.009
tSNE	Parathyroid hormone receptors	16	0.009
tSNE	Parathyroid hormone receptors	0	0.009
tSNE	Parathyroid hormone receptors	6	0.009
tSNE	Parathyroid hormone receptors	3	0.008
tSNE	Parathyroid hormone receptors	28	0.008
tSNE	Parathyroid hormone receptors	14	0.008
tSNE	Parathyroid hormone receptors	1	0.008
tSNE	Parathyroid hormone receptors	26	0.008
tSNE	Parathyroid hormone receptors	24	0.008
tSNE	Parathyroid hormone receptors	22	0.007
tSNE	Parathyroid hormone receptors	32	0.007
tSNE	Parathyroid hormone receptors	2	0.007
tSNE	Parathyroid hormone receptors	27	0.007
tSNE	Parathyroid hormone receptors	25	0.007
tSNE	Parathyroid hormone receptors	23	0.007
tSNE	Parathyroid hormone receptors	9	0.007
tSNE	Parathyroid hormone receptors	10	0.007
tSNE	Parathyroid hormone receptors	20	0.007
tSNE	Parathyroid hormone receptors	4	0.007
tSNE	Parathyroid hormone receptors	5	0.007
tSNE	Parathyroid hormone receptors	13	0.007
tSNE	Parathyroid hormone receptors	11	0.007
tSNE	Parathyroid hormone receptors	33	0.007
tSNE	Parathyroid hormone receptors	8	0.006
tSNE	Parathyroid hormone receptors	12	0.006
tSNE	Parathyroid hormone receptors	31	0.006
tSNE	Parathyroid hormone receptors	29	0.005
