DimR	Family	Layer	Score
PCA	Calcium-sensing receptors	23	0.03
PCA	Calcium-sensing receptors	0	0.029
PCA	Calcium-sensing receptors	28	0.029
PCA	Calcium-sensing receptors	22	0.029
PCA	Calcium-sensing receptors	9	0.029
PCA	Calcium-sensing receptors	10	0.029
PCA	Calcium-sensing receptors	11	0.029
PCA	Calcium-sensing receptors	24	0.027
PCA	Calcium-sensing receptors	20	0.027
PCA	Calcium-sensing receptors	19	0.027
PCA	Calcium-sensing receptors	12	0.027
PCA	Calcium-sensing receptors	13	0.027
PCA	Calcium-sensing receptors	8	0.025
PCA	Calcium-sensing receptors	14	0.024
PCA	Calcium-sensing receptors	16	0.022
PCA	Calcium-sensing receptors	17	0.021
PCA	Calcium-sensing receptors	15	0.02
PCA	Calcium-sensing receptors	7	0.02
PCA	Calcium-sensing receptors	18	0.015
PCA	Calcium-sensing receptors	5	0.013
PCA	Calcium-sensing receptors	4	0.011
PCA	Calcium-sensing receptors	6	0.009
PCA	Calcium-sensing receptors	3	0.009
PCA	Calcium-sensing receptors	26	0.008
PCA	Calcium-sensing receptors	27	0.008
PCA	Calcium-sensing receptors	25	0.008
PCA	Calcium-sensing receptors	21	0.007
PCA	Calcium-sensing receptors	2	0.006
PCA	Calcium-sensing receptors	29	0.006
PCA	Calcium-sensing receptors	30	0.006
PCA	Calcium-sensing receptors	31	0.006
PCA	Calcium-sensing receptors	32	0.006
PCA	Calcium-sensing receptors	33	0.005
PCA	Calcium-sensing receptors	1	0.004
