DimR	Family	Layer	Score
UMAP	Succinate receptor	32	0.012
UMAP	Succinate receptor	27	0.012
UMAP	Succinate receptor	26	0.012
UMAP	Succinate receptor	33	0.011
UMAP	Succinate receptor	31	0.011
UMAP	Succinate receptor	29	0.011
UMAP	Succinate receptor	30	0.01
UMAP	Succinate receptor	25	0.009
UMAP	Succinate receptor	28	0.008
UMAP	Succinate receptor	5	0.007
UMAP	Succinate receptor	24	0.006
UMAP	Succinate receptor	6	0.006
UMAP	Succinate receptor	0	0.005
UMAP	Succinate receptor	2	0.005
UMAP	Succinate receptor	3	0.004
UMAP	Succinate receptor	1	0.004
UMAP	Succinate receptor	4	0.004
UMAP	Succinate receptor	13	0.003
UMAP	Succinate receptor	12	0.003
UMAP	Succinate receptor	7	0.003
UMAP	Succinate receptor	8	0.003
UMAP	Succinate receptor	9	0.003
UMAP	Succinate receptor	10	0.003
UMAP	Succinate receptor	11	0.003
UMAP	Succinate receptor	17	0.003
UMAP	Succinate receptor	14	0.003
UMAP	Succinate receptor	22	0.003
UMAP	Succinate receptor	21	0.003
UMAP	Succinate receptor	20	0.003
UMAP	Succinate receptor	19	0.003
UMAP	Succinate receptor	18	0.003
UMAP	Succinate receptor	16	0.003
UMAP	Succinate receptor	15	0.003
UMAP	Succinate receptor	23	0.002
