DimR	Family	Layer	Score
UMAP	Neurotensin receptors	0	0.009
UMAP	Neurotensin receptors	2	0.009
UMAP	Neurotensin receptors	3	0.008
UMAP	Neurotensin receptors	1	0.008
UMAP	Neurotensin receptors	13	0.006
UMAP	Neurotensin receptors	21	0.006
UMAP	Neurotensin receptors	20	0.006
UMAP	Neurotensin receptors	19	0.006
UMAP	Neurotensin receptors	18	0.006
UMAP	Neurotensin receptors	16	0.006
UMAP	Neurotensin receptors	17	0.006
UMAP	Neurotensin receptors	9	0.006
UMAP	Neurotensin receptors	7	0.006
UMAP	Neurotensin receptors	8	0.006
UMAP	Neurotensin receptors	11	0.005
UMAP	Neurotensin receptors	12	0.005
UMAP	Neurotensin receptors	22	0.005
UMAP	Neurotensin receptors	15	0.005
UMAP	Neurotensin receptors	10	0.005
UMAP	Neurotensin receptors	14	0.005
UMAP	Neurotensin receptors	4	0.004
UMAP	Neurotensin receptors	23	0.004
UMAP	Neurotensin receptors	27	0.001
UMAP	Neurotensin receptors	32	0.001
UMAP	Neurotensin receptors	31	0.001
UMAP	Neurotensin receptors	29	0.001
UMAP	Neurotensin receptors	33	0.001
UMAP	Neurotensin receptors	26	0.001
UMAP	Neurotensin receptors	28	0.0
UMAP	Neurotensin receptors	24	0.0
UMAP	Neurotensin receptors	30	0.0
UMAP	Neurotensin receptors	5	0.0
UMAP	Neurotensin receptors	6	0.0
UMAP	Neurotensin receptors	25	0.0
