DimR	Family	Layer	Score
UMAP	Parathyroid hormone receptors	10	0.038
UMAP	Parathyroid hormone receptors	12	0.038
UMAP	Parathyroid hormone receptors	11	0.038
UMAP	Parathyroid hormone receptors	22	0.037
UMAP	Parathyroid hormone receptors	15	0.037
UMAP	Parathyroid hormone receptors	14	0.036
UMAP	Parathyroid hormone receptors	17	0.029
UMAP	Parathyroid hormone receptors	16	0.029
UMAP	Parathyroid hormone receptors	13	0.029
UMAP	Parathyroid hormone receptors	18	0.029
UMAP	Parathyroid hormone receptors	19	0.029
UMAP	Parathyroid hormone receptors	20	0.029
UMAP	Parathyroid hormone receptors	21	0.029
UMAP	Parathyroid hormone receptors	8	0.028
UMAP	Parathyroid hormone receptors	7	0.023
UMAP	Parathyroid hormone receptors	9	0.022
UMAP	Parathyroid hormone receptors	4	0.019
UMAP	Parathyroid hormone receptors	3	0.014
UMAP	Parathyroid hormone receptors	1	0.014
UMAP	Parathyroid hormone receptors	0	0.013
UMAP	Parathyroid hormone receptors	2	0.013
UMAP	Parathyroid hormone receptors	6	0.01
UMAP	Parathyroid hormone receptors	24	0.009
UMAP	Parathyroid hormone receptors	5	0.007
UMAP	Parathyroid hormone receptors	28	0.007
UMAP	Parathyroid hormone receptors	25	0.006
UMAP	Parathyroid hormone receptors	26	0.005
UMAP	Parathyroid hormone receptors	27	0.005
UMAP	Parathyroid hormone receptors	29	0.005
UMAP	Parathyroid hormone receptors	30	0.005
UMAP	Parathyroid hormone receptors	31	0.005
UMAP	Parathyroid hormone receptors	32	0.005
UMAP	Parathyroid hormone receptors	33	0.005
UMAP	Parathyroid hormone receptors	23	0.002
