DimR	Family	Layer	Score
PCA	Glucagon receptor family	23	0.158
PCA	Glucagon receptor family	22	0.154
PCA	Glucagon receptor family	9	0.151
PCA	Glucagon receptor family	28	0.151
PCA	Glucagon receptor family	11	0.151
PCA	Glucagon receptor family	10	0.151
PCA	Glucagon receptor family	12	0.144
PCA	Glucagon receptor family	19	0.14
PCA	Glucagon receptor family	13	0.14
PCA	Glucagon receptor family	20	0.14
PCA	Glucagon receptor family	24	0.14
PCA	Glucagon receptor family	8	0.131
PCA	Glucagon receptor family	14	0.128
PCA	Glucagon receptor family	16	0.118
PCA	Glucagon receptor family	17	0.114
PCA	Glucagon receptor family	15	0.107
PCA	Glucagon receptor family	7	0.105
PCA	Glucagon receptor family	5	0.068
PCA	Glucagon receptor family	33	0.062
PCA	Glucagon receptor family	4	0.061
PCA	Glucagon receptor family	27	0.046
PCA	Glucagon receptor family	25	0.045
PCA	Glucagon receptor family	26	0.041
PCA	Glucagon receptor family	21	0.04
PCA	Glucagon receptor family	30	0.035
PCA	Glucagon receptor family	29	0.034
PCA	Glucagon receptor family	31	0.033
PCA	Glucagon receptor family	32	0.032
PCA	Glucagon receptor family	18	0.021
PCA	Glucagon receptor family	6	0.02
PCA	Glucagon receptor family	3	0.007
PCA	Glucagon receptor family	2	0.001
PCA	Glucagon receptor family	1	0.0
PCA	Glucagon receptor family	0	0.0
