DimR	Family	Layer	Score
PCA	Neuropeptide Y receptors	21	0.028
PCA	Neuropeptide Y receptors	26	0.027
PCA	Neuropeptide Y receptors	25	0.025
PCA	Neuropeptide Y receptors	27	0.024
PCA	Neuropeptide Y receptors	2	0.023
PCA	Neuropeptide Y receptors	3	0.023
PCA	Neuropeptide Y receptors	33	0.019
PCA	Neuropeptide Y receptors	4	0.019
PCA	Neuropeptide Y receptors	5	0.017
PCA	Neuropeptide Y receptors	1	0.017
PCA	Neuropeptide Y receptors	7	0.013
PCA	Neuropeptide Y receptors	15	0.013
PCA	Neuropeptide Y receptors	14	0.012
PCA	Neuropeptide Y receptors	16	0.012
PCA	Neuropeptide Y receptors	17	0.012
PCA	Neuropeptide Y receptors	13	0.011
PCA	Neuropeptide Y receptors	10	0.011
PCA	Neuropeptide Y receptors	28	0.011
PCA	Neuropeptide Y receptors	8	0.011
PCA	Neuropeptide Y receptors	9	0.011
PCA	Neuropeptide Y receptors	12	0.011
PCA	Neuropeptide Y receptors	24	0.011
PCA	Neuropeptide Y receptors	20	0.011
PCA	Neuropeptide Y receptors	19	0.011
PCA	Neuropeptide Y receptors	11	0.011
PCA	Neuropeptide Y receptors	0	0.011
PCA	Neuropeptide Y receptors	22	0.01
PCA	Neuropeptide Y receptors	23	0.01
PCA	Neuropeptide Y receptors	31	0.009
PCA	Neuropeptide Y receptors	29	0.008
PCA	Neuropeptide Y receptors	30	0.007
PCA	Neuropeptide Y receptors	6	0.003
PCA	Neuropeptide Y receptors	32	0.001
PCA	Neuropeptide Y receptors	18	0.0
