DimR	Family	Layer	Score
UMAP	Chemerin receptor	22	0.037
UMAP	Chemerin receptor	15	0.037
UMAP	Chemerin receptor	14	0.036
UMAP	Chemerin receptor	17	0.029
UMAP	Chemerin receptor	18	0.029
UMAP	Chemerin receptor	13	0.029
UMAP	Chemerin receptor	19	0.029
UMAP	Chemerin receptor	16	0.029
UMAP	Chemerin receptor	20	0.029
UMAP	Chemerin receptor	21	0.029
UMAP	Chemerin receptor	8	0.028
UMAP	Chemerin receptor	7	0.023
UMAP	Chemerin receptor	9	0.022
UMAP	Chemerin receptor	6	0.01
UMAP	Chemerin receptor	24	0.009
UMAP	Chemerin receptor	28	0.007
UMAP	Chemerin receptor	5	0.007
UMAP	Chemerin receptor	25	0.006
UMAP	Chemerin receptor	26	0.005
UMAP	Chemerin receptor	29	0.005
UMAP	Chemerin receptor	30	0.005
UMAP	Chemerin receptor	31	0.005
UMAP	Chemerin receptor	32	0.005
UMAP	Chemerin receptor	27	0.005
UMAP	Chemerin receptor	0	0.005
UMAP	Chemerin receptor	2	0.005
UMAP	Chemerin receptor	33	0.005
UMAP	Chemerin receptor	1	0.004
UMAP	Chemerin receptor	4	0.004
UMAP	Chemerin receptor	3	0.004
UMAP	Chemerin receptor	12	0.003
UMAP	Chemerin receptor	11	0.003
UMAP	Chemerin receptor	10	0.003
UMAP	Chemerin receptor	23	0.002
