DimR	Family	Layer	Score
PCA	Platelet-activating factor receptor	29	0.009
PCA	Platelet-activating factor receptor	32	0.009
PCA	Platelet-activating factor receptor	31	0.009
PCA	Platelet-activating factor receptor	30	0.008
PCA	Platelet-activating factor receptor	25	0.008
PCA	Platelet-activating factor receptor	26	0.008
PCA	Platelet-activating factor receptor	27	0.008
PCA	Platelet-activating factor receptor	21	0.007
PCA	Platelet-activating factor receptor	2	0.006
PCA	Platelet-activating factor receptor	3	0.006
PCA	Platelet-activating factor receptor	6	0.006
PCA	Platelet-activating factor receptor	33	0.005
PCA	Platelet-activating factor receptor	5	0.005
PCA	Platelet-activating factor receptor	4	0.005
PCA	Platelet-activating factor receptor	7	0.004
PCA	Platelet-activating factor receptor	1	0.004
PCA	Platelet-activating factor receptor	18	0.004
PCA	Platelet-activating factor receptor	28	0.003
PCA	Platelet-activating factor receptor	24	0.003
PCA	Platelet-activating factor receptor	23	0.003
PCA	Platelet-activating factor receptor	22	0.003
PCA	Platelet-activating factor receptor	0	0.003
PCA	Platelet-activating factor receptor	20	0.003
PCA	Platelet-activating factor receptor	19	0.003
PCA	Platelet-activating factor receptor	16	0.003
PCA	Platelet-activating factor receptor	15	0.003
PCA	Platelet-activating factor receptor	14	0.003
PCA	Platelet-activating factor receptor	13	0.003
PCA	Platelet-activating factor receptor	12	0.003
PCA	Platelet-activating factor receptor	11	0.003
PCA	Platelet-activating factor receptor	10	0.003
PCA	Platelet-activating factor receptor	9	0.003
PCA	Platelet-activating factor receptor	8	0.003
PCA	Platelet-activating factor receptor	17	0.003
