DimR	Family	Layer	Score
PCA	Class A Orphans	22	0.064
PCA	Class A Orphans	17	0.052
PCA	Class A Orphans	16	0.049
PCA	Class A Orphans	21	0.041
PCA	Class A Orphans	24	0.04
PCA	Class A Orphans	20	0.04
PCA	Class A Orphans	13	0.04
PCA	Class A Orphans	19	0.04
PCA	Class A Orphans	12	0.039
PCA	Class A Orphans	15	0.038
PCA	Class A Orphans	28	0.037
PCA	Class A Orphans	9	0.037
PCA	Class A Orphans	10	0.037
PCA	Class A Orphans	11	0.037
PCA	Class A Orphans	23	0.035
PCA	Class A Orphans	26	0.022
PCA	Class A Orphans	33	0.021
PCA	Class A Orphans	25	0.017
PCA	Class A Orphans	3	0.017
PCA	Class A Orphans	14	0.017
PCA	Class A Orphans	8	0.017
PCA	Class A Orphans	5	0.016
PCA	Class A Orphans	27	0.015
PCA	Class A Orphans	2	0.006
PCA	Class A Orphans	4	0.006
PCA	Class A Orphans	0	0.005
PCA	Class A Orphans	30	0.004
PCA	Class A Orphans	29	0.003
PCA	Class A Orphans	32	0.003
PCA	Class A Orphans	31	0.002
PCA	Class A Orphans	1	0.001
PCA	Class A Orphans	18	0.0
PCA	Class A Orphans	6	0.0
PCA	Class A Orphans	7	0.0
