DimR	Family	Layer	Score
tSNE	Leukotriene receptors	7	0.031
tSNE	Leukotriene receptors	30	0.026
tSNE	Leukotriene receptors	2	0.013
tSNE	Leukotriene receptors	3	0.012
tSNE	Leukotriene receptors	1	0.012
tSNE	Leukotriene receptors	0	0.009
tSNE	Leukotriene receptors	29	0.007
tSNE	Leukotriene receptors	9	0.005
tSNE	Leukotriene receptors	10	0.005
tSNE	Leukotriene receptors	17	0.005
tSNE	Leukotriene receptors	33	0.004
tSNE	Leukotriene receptors	27	0.004
tSNE	Leukotriene receptors	23	0.004
tSNE	Leukotriene receptors	28	0.003
tSNE	Leukotriene receptors	11	0.003
tSNE	Leukotriene receptors	20	0.003
tSNE	Leukotriene receptors	19	0.002
tSNE	Leukotriene receptors	26	0.002
tSNE	Leukotriene receptors	24	0.002
tSNE	Leukotriene receptors	8	0.002
tSNE	Leukotriene receptors	14	0.002
tSNE	Leukotriene receptors	18	0.001
tSNE	Leukotriene receptors	21	0.001
tSNE	Leukotriene receptors	6	0.001
tSNE	Leukotriene receptors	16	0.001
tSNE	Leukotriene receptors	15	0.001
tSNE	Leukotriene receptors	25	0.0
tSNE	Leukotriene receptors	13	0.0
tSNE	Leukotriene receptors	12	0.0
tSNE	Leukotriene receptors	5	0.0
tSNE	Leukotriene receptors	4	0.0
tSNE	Leukotriene receptors	31	0.0
tSNE	Leukotriene receptors	32	0.0
tSNE	Leukotriene receptors	22	0.0
