DimR	Family	Layer	Score
UMAP	Motilin receptor	24	0.009
UMAP	Motilin receptor	5	0.007
UMAP	Motilin receptor	28	0.007
UMAP	Motilin receptor	6	0.006
UMAP	Motilin receptor	25	0.006
UMAP	Motilin receptor	0	0.005
UMAP	Motilin receptor	32	0.005
UMAP	Motilin receptor	31	0.005
UMAP	Motilin receptor	30	0.005
UMAP	Motilin receptor	29	0.005
UMAP	Motilin receptor	27	0.005
UMAP	Motilin receptor	26	0.005
UMAP	Motilin receptor	33	0.005
UMAP	Motilin receptor	2	0.005
UMAP	Motilin receptor	3	0.004
UMAP	Motilin receptor	1	0.004
UMAP	Motilin receptor	4	0.004
UMAP	Motilin receptor	13	0.003
UMAP	Motilin receptor	12	0.003
UMAP	Motilin receptor	7	0.003
UMAP	Motilin receptor	8	0.003
UMAP	Motilin receptor	9	0.003
UMAP	Motilin receptor	10	0.003
UMAP	Motilin receptor	11	0.003
UMAP	Motilin receptor	17	0.003
UMAP	Motilin receptor	14	0.003
UMAP	Motilin receptor	22	0.003
UMAP	Motilin receptor	21	0.003
UMAP	Motilin receptor	20	0.003
UMAP	Motilin receptor	19	0.003
UMAP	Motilin receptor	18	0.003
UMAP	Motilin receptor	16	0.003
UMAP	Motilin receptor	15	0.003
UMAP	Motilin receptor	23	0.002
