DimR	Family	Layer	Score
tSNE	Somatostatin receptors	1	0.031
tSNE	Somatostatin receptors	7	0.026
tSNE	Somatostatin receptors	18	0.026
tSNE	Somatostatin receptors	22	0.009
tSNE	Somatostatin receptors	3	0.008
tSNE	Somatostatin receptors	17	0.007
tSNE	Somatostatin receptors	0	0.006
tSNE	Somatostatin receptors	6	0.006
tSNE	Somatostatin receptors	15	0.005
tSNE	Somatostatin receptors	16	0.003
tSNE	Somatostatin receptors	10	0.002
tSNE	Somatostatin receptors	13	0.002
tSNE	Somatostatin receptors	26	0.002
tSNE	Somatostatin receptors	25	0.002
tSNE	Somatostatin receptors	23	0.002
tSNE	Somatostatin receptors	19	0.002
tSNE	Somatostatin receptors	2	0.001
tSNE	Somatostatin receptors	32	0.001
tSNE	Somatostatin receptors	28	0.001
tSNE	Somatostatin receptors	27	0.001
tSNE	Somatostatin receptors	20	0.001
tSNE	Somatostatin receptors	4	0.001
tSNE	Somatostatin receptors	5	0.001
tSNE	Somatostatin receptors	11	0.001
tSNE	Somatostatin receptors	33	0.001
tSNE	Somatostatin receptors	21	0.0
tSNE	Somatostatin receptors	8	0.0
tSNE	Somatostatin receptors	24	0.0
tSNE	Somatostatin receptors	14	0.0
tSNE	Somatostatin receptors	12	0.0
tSNE	Somatostatin receptors	29	0.0
tSNE	Somatostatin receptors	30	0.0
tSNE	Somatostatin receptors	31	0.0
tSNE	Somatostatin receptors	9	0.0
