Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2
ADGRG2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	0.7871410846710205	0.5290898084640503
LGR6	-	-	-	-	NA	classA	0.3971843123435974	0.7286078929901123
ADGRD2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	0.6559029817581177	0.653084397315979
GABBR1	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	0.5359638929367065	0.8417303562164307
LGR4	Not-coupled	-	-	-	Class A Orphans	classA	0.4039604663848877	0.7324217557907104
GABBR2	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	0.6225045919418335	0.7279824614524841
GPRC6A	Not-coupled	-	-	-	Calcium-sensing receptors	classC	0.6088141202926636	0.7130821943283081
GRM7	Coupled	-	-	-	Metabotropic glutamate receptors	classC	0.46374350786209106	0.9073309898376465
GRM4	Coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.44220858812332153	0.943074107170105
ADGRF1	-	-	-	-	NA	classB	0.6730659008026123	0.6295660734176636
GRM8	Coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.4744502902030945	0.9020658135414124
LGR5	-	-	-	-	NA	classA	0.3636865019798279	0.7208688855171204
ADGRE1	-	-	-	-	NA	classB	0.35271328687667847	0.9736932516098022
GRM3	Coupled	-	-	-	Metabotropic glutamate receptors	classC	0.46455585956573486	0.8736943602561951
GRM6	Coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.4606618285179138	0.9081332683563232
ADGRD1	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	0.6500500440597534	0.6773124933242798
GRM2	Coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.44067472219467163	0.8866915106773376
TAS1R3	-	-	-	-	NA	classC	0.5898133516311646	0.7535886764526367
TAS1R1	-	-	-	-	NA	classC	0.5026527643203735	0.8378549814224243
TAS1R2	-	-	-	-	NA	classC	0.540660560131073	0.778764009475708
ADGRE5	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	0.3479357361793518	0.9997580051422119
ADGRE2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	0.32457461953163147	1.0
GPR156	-	-	-	-	NA	classC	0.9999998807907104	0.26406699419021606
ADGRG7	-	-	-	-	NA	classB	0.6325621604919434	0.6731606721878052
SMO	Coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	0.7563469409942627	0.5751317739486694
TSHR	Not-coupled	-	-	-	Glycoprotein hormone receptors	classA	0.46955427527427673	0.5762218832969666
