Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27
ADCYAP1R1	Not-coupled	-	-	-	VIP and PACAP receptors	classB	-0.03358043922931184	-0.2487998625947214	0.07620399606878127	0.2250984383383137	0.16396093492413744	-0.03609712859047928	-0.2888001360954191	0.08749029569929336	0.11222411956591676	-0.21270396708376038	-0.406612701942474	0.221031778493506	-0.07037988892089282	0.3842937135243563	-0.29535644859207927	-0.08237017676026914	0.035028621813393376	0.09229298473165261	0.001633596168812824	0.4652638892475467	-0.14579811736215825	0.09703986842138523	0.24302291131497644	0.09013973770156687	0.048048299391028546	0.33697872142083907	-0.10479744766503425
ADORA1	Coupled	-	Coupled	-	Adenosine receptors	classA	0.017815950697249908	-0.33367001037694627	0.07152461305338172	-0.1245236665371382	0.09595788673129257	-0.13617343207312446	-0.135710737338188	0.10042233792456146	-0.11278159907764193	-0.4322122880903847	-0.3116252575963077	0.12242665960040003	-0.3552965967812787	0.25340490867816007	-0.431712945209868	-0.14489319961152006	0.03524367759091122	-0.01440594470542786	-0.18626288204284785	0.19953664720586833	-0.17810454705096151	0.14399476299808367	0.31104598769457265	-0.052825903508167134	0.041691451292658895	0.24000600006769354	0.06538879988835149
ADORA2A	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	-0.0557712942359291	-0.21379560219326055	0.14388628863950134	0.0452817990671516	0.04920918105625068	-0.06772817749402452	-0.2722750443802682	0.03718669635285294	0.05290585413309992	-0.24288721832581003	-0.2687667869849134	0.10415118548093355	-0.04961120341226929	0.30639627484050336	-0.3706374905972451	-0.05773011425467359	-0.00331007956608159	0.13053880172502028	-0.09555676402181848	0.4736563715674022	-0.19457706431331961	0.039425182738093374	0.2630884195151418	0.04421657839059204	-0.043091336635693964	0.18837620764668564	-0.13822062352618888
ADORA2B	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	0.020192918573252328	-0.24343550183883456	0.18002750021760483	0.18136915546286433	-0.060217597630807904	0.17958673742077894	-0.24759721799707096	0.09516555759247769	0.04826765080302455	-0.3429933575191998	-0.3215878979086476	0.18666554999622426	0.019356454763795064	0.3640752018864579	-0.27318519920687867	-0.19275864193084788	-0.051212138398384704	0.054638656365549314	0.18832199039743816	0.47344427311098514	-0.11588349345826468	0.12883560102034486	0.2013639817908039	0.21415473464513649	0.035454685617372965	0.2091785022296509	-0.1363595486913146
ADORA3	Coupled	-	Coupled	-	Adenosine receptors	classA	-0.1089273616273683	-0.2973465268854358	-0.08850663672475248	-0.4403170099915706	-0.3000197812699037	0.0982534972215442	0.07710419437224758	-0.35417412933048587	-0.1519306049071781	-0.012861146878324877	0.05785067031508155	-0.03310736843953838	-0.2407031352443679	-0.10117328613891714	-0.2485223327266163	-0.07068018659338753	0.04477185892245003	0.19089063802499082	0.012620657598653886	-0.08925946390930413	-0.10149713044118512	-0.1769140996904552	0.09936547971919293	0.039489687827865494	0.040446380515781234	-0.2583473559244726	0.043926390068848846
ADRA1A	Not-coupled	-	Not-coupled	-	Adrenoceptors	classA	-0.11728493574542212	-0.31546694529207653	-0.17313149301232802	-0.3698103204678827	-0.03602463841002535	0.3632375943993329	-0.09000704711583772	-0.18716370219960207	-0.20957505683274083	0.02244056986780714	-0.07257104265747272	-0.05299156729176793	-0.22106774778852817	-0.11217377949539961	-0.16325610638933669	-0.375334519783335	0.16130514825585707	0.35172893487069096	-0.043662709660802594	-0.20499621284724304	-0.0994225380806615	-0.025191156230000705	0.17144955212831375	-0.07663107497426332	-0.06801639139891144	-0.294450568527981	0.1056718927783263
ADRA1B	Not-coupled	-	-	-	Adrenoceptors	classA	-0.08638644773723593	-0.3142493164401131	-0.1638053247877299	-0.3001643177920097	-0.029531868175095267	0.3410916051167623	-0.04144338440794604	0.019602640418121625	-0.33876287944362576	-0.22833734151111407	-0.11547907595465018	-0.10273681121495365	0.00916650888914225	0.10016724716772997	-0.11745195699882859	-0.2660717606317941	0.27631259449651224	0.44609210759894213	0.29617211372895946	-0.19747283489887668	0.03848211169311211	-0.1785634979936966	0.11698955416073592	-0.33944894262983755	-0.2306688479301017	-0.16539510713263128	0.17583808506601342
ADRA1D	Not-coupled	-	-	-	Adrenoceptors	classA	-0.1308495226667817	-0.3050126965428016	-0.38676758337305633	0.016884766451518617	0.5077958436837949	-0.024849708008098787	-0.07873602719370577	-0.01457084928226046	-0.2580775654727032	0.28370325623873577	-0.035323725536070424	0.09541600843787575	-0.03417721647100069	-0.1046281709189468	-0.03532477569712115	0.03444507211964758	0.016232818224614427	-0.054484238874379594	-0.11706891081180554	-0.14323157082357907	0.46176651836763016	0.17759190524386337	0.16751562756734145	-0.029091846636797956	-0.18991260600009438	0.25968810774628676	0.2656784355880754
ADRA2A	Coupled	-	Coupled	-	Adrenoceptors	classA	-0.16374577327857237	-0.288556374281916	-0.3906515468337838	0.0029828632610922126	0.2771024279891536	0.06977285304793332	0.04385154994809991	-0.18716478630155237	-0.13352190534266026	0.25668137097622956	-0.20770946092019363	0.08049591626472646	-0.22684576526604147	-0.01179704272106582	0.06328995518201669	0.13654862030079276	0.05214594282961617	-0.24100440274512183	-0.10855376917885275	-0.07513950121555366	0.5027150931294819	0.17073632104540293	0.25883366224093735	0.03967873882132337	-0.16365884161899313	0.0964016227924204	0.20615249951393144
ADRA2B	Coupled	-	Coupled	-	Adrenoceptors	classA	-0.20330709700117794	-0.24741985746757375	-0.3478303800879456	-0.03277850548531684	0.3675339678888686	0.1198816878957625	-0.23545321888456175	-0.0032901503240097573	-0.189996452326303	0.0870696326303721	-0.19667318183425234	-0.12731190424566838	0.06747233182409358	0.021646894670674273	0.16037937298102012	0.02351811196770996	0.2187973881869049	0.06328612747704755	0.2170574843259867	-0.03338458868735681	0.557638617267399	-0.03697063070395813	0.07646578392130429	-0.15813716789294388	-0.2920058230359452	0.12283400756522246	0.16246744858293086
ADRA2C	Coupled	-	Coupled	-	Adrenoceptors	classA	-0.16464294884307076	-0.29058677891477097	-0.16150713076949252	-0.22769039533027205	0.13825760957857	0.37541494634097367	0.0033141715423652797	0.14924677018134508	0.026618267941908094	-0.25572171301876656	0.22894000182773075	-0.1900036734320696	0.16896627495274624	0.17510458607886895	0.08963629471127614	-0.23692557204631337	0.2964332992256361	0.04806228189381653	0.12959568625384793	-0.07265290886118206	-0.28717552093066123	0.13056524373195505	-0.1863819564788416	-0.26906100497547175	-0.30302199277624714	0.11023830273763824	0.07005699098768634
