Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25
ADCYAP1R1	-	-	-	-	VIP and PACAP receptors	classB	-0.26525837397646096	-0.03343473054763935	0.29751878600085296	0.1514835922268857	0.10199412625714181	0.5501925441992144	0.2885324970914323	0.4512184843368966	-0.23109229010410748	0.016487204365025664	0.20570325042263254	0.010737776652622795	0.048691181609927	-0.025421126650463303	0.2866774595590729	-0.19494297467506075	0.07769696227724672	-0.11354283241569668	-0.16775067081263642	-0.031535576787575736	0.3178463310086405	-0.031867743870770675	-0.3327438637707974	0.024916987866983153	-0.06261493881388659
ADORA1	-	-	Not-coupled	-	Adenosine receptors	classA	-0.3321587363086587	-0.0029080593817760766	0.2919040138264663	-0.012597493125017973	0.21897552010256482	0.38916501520745433	0.27340431064527954	0.3271916111363255	-0.34316439533799303	-0.20545526612005582	0.20415600148617444	-0.12663371275403668	0.05478536337487911	-0.07427145169990458	0.32438820610443825	-0.04198588734026743	0.12707884855415078	-0.48211469218014924	-0.07678270065093012	0.06963125552884752	0.07134392990231093	-0.15068950810892762	-0.14416428813661883	-0.12441429629866346	0.0975670360106414
ADORA2A	-	-	Not-coupled	-	Adenosine receptors	classA	-0.23016584611002353	-0.05947707717020719	0.2891806852215897	0.20280095353447283	0.13649066618940003	0.449722912296884	0.28541343961532883	0.2050899434127245	-0.34060989110849527	-0.11598541626296359	0.22535663848884432	0.055916576373352365	0.03099699635530118	-0.03605913656583288	0.2403088688877724	-0.21197079177990583	0.08592413789832383	-0.14788574683559047	-0.1825374769646428	-0.0238633776103358	0.2654354403212615	-0.07533179525613819	-0.3474019366341016	-0.04133518812470624	-0.011811221355310866
ADORA2B	-	-	Not-coupled	-	Adenosine receptors	classA	-0.25895454810497215	0.008827717184418705	0.39817003124390493	0.09682596629098153	0.05279630199369996	0.5341323889692514	0.24179730901826013	0.29379818204154623	-0.12085924360155498	-0.11391493295779637	0.10700346031779824	0.01683933881887687	0.0515890194613115	-0.008787750139882214	0.3541324982356951	-0.2909893581945774	0.10113862033142094	-0.11162540496024104	-0.23861695705727526	0.01044804993555444	0.2828371175839099	-0.10301358348511944	-0.31453363440291093	0.20485560133615346	-0.13894637270714932
ADORA3	-	-	Not-coupled	-	Adenosine receptors	classA	-0.29942937407601694	-0.08769241819053115	-0.12949766881813013	-0.04441153702073979	0.07535772819110945	-0.3670490586437587	0.16611552564129367	-0.44737643882220157	-0.19072033503019697	-0.18348829153110432	-0.002844547576828781	-0.07627408742042754	-0.18982181601026782	-0.261314678956044	0.0727382563727794	0.1479446784171966	0.1334485854881386	-0.25899949424155166	-0.01516406010885167	0.10662019007616089	-0.028550331391036105	-0.00035916771183112857	0.0920739502922708	0.15173564205665752	-0.04631981925628531
ADRA1A	-	-	Not-coupled	-	Adrenoceptors	classA	-0.3170714408211733	-0.09169967735780361	-0.17217144533218004	-0.010151801946112515	0.04663377051104638	-0.27816941616945645	0.204758989638118	-0.3000442457240788	-0.12258238201511847	-0.14244845622023836	0.3928226793545361	-0.10655376117246704	-0.19358941624925693	-0.15267654764557795	0.10738133747659144	0.227901749748426	0.06342656886248874	-0.22074648802537852	0.017415507787159876	0.07260019643567608	-0.16560303495152945	-0.19858895341483712	0.1427662820132974	0.10287040724737487	0.11863774417516124
ADRA1B	-	-	-	Coupled	Adrenoceptors	classA	-0.3149860108543783	-0.07233657838076239	0.08124955184340886	-0.029960252761821994	-0.0012075616701887663	0.028478410418768575	-0.0558622531001347	-0.050302572347848636	-0.04810386401273111	-0.2343676104856177	0.3841521628745417	-0.06085628910183903	-0.25693085767785045	-0.1552884490546458	0.03655160629655463	0.25234444143622536	-0.04395917214640225	-0.10924404218058471	-0.0011440102835753203	0.08781856934185268	-0.38782932542421245	-0.03580627819106472	0.036888310855796205	0.267698464561899	0.33113326348464434
ADRA1D	-	-	-	-	Adrenoceptors	classA	-0.30517018886302777	-0.11827684350348784	-0.1954910394266053	-0.12257072864573022	-0.14527312575381213	-0.1620041766125975	-0.24690648463297474	0.4877391455226833	-0.07000884858579509	0.34632243958177333	0.2955341042392189	-0.004893411123465901	0.2181061325113209	0.05148726144026536	0.1565333243866646	0.30925057418135665	-0.02303354735927371	0.1014370844760076	-0.16190495734313368	0.24770572530339358	-0.2556623517393856	0.05884816754527618	0.025544530171866527	-0.16709886112839	0.11245936109707254
ADRA2A	-	-	Coupled	-	Adrenoceptors	classA	-0.2946380127424901	-0.13981207747539193	-0.22263664927806795	-0.24606209294625012	-0.19077018366354992	-0.18879160550045346	-0.17782133688355556	0.2935882366480147	-0.017638862464657592	0.3819518413542742	0.11852341747713521	0.07644353097964661	0.13603191756235403	-0.04904072011541102	0.37189615476059806	0.2976732589687558	-0.047769645444926075	-0.05043492180933229	-0.13012192825022342	0.33806514733610743	-0.09539457448965177	0.1109457287952529	0.012644955826214289	-0.1783708945193497	0.07665025460466277
ADRA2B	-	-	Coupled	-	Adrenoceptors	classA	-0.2560174412412432	-0.1885185122701545	-0.06950516509037817	0.01733094717835067	-0.283686101125816	-0.08009806869256612	-0.4452471944382462	0.45484039822286526	-0.0026665090785978397	0.18194965652444373	0.357288458626237	0.12281745346096967	-0.030058184883421674	0.02268022038812321	0.1676496907674489	0.3039990763860299	-0.30137091095065915	0.13389999976830091	-0.14340086987293785	0.2519991125061398	-0.2369335241983621	0.053779066319967844	-0.07692764694851699	0.06787312579614106	0.1872572262177787
