Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26
ADCYAP1R1	Not-coupled	Not-coupled	-	-	VIP and PACAP receptors	classB	0.031554594812439475	0.21851099923063583	-0.054109064886242626	0.09709440638081478	0.09161287965975053	-0.024315520294985984	0.20550171071355533	0.012104315554572791	-0.10688043647370268	-0.027329145678060815	-0.0630225317854344	-0.016081144902862207	-0.34410349427678344	-0.23014200235134566	0.5098610694433324	0.3157532556795152	0.1911572876508133	-0.13881730948945822	0.29425275064293593	0.035286759045153625	0.06569401265567638	-0.13036751086736578	0.08675599087539185	0.16676886230222063	-0.19054799229422936	-0.1704278561953306
ADORA1	Not-coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	0.11493379511404124	0.36057785744492754	-0.3974090301365723	0.21698371062222765	0.11024164047412982	0.03509326029339119	0.01832398496078118	-0.16061894208567826	0.19626698158457156	0.20458496422498518	-0.042828709562371364	0.2212409478495525	-0.18022601853208617	-0.06416416696754093	0.18396845850048424	0.2738544678826276	0.30079490346036153	-0.10384765871043906	0.24972504952220637	-0.046682945275982615	0.08557916402863863	-0.39131885742578115	0.021780589016902826	0.17909501756390836	-0.12346904339341584	-0.17562352183302696
ADORA2A	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	0.0901073486985635	0.21013771774792098	-0.08800777378838448	0.03686826560140454	0.06797269009688896	-0.08342066690207198	0.14302303892967377	0.16142321997138936	0.05673480456911181	0.13196370005166347	0.0938799481076438	0.07193669133004207	-0.14722289132606864	-0.0882130034184125	0.5700143971523043	0.3094727637907849	0.10354166869534367	-0.14921953888976383	0.24251897590749893	-0.05209288309867272	0.03922429142663818	-0.278828011825168	-0.09913536211343935	0.21841923185540588	-0.08052743358849293	-0.11825105614291286
ADORA2B	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-0.015296418271788919	-0.08711453958776279	-0.0658993004235682	0.08023779487906468	0.016259418181980907	0.05914497237807778	0.12434358440540355	0.12547127860938162	0.0918102938050876	0.028588316723189185	-0.025100646648083258	-0.1397272651644673	-0.4124718937558335	-0.23339972088080355	0.5373842561062391	0.4354769003187073	0.11077238884777323	0.05245768728384328	0.2281519639461825	0.08360901076106556	0.006959593970558895	-0.10259419095933438	0.2389277924547594	0.2018649828868044	-0.18975900342758106	-0.12050585246964386
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	0.21622853785890728	0.0031840802933720655	-0.44753907402072324	0.23590394505331994	-0.05212172224196305	-0.03067341816098051	0.1251873546453658	0.03375008194880633	0.3747913564771485	0.10618028172684829	-0.1785748276697707	0.030802384778241855	0.16888097629255525	0.18192901640559792	-0.03716690809077336	0.013096156637578366	-0.02806846299482183	0.10542259800139189	-0.13933489887141667	-0.1866087997218979	-0.09000368921628998	-0.18638243297915746	0.05166630756011163	0.15030852040366313	0.052213897014234324	0.03965635070416874
ADRA1A	Coupled	Not-coupled	Not-coupled	-	Adrenoceptors	classA	0.2530477779011197	0.06347822964532694	-0.27264503394116946	0.2926146019348362	-0.06479200330166741	-0.030148347810263494	0.034590345785972046	-0.16775153318682454	0.34778570031707096	0.15747395458574823	-0.013055603251831745	0.27365071232141763	0.13852013456125273	0.07148600277499917	-0.20632431789664465	-0.09509953012914613	0.07049520971112978	-0.022351697471593015	-0.1158221899455786	-0.1598793454738234	-0.03180808453533333	-0.2757455577412211	0.11661396074548872	0.028768349695590986	0.02878672680809359	-0.008625557183976472
ADRA1B	Not-coupled	Not-coupled	-	-	Adrenoceptors	classA	0.22459058182136155	-0.1422419162561084	0.016349877387621146	0.3739995089703802	-0.1026868009545382	0.10348278508043028	0.1172781097300103	-0.03984853653899491	0.057846606100283034	0.20343079312687723	0.10363947524205365	0.3891854364080746	0.23438692661891353	0.19346861226593953	-0.3135497065979293	0.09116062947734825	-0.0287312402084693	-0.015297328028868795	0.1537989973478783	0.06686439679313506	-0.12769158677664064	-0.2774748515007729	0.23567617753053133	0.0621097773891954	-0.040693026336293	-0.0050439209206672095
ADRA1D	Not-coupled	Not-coupled	-	-	Adrenoceptors	classA	0.26445899369404874	0.16921952733666712	0.17893332167108736	0.31946272681020155	-0.29238568187497166	-0.03818247197068537	-0.15484112040353445	-0.04832416746536136	0.08823852888896055	-0.31990504815565457	-0.1748148432690397	0.1903539680938566	-0.02367287231669718	-0.08486750604755049	-0.2840507239307006	0.13869526108530747	0.1866179836565237	-0.3872754120692914	-0.11198487571778662	0.12500614497028484	-0.14749758522667558	-0.0381006714799644	0.06528083283466264	0.08604970275658477	0.1491820226326397	0.04610704123182823
ADRA2A	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	0.27627351757492413	0.33323055597966217	-0.07623517123803433	0.27641530045964596	-0.19542255030302333	-0.12387522715539302	-0.14313911716581304	-0.07672502865679114	0.04841138026984618	-0.4382247421758456	-0.28252357265972294	0.18161720391672573	-0.1921551182390039	-0.241298399198733	-0.24887623548121424	0.18056033618345826	0.1869603950845956	-0.21531595932246286	-0.15331444399558292	0.14026589801174813	-0.1265759878394456	-0.05780286872424836	0.2158311324117204	0.13860390881648774	0.11001292363665013	0.034981983024043005
ADRA2B	Not-coupled	Coupled	Coupled	-	Adrenoceptors	classA	0.3345279431797996	-0.06338284155794957	0.30961520234837026	0.2599271791469135	-0.20935822652715505	-0.11056523495145112	-0.1195459444839468	0.05220391298521178	-0.25466403196570814	-0.18838123937522513	0.02847257435581853	0.2552946616685928	0.01570192431133676	-0.19403970618499664	-0.2576493934514338	0.13188987897992427	-0.0025498954051086284	-0.16549494274233081	-0.04381561114564395	0.2493463553336677	-0.24022695414598766	-0.11314669850707382	0.24870609875882374	0.05698632606135296	0.07038861845557645	0.05775495367224107
