Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39
ADCYAP1R1	Coupled	-	-	-	VIP and PACAP receptors	classB	-0.13542010490561113	-0.02236444436454369	0.0909067285790848	-0.09187204083977292	-0.08030328884014118	-0.08310305751497603	0.34025225540596654	0.03426596187785623	0.1685821427025791	0.11509561063259377	-0.3402667269913071	-0.020233905433435777	-0.1314021032550906	0.023194437918282768	-0.1728735333009645	0.06188779229128579	-0.0894976972764794	-0.17828596361390003	0.20096382932577564	0.2855047553504244	0.3485232160517975	-0.3248946045985094	-0.09395384476491765	0.0008045218549661072	-0.023590548825106094	0.011260117682181481	-0.016699853594638575	0.0433517580954147	0.30248073143683474	0.22587037716945726	0.11219398170683934	-0.23211439109432694	-0.18064402502206398	-0.09417068604322802	0.19579015795424246	0.3416049586630072	-0.15858361237323368	0.05323833023060073	0.029458206615196873
ADORA1	Coupled	-	Coupled	-	Adenosine receptors	classA	-0.0996686263090523	-0.43395760034125325	0.3219393696290434	0.28961676880164994	0.21763813820294722	0.056554152594392414	0.2761445108609422	-0.03898103417252955	0.13796990960144326	0.008387526455483546	-0.2405131549497676	-0.012698240444525674	-0.24686284805157374	-0.2869044538449462	-0.323794755943612	-0.019660754498736385	-0.028958084758160998	-0.16674875239052864	0.24549561881749468	0.08459306586897733	-0.014192233954093691	-0.33978013621671094	-0.10927761000151076	0.11105404181501201	0.01838549637754762	0.1162555240299104	0.07120285205523143	-0.10743614753830535	0.2512098351223974	0.3453434747505169	-0.06741796673841337	-0.025901381683858964	0.03610468816451791	0.10546084738013911	0.2963412057785438	0.26499986443990686	-0.08392813122046705	-0.07104766510002712	0.239831354181421
ADORA2A	Coupled	-	Not-coupled	-	Adenosine receptors	classA	-0.2703005700192853	-0.0944516902751461	0.2826840445729271	0.021491611208249637	0.1784605297253465	0.156479348862075	0.2678030185331477	-0.08966089495245935	0.052534793869808534	0.06026234135301252	-0.12166929027818041	0.004937578018470924	0.03231206610680328	0.030146771937015045	-0.23598116321637133	-0.2040130087299919	0.10430114515066685	-0.3764118526176272	0.18774247437772945	0.19547585832520023	0.1780439157342789	-0.493718077650039	0.035580608039608	-0.06431378167886076	0.1070453527122789	0.09282444652536603	0.017487851738510227	0.07647885628448578	0.268897832648969	0.1441213870569972	-0.00996968712366869	-0.2710590683558126	-0.10569325516910899	0.21097330411610504	0.1038824539601652	0.178362696224563	-0.08516840477792402	-0.10046997544005297	0.03797547444006149
ADORA2B	Coupled	-	Not-coupled	-	Adenosine receptors	classA	-0.12795674018154823	-0.03206345437428144	-0.08589895537774078	-0.10238066204778572	0.03899582590412819	-0.056704190789071074	0.06300666810192378	0.23011905825006937	0.12661707758421964	0.16575613151805402	-0.2912605663562166	0.08044115354792056	0.0018312355336569334	0.11619149243994242	-0.19170625315413542	0.10623058731389798	-0.18567350775662003	-0.343726858143466	0.12697854727940447	0.18129061096811044	0.3396704082824192	-0.3525592873382612	-0.3277205270972642	0.15783946371208912	-0.044597740858600125	-0.1231294999814394	-0.09220582111310198	-0.09459751416197519	0.22626158415574077	0.25438742334996206	-0.11396739840865108	-0.18829682773039336	-0.23301649812054576	0.0530459313642851	0.13926541294027966	0.4499211607220198	-0.008788127583469238	0.1276096516885919	-0.10114698655493322
ADORA3	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	-0.11064818202599697	-0.3620289248816548	-0.1416242722475044	0.42881130973421794	0.17060645413332487	0.20041411400741457	-0.2860584560177486	-0.00373730764498164	0.12054449558651505	0.22022815745745128	-0.18727610137817816	-0.15631671829084898	0.10404790872358222	0.17061682079977622	0.04517023643363684	-0.14760576085999705	-0.039676327291408645	0.0326731943639956	0.03590409848467669	0.11750293443456422	0.014702589964498558	-0.047702467644757794	0.1712767926490779	0.20090962264294868	0.03679395714400004	-0.027525203220071993	-0.0028985200435823807	0.4957243841721026	-0.16410956860116957	-0.3081030476790921	-0.20027388048769626	0.09810202573942547	0.03216246502385553	-0.12217753177193118	0.18929890627926643	0.03661570397522735	-0.014517980536034744	-0.05143492069797479	-0.008276633761200254
ADRA1A	Coupled	-	Not-coupled	-	Adrenoceptors	classA	-0.09338753821775217	-0.30082017604650835	-0.15947111240290937	0.5070845861154802	0.21175506632839475	0.004268502364760191	-0.24029803022652604	-0.015647715718675015	-0.1774341213806321	0.16488731434253895	-0.28794544851055603	0.039127396180211466	0.029783793836871228	-0.10371999007608998	0.008804389853729968	-0.13256052310698765	-0.029238796740299184	0.049167433982332254	0.04404711582417933	0.03450381883840078	0.126935089262424	0.16986701844497543	0.2984207119305315	0.0400432737261711	0.1289264669817866	0.04939468921472357	0.12168757911423211	0.31465826975503963	0.10078686812092838	-0.07063418826498771	-0.30608346729274577	0.13314658028665693	0.0561226866472762	-0.2428882548701305	0.12317588283130652	-0.047403808224080586	-0.00823360730446753	-0.09851751148179903	0.11554219434271686
ADRA1B	Coupled	-	-	-	Adrenoceptors	classA	-0.08674761231840379	-0.04518858808402723	0.06151135422505196	0.47616106215365384	0.14300580460637505	-0.26041990291639794	-0.2092620860951519	0.10969093810915757	0.05846801496732267	0.07479088339039802	-0.2134254584879393	0.1739855836863816	0.14214148197473936	-0.2034080538938923	0.06026650749558994	-0.01014000671172992	0.10479819456948865	-0.29403006201445825	0.1839908486786609	0.13288709092030182	0.24494030149834134	0.2783874272043892	0.2663808200979113	0.3311081359900908	0.003468534541317476	0.08815466112064137	0.24104708810771383	0.5284825345956282	0.17887685831590783	-0.27944891518565596	-0.0860736684595199	0.06417124528280091	0.23508566707307507	-0.0417972887474154	0.045248834489758735	-0.057409466383071046	0.22730444983435735	0.03368447141901744	0.28058560248430703
ADRA1D	Coupled	-	-	-	Adrenoceptors	classA	-0.15576228970183353	0.24854047084097172	0.09642092332593699	0.30035598370485506	-0.25772897218472396	-0.0774934561366932	0.07995999446118908	-0.1897400284101813	0.19199147703073982	-0.0772865595644522	0.0642163373977479	0.16629678649884508	-0.03602118505646655	-0.07579868844976863	-0.11389409243636245	-0.3494645801243627	-0.34028581999262714	-0.021865668704613716	-0.16642961861986474	-0.2568955564586779	0.08208552296110332	0.22457969265608524	-0.0014857107147382997	0.45076428290763704	-0.09439371380796438	0.4732927255871107	0.13994611987146155	-0.19575083839997534	0.10665988855873448	0.22955363217965846	0.03424726321124647	-0.06545116167217033	-0.21623550271166814	0.07462702946546601	0.03247914180009908	-0.06673186652122182	0.04516568389204335	-0.1406449725089956	-0.2847478202533186
ADRA2A	Not-coupled	-	Coupled	-	Adrenoceptors	classA	-0.16654439488217082	0.010832396102911267	0.007732045085772716	0.23236981872177465	-0.35107679274232567	-0.07026773595678708	-0.08133084481800618	-0.19904804287633893	0.38369164058546257	-0.039488763918020565	-0.07905748396389854	0.18479349778751683	-0.11336365228652356	0.023275874749998236	-0.119553824946601	-0.33227199899438864	-0.361298723660639	0.19334392161891778	-0.10023380686526008	-0.1776115507335107	0.2756514341444427	0.29669947279643	-0.06034077362903215	0.2118805458875707	-0.15133380081057848	0.3626048317910912	0.15962025912521713	-0.397659255330386	0.19228097986632733	0.09658553867527857	0.05798491495755869	0.06486397015387266	0.007606723298688592	-0.13490383197859201	0.12348567942799735	0.08857956817983215	0.0034328740696914343	-0.08637464652362037	-0.3390244042514062
ADRA2B	Not-coupled	-	Coupled	-	Adrenoceptors	classA	-0.28915973110532883	0.35107305693693497	0.3292759530713692	0.2106093100027062	-0.23956317034988922	-0.36987381149933196	-0.17271271393796653	-0.14941985250482429	0.18924644504888552	-0.25810997621030646	-0.10312199710560013	0.22682239724002712	0.06954469321215409	0.0080907742626013	-0.12195596719079796	-0.3798588241997511	-0.0898757659820202	-0.29711546959168744	-0.15128729025056167	-0.1589267379743315	0.04078653863942269	0.20019015858466915	0.1666090457152629	0.153249495225843	-0.18241169909523602	0.29717817500416677	0.22547937215380714	-0.17450200258448134	0.3144673329329952	0.03334425667060938	-0.05879245877114223	0.036585047574531515	-0.22896128644846	0.02288313777083762	-0.09455836427778946	-0.09363093227054786	0.1206340579575729	0.11062034116553707	0.027947229119664904
