Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64
ADCYAP1R1	-	-	-	-	VIP and PACAP receptors	classB	0.40698906391126066	0.17914250189961203	-0.06382221783446713	0.031802698531996604	-0.10468832969213479	0.02640762455105703	-0.20884096639816832	-0.30582279944918395	-0.12381364403483382	0.20437327639816857	0.02036114412005069	-0.18981169257160102	0.10256786166019734	-0.1773345147332275	0.17072059161827832	0.01867509931075795	0.06717727039619059	-0.17670751946517332	-0.21751302262180358	0.5838635814578929	0.17200580541819427	0.10920790326563888	0.007337408558099354	0.1914830021754262	0.1344268517234553	-0.21099544456509056	0.060819381654240584	-0.24969621219552304	-0.06220135214187896	0.172502700006986	-0.47773999289230806	-0.23390134287970474	-0.35641374066932047	0.25824412530866986	0.28962226223820076	-0.14428907945747352	0.0012210159189572274	-0.22600981442096102	0.1605574918771208	-0.16512937544187153	0.039574549638805925	-0.09168655790016594	-0.008442476047129695	-0.2288794342252349	0.2036490335494744	0.2722163934451388	0.07262795905197875	-0.3374511902960988	-0.09006582380607474	-0.25660642814907303	-0.07179375772851371	-0.08018613348453214	-0.08283534912269425	0.14601251991345496	0.016639105257744567	-0.17831551254898062	-0.17957543609145513	0.007222257060442397	-0.01164864400469466	-0.24672076471403023	0.03569426242833281	0.10432094602424585	-0.29774944900043826	-0.07293778833047593
ADORA1	-	-	Not-coupled	-	Adenosine receptors	classA	0.4327030012228751	-0.17137991402759986	0.02614181156756201	-0.1670813231548083	-0.03306691925258631	0.09854958768025986	0.22518999481444282	-0.029905137981711565	-0.3655788392719723	0.18375824935664667	0.11352649446729944	0.22955684816021021	0.0009292029882172393	-0.14399467185713985	0.19652066099231133	0.3709230585839342	-0.18825259987993637	0.3785953204659741	-0.08333194154490903	0.10140066677492235	0.3112669634829543	0.1251808802563255	0.13309201068000873	-0.06672219404249574	-0.14436453878429978	0.08773892311122242	-0.034008849238054605	0.11754117129050617	-0.2358460628208027	0.0009363218092254213	-0.0642606319346675	-0.20439692553294145	-0.18293593825824472	0.08791181546325258	-0.18835316381444	-0.2663505009374399	0.26565596640213845	-0.043492507100085065	0.0035428491821739997	-0.1935249974258432	-0.044126281414256466	0.005935207512639516	-0.20861897242608896	0.041738248883077124	-0.1395856566256345	-0.06471418661378912	-0.05571571765098857	-0.3453763844442109	-0.15392729350440895	-0.33739980084031096	0.1907642848388484	-0.27986419540947716	-0.3439527055816511	0.09484027517352735	0.043417786953058445	-0.03298505777231295	0.09178384912749633	-0.11117260665530868	0.11683129598466818	0.1877284023990807	-0.17618164057809466	0.004476888967354323	0.2324886578874458	0.15766445751280583
ADORA2A	-	-	Not-coupled	-	Adenosine receptors	classA	0.504016054557893	-0.14039980970945024	0.10249167169851672	0.15283157493453847	0.004858775464508897	0.16125647586234285	0.07944790644965873	0.07520448589006873	-0.06757855095038401	0.16192603996582858	-0.0025210592234615665	-0.1955951019230367	0.06686914291736784	-0.11512714948542077	0.12218410603675559	0.31350644428249547	-0.05371926432505838	-0.10250614327461874	-0.09265736714750614	0.03790859471389945	0.1408451035587672	0.15997836699056597	-0.16812159744789212	-0.08698862907765327	-0.14236726775732012	-0.22641840934541424	0.12325893896835277	-0.21299166978990727	0.1739413400888299	-0.1726701916964225	-0.20978205792563742	0.08225115630601407	-0.20531934007974798	0.0022995118133281845	0.055400455618850306	-0.2642217666297383	0.17577402615143398	-0.09269495938432361	0.4472869211222147	-0.03675416102333121	-0.3094778283280511	0.23367748827172166	0.12348864813783715	0.008546044918487353	0.14706992896228477	0.18627242924469095	0.08478768981044577	0.10654302452588878	-0.37313424329783457	-0.029529935509597604	-0.3595538984524078	-0.014614175736950901	-0.17858803294647202	0.15495906148150412	-0.07441877980453704	0.12523944234327977	0.04234657315787313	-0.06828574142577722	0.06890552127095315	-0.012008468761184108	-0.13666850746937134	0.0313233660019431	0.1984471850284373	-0.02035810201414536
ADORA2B	-	-	Not-coupled	-	Adenosine receptors	classA	0.18256179264624667	0.2961731186082104	0.13022589511518512	0.08679497529710295	-0.3015936318378631	-3.882005746207895e-05	-0.42024615938371357	0.17666065398651815	0.03602041753748528	0.49971632207020655	0.019746728630556747	0.40243223313346294	-0.09790340577060107	0.510372275169759	0.1747795996368199	0.00511691331018925	0.2229496270554597	0.05457183723435522	0.1212328877384737	0.10006987840056332	0.27346684427559464	0.25055019675411533	0.1382991198127251	0.17215591997121427	-0.02198095265095771	-0.18268543611820887	0.29201389357396185	-0.005560031022068452	-0.27872039978359064	0.3531871882591254	-0.01625050113328762	-0.22986197498923425	-0.39198147649901477	0.36195586735711494	-0.1296281107805853	0.028042819608795955	-0.0036677369723433187	-0.1637223168270875	0.19056908702290654	-0.09262820142204219	0.0008972437228614357	-0.04013776332574584	0.29313124212401304	-0.10814344847854016	-0.012116329880021674	0.007898353884765312	-0.11208602986776503	-0.1569082663253464	0.03765558301775599	-0.14479283694951345	0.24941271670685786	0.047323070527936426	0.005817303520995658	-0.32800668339285804	0.04038316224709451	-0.23102945128148103	-0.11335084660691938	0.04135041528041985	-0.03933369864507558	-0.16155860877246042	-0.2084699054994027	0.043345931405111296	-0.17212446089719213	-0.14915961882207088
ADORA3	-	-	Not-coupled	-	Adenosine receptors	classA	-0.02823169711837166	0.06618256994593076	0.05290560342635229	0.10708690645359667	0.4261138398045995	-0.2644223174306017	0.26397932848330885	0.15194382574500903	0.09629698179839712	0.0908622463430491	0.6534124588342938	0.49042577641478735	-0.03144960005799699	-0.01289917572225984	-0.14900367516521054	0.23107457101721185	-0.3736359508992408	-0.17402924339746653	-0.024281694291800233	-0.006474452956302331	0.04806231247228824	-0.0985360160004838	0.06821553160048024	0.02011287939620481	-0.1487743036572886	-0.1866821660422283	-0.2509986314981367	-0.1931683884723093	0.2136736419676219	-0.2275356249196563	-0.1263963136963699	0.1630240154675536	-0.11572804687336313	0.21163190725893832	0.2534369198411629	-0.1001462417961363	-0.14053625902874323	0.12932790095203972	-0.16546708557425624	0.024558518777349176	0.36492775477258793	-0.28618295912326824	-0.056627109181045056	-0.3352434861242092	0.14518777444253392	-0.06877689006139664	-0.13636806750209568	0.04545770451930631	-0.10660473593049401	-0.06194850847489317	0.027131422580452386	-0.012542961881864616	-0.2071902145075647	-0.006028403678864768	-0.21682866251730465	-0.010399730716328973	0.17131900764805155	0.11672092470086075	-0.0912607742615671	-0.2245054475698427	-0.08742762752127989	-0.06712463513900505	-0.196734064211053	0.23318666895034829
ADRA1A	-	-	Not-coupled	-	Adrenoceptors	classA	-0.014045507766818956	-0.002734069216758907	-0.07597791796282569	-0.336863723043018	0.2111559531258898	0.055721083674092786	0.300779242091274	0.271764553376516	0.12392474619429741	-0.029264305510117956	-0.09216309487109671	0.5416407669837981	0.04680628064921593	0.20866549386559533	0.06736877864729646	0.14233258303825772	-0.1331832304454051	0.021027856766047116	-0.18843008023233657	0.09725115018861574	0.1674154472233677	-0.11366977008904176	0.20672013231627878	-0.09716633944525892	-0.035238099935147746	0.21310284731041104	0.054829513809083776	-0.12616922566912211	0.11885049702079221	-0.22572331911073437	0.16394506050110294	0.2949698546325299	-0.1205874249741904	0.09919199413241236	0.016332493436255896	0.12696615607422165	-0.10490550121632272	-0.04013161664063975	0.04283356160931864	-0.08669597225282936	0.42450166303572434	0.3196434189784448	0.024331689857852737	-0.2808813141072329	0.2011337681111904	-0.04211817995081447	-0.1195943084763364	0.2070421885346889	0.12632108120568716	-0.22512260404958023	-0.3703097691504269	-0.051258971304403225	-0.05404541795523495	-0.17271191038561326	-0.33687741834583657	-0.1702470598285396	-0.08187859750456296	-0.5017478988354132	0.013941633434495919	-0.07124447700058129	0.006982202671290391	-0.22344413008326497	-0.09585030301723914	0.008513503235839095
ADRA1B	-	-	-	Coupled	Adrenoceptors	classA	0.37494385191349505	0.1348579192633299	-0.18815049312735205	-0.17738382473043537	0.2853598231326198	-0.3205262006038209	0.5659905484603922	0.6215158854080389	0.12867105846425586	-0.0971790825068036	0.055109712862300084	-0.10073046844134573	0.17155928769594375	-0.38110661247720695	-0.2526768418103295	-0.3374245033497476	0.21271817681089947	-0.5040754803846863	0.30227035303539623	-0.07142773469058457	0.1297433318859626	0.025644393549019876	-0.15743825786830626	0.14257922542141865	0.009759297048800334	0.07314530960833175	0.0067130664631949895	0.10442246899052819	-0.2749515017776201	-0.16024250242432772	0.28255068127574584	-0.08240961021687845	-0.35057826541587633	-0.11151057215479765	-0.21863831218314903	0.20314614370115852	-0.3933589240079426	-0.13171150491369943	-0.13106078652581662	0.24074597561077085	0.0841910059555898	0.18093606687726382	0.3759266196912991	-0.26477500385466374	0.16335212652627928	-0.10810253491963327	-0.26490675948955505	0.10409507793207073	-0.13028335941105262	-0.3099609639276264	0.0751717215706427	0.08769074966177746	-0.1903801212186307	0.314598140199885	0.012697314799462362	0.0538362351511829	-0.0285611098217441	-0.09467530962220017	0.2563394947441515	0.10143107058122627	-0.06565600579483538	0.4519009505993217	-0.18934083773172491	-0.25170130744313685
ADRA1D	-	-	-	-	Adrenoceptors	classA	0.16489364345683272	0.4963275913221644	-0.26614703629280423	-0.14483835833279085	0.2774592144969657	0.5064988451842629	-0.05954066372397051	0.49830576203608046	-0.22918442300739933	-0.032489394029167916	-0.3446421042780702	0.16954635715221175	0.0702376435249093	0.17043881294114774	0.22505624132833152	-0.18313958455718995	-0.22442040840132635	0.024229920011112387	0.0873600560596411	0.37445919371442254	0.121332277208979	0.14148335605981363	0.29707961728053833	0.40257095910997165	0.2929977933781429	0.5090481060743057	-0.0008122948372314285	0.16532888873886947	-0.11904683425136255	-0.2318135705509766	-0.08113591519404961	-0.32010513189609135	0.1076702817403863	-0.01762483910474427	0.08246568432988034	-0.0747386092268132	-0.0896883807108481	-0.15041519770001097	-0.3447647002968028	0.06436441805224324	0.0243416229958285	0.0020000093805998017	-0.25711697355650154	0.3470584477874465	-0.11127887275276499	-0.11903627939400593	0.12906928239913315	0.08576358384222665	-0.09645893383394101	0.2528931073354023	-0.37798391608268445	0.0949542660305822	-0.19898549754988576	-0.06265171782880541	-0.2923294147979867	0.12428784370681199	-0.12349663898678086	0.05188402675260037	-0.09857872473183917	-0.048947585547284	-0.04547959945521765	0.056461840392215926	-0.03425515243563507	-0.10792986111068047
ADRA2A	-	-	Coupled	-	Adrenoceptors	classA	-0.046628883266048735	0.5001917332775608	-0.15970629869247777	0.31253994979003913	0.3913501914587328	0.17103577766259712	0.00436444484920305	0.13193931182385923	0.037263362498814394	0.08891243774137489	-0.038912088981573396	-0.18318640054421556	0.1458539319364593	-0.17498012407433564	0.25729225455118093	0.37710006925482276	-0.3210407447526936	-0.14028971173438654	0.007998130864316753	0.34994459488014573	0.1546150760770078	-0.345066732956354	0.04821232168376006	0.12143440668534469	0.5293544762184808	0.15128896828299124	-0.021489527835819186	-0.06608162916820746	-0.06238237432112129	0.26132340758997497	0.18493784601751612	0.3271874205988478	-0.04287226840149595	-0.04799234761650062	-0.2763025441942411	0.2649254321793384	-0.04633285149939167	-0.03866859032583242	0.09574921128263876	-0.1348135053357348	-0.12429104326686112	-0.24270771659405527	-0.1806491802427389	0.4558960059793845	-0.14446623267206585	0.027654686411265617	0.18787982618402255	-0.07906299764597914	-0.14995890959715913	-0.01017741206788139	0.34998064533988266	0.18293631349033604	-0.2333385794442675	0.37246200290001397	-0.027035443195253084	0.09291900372204497	0.08826545528359693	0.03488980322237198	-0.08198730139349458	-0.12188858703869661	0.007047965131745016	-0.12683181403578406	0.14310665436586537	0.04462877494655501
ADRA2B	-	-	Coupled	-	Adrenoceptors	classA	0.06360490466615237	-0.33087909524177406	-0.08886887131533004	0.16715759352302062	0.12550598969838045	0.23684540448431488	0.035878682296415554	0.5882758546213182	-0.2641286750408838	-0.11847244762728398	0.14984893500182125	0.25422602964059204	-0.0858282364542409	-0.13529844241918168	-0.42770519478649455	-0.18006053908089706	0.16321436022445227	-0.3926172345322588	0.22030237285456297	0.013349576574358245	0.06796027964704827	0.2770396439674759	-0.12887795010703182	0.13413961989288606	0.350366223956778	0.5371777589779199	-0.0321653525427064	0.11673253443414454	-0.011347095905194015	0.3144765587813941	-0.21985106683785244	0.012159139907118031	-0.004482246449199875	-0.1285248375330046	-0.07655267034717422	-0.06713776964086723	-0.07682396403679943	-0.2966165358099441	0.0637253812758418	-0.30955754951687625	0.025613709816273415	-0.01389383869523335	0.19716467220286982	0.3516529162696296	-0.02594316346870363	-0.03289254021786498	-0.05669694517027997	0.10709890697002111	0.041080911309620625	-0.05122464029566269	-0.14854804140115457	0.19973314553735771	-0.17552118036603162	0.044342999104075013	-0.08847337326264396	-0.1870200685317588	0.1027784154592725	0.17541507872589449	0.016594584711356747	-0.04635075621387164	0.15287441223484688	0.17530893381672263	-0.050050735299802515	-0.24389995373891316
