Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70
ADCYAP1R1	Not-coupled	-	-	-	VIP and PACAP receptors	classB	-0.27569456895762295	-0.1984066553351877	0.3559722373377277	-0.5187065852630124	-0.11443626273640883	0.05965210844297912	-0.363421590542031	-0.12152880222934631	-0.16721338324991097	-0.20986370333091872	-0.19217247173655608	-0.12452519675445703	-0.15531706834582001	0.09402384614240172	-0.2228717012639181	0.13404965336573874	0.052898736566114754	-0.06140110401236326	0.22560559953461437	-0.003099780229000035	0.23694694929047122	0.013328174033997565	-0.16776801696878266	-0.04438415662355627	-0.3396582606189333	-0.000626488152151859	-0.33106709089316144	-0.163535546480948	-0.04294269613617539	0.10187293763287109	0.0479948040365468	-0.44359935766940806	0.13156429803835704	0.281967430360164	-0.05505256889840182	0.20245838409881406	0.1663195972782763	-0.003395960712613496	-0.03699386491089177	-0.029538892309208684	0.12531825902891036	0.3594561111334998	0.1953100771386238	-0.01561061968683232	-0.0539368089982887	0.013469390509991162	-0.17762015919596144	-0.1211488499562558	-0.0073661322164045	-0.05678014305441161	0.19090369841231644	0.09247085821711931	-0.16380806248796606	0.24877946537529744	-0.33331832380147847	-0.19495197712200735	0.06323392212885126	0.198316452628276	0.14209215348418094	-0.45771363986060004	-0.12194345166839433	0.16105206119423773	-0.05652994349772352	-0.14817560414592976	-0.12371334816621321	0.15071774488856127	-0.1342285717534665	0.16510994904421541	-0.011788072052560519	-0.1883682042822236
ADORA1	Coupled	-	Coupled	-	Adenosine receptors	classA	0.09670841959239847	0.3250641377390928	0.11610737750215133	-0.34750580630593786	-0.28710327137076763	-0.17740689116971212	0.15188816363993235	-0.1664480228833074	-0.06596332578055433	0.05682952285413406	0.1883024606228937	0.21823131368251367	0.04763248053877167	0.11168044016453066	0.1475107769754836	0.20732022552075416	0.20746503960509152	-0.04716041772235347	0.23504188279305352	-0.0895957866796683	0.03521430237358399	-0.06171846583991764	0.29669559268460155	-0.2177131213906469	0.16205621839071016	0.45299496868105393	-0.05594521648376839	0.15480536073675852	-0.10412392640244979	-0.10794143644732242	0.15251498915935882	0.090049108202477	0.017373608050358716	0.11427475360886423	0.3414015264500799	-0.15435508410314577	0.12149092147814458	-0.0008017169463471954	0.2982073193442144	-0.20973900840844562	-0.12635460879956428	0.04527905419251723	-0.002171175832814651	-0.16386214424986242	-0.015011001998519853	-0.059029693724048954	-0.027084702480652135	0.25903015239403454	-0.23808741945007797	0.39264503629335973	0.0980896359338991	0.10393468039248498	-0.049847613258997725	-0.24563503955302343	-0.08964616080650059	0.0003312772222753524	0.07061435885891278	0.03340524931304146	-0.04868069485470442	-0.18261828102742392	-0.05401886183851363	-0.02067932492235198	0.02953715588550871	-0.38903256648625595	-0.01978568390462175	0.14672497907899157	-0.06119691480384889	-0.1011788630376313	-0.31030413731953854	0.03889605218645625
ADORA2A	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	0.1312695319995222	-0.036200717003864166	0.03757682834715509	-0.16631150700372138	-0.3259320852006784	-0.139078380522023	-0.3200500021206376	0.06864896977830978	0.2582052408726017	-0.10700294857166248	0.03857827781368389	0.23604004885286164	-0.06048447578329575	0.16493001718345696	0.1958470216989305	0.2648391174380423	0.19361600571940477	0.055678044821154196	0.1881362538131219	0.19345579691486753	-0.07383799884253045	-0.025159846662065534	0.3491139325889963	0.08078959301915385	0.18692435703249136	0.18332645837724787	0.024436233155859053	-0.06929776048803257	-0.22585190654249693	-0.04119324041409902	0.2421253473756361	0.23602396909066806	-0.008088551185912347	0.07118274656430144	0.26565707637738195	0.08752913541137917	0.03878723907244774	-0.3589246166111733	-0.04799154199402442	0.06645893937182902	0.030848291943061153	-0.19136350148672734	-0.22099930438035084	-0.021228634718120677	0.022083929206393644	-0.04148013033300405	-0.3160460289335357	-0.1637684719282911	0.06892564677349983	-0.02369148152274566	0.07034345194572178	-0.16843637154180935	-0.01544162668141958	0.007971124630791094	-0.3426090838621904	0.1035229546705649	-0.04560167496344211	-0.04219468909029706	0.4058015678127015	-0.18629655559360075	-0.28962673121170923	0.12463185257409547	-0.05175813953251956	-0.11438267784582386	-0.1788585232797793	0.06094749240019781	0.003734146884089335	-0.06386519616683402	-0.1592289125850457	-0.10834586774185125
ADORA2B	Not-coupled	-	Not-coupled	-	Adenosine receptors	classA	0.23540502622064802	-0.4211144609666367	0.05053617482970466	-0.5035534107822771	-0.009829196826472042	0.202973514453387	-0.12984428603251624	0.03113245175411223	-0.13258279368177336	0.04435668350358297	0.5319974094245786	0.09273556392197099	0.015339843785311374	0.009610324113129528	-0.1357165746785368	-0.2639425024188817	0.012809268995610199	0.12361072861824426	0.280654740544841	-0.1287545042706828	0.028820178066552453	0.016218274270580188	0.12876446824916526	-0.021054339024019746	-0.2123606657991165	0.25055131826052	-0.29092295292535036	-0.21258254033497495	-0.38591427769861936	0.37134027706527767	-0.2566431557401351	0.06362978898436339	0.11235828198612263	0.031195487227786194	0.06374350148350966	0.15027668174261016	0.1456842727443293	-0.05845530108862676	0.04663608812171356	-0.16748737777629108	0.23391790532705373	0.29639072248527265	-0.05010294575072797	0.3876155987352262	-0.1620341134513138	-0.33772966419390477	0.24051835422262619	0.11991204498554553	0.12014862583309778	-0.0053901447711533195	-0.01332710466095951	0.20565418556928017	0.254892012981394	0.1368928535072666	-0.03664349974783712	0.24300570875362776	-0.010286845726935978	-0.09495847765241078	-0.04606927533799855	-0.34937288751467216	0.06157738061902506	0.18181115575873957	-0.06994485520883224	-0.18872332259255808	0.07182194261134434	0.25284963960652834	0.07517406903699626	-0.10427293279543366	0.0688006972518578	-0.25640477429624614
ADORA3	Coupled	-	Not-coupled	-	Adenosine receptors	classA	0.4826187616821022	0.27449976286948274	-0.03405583862774637	-0.31617506792205063	0.0037136999469268377	-0.20993681550167298	-0.10865774654800595	-0.002302451434485432	-0.12491336452784009	0.10439406555092512	0.04356937359716064	0.028801989975051193	0.462337654847118	-0.04747281175538402	-0.02694022093156465	0.15760684607707726	0.047764668124378504	0.18329840731634392	-0.10666339977594737	-0.008950253206230198	-0.08025177959581369	-0.20164269849311153	0.2317893306521164	-0.1609045698567635	0.06411981699868614	-0.3665819364329791	-0.2455497109008428	0.11458393369775427	-0.10307572313898368	0.26133177135089586	0.00630489766701476	0.3384079873668862	-0.009890356686317608	0.02912917941900969	-0.3475446942439671	0.08541052574479627	0.027384618461507342	-0.0019711940138922	-0.21963677059164888	-0.07455332598210325	0.06392475394560201	-0.24540648892164432	0.3245912020331483	0.04187830469670091	0.06595880302126647	0.19448938264541857	0.3452170253004914	-0.3172959636314724	0.177207127534595	0.0025761018564275126	0.03379973437711529	0.11315440033336102	-0.023511014571639587	-0.03501546980806499	-0.09298875626512669	-0.12511708788970977	0.2206893037762425	-0.0004248185376152577	0.11947185865293405	0.14394277169408565	-0.2932653377419807	-0.0763184053950889	-0.07575099250935338	-0.11102818285266967	-0.13026074056415562	-0.008385194753498436	-0.029962777262001018	0.28245639849807797	0.05791409751408478	-0.004755616064731873
ADRA1A	Not-coupled	-	Not-coupled	-	Adrenoceptors	classA	0.18896035065510047	0.4652732551634474	-0.1120130212234407	-0.051092015599763126	0.2156636252473911	-0.18396912059692808	0.1709333110178811	0.040761915592105166	-0.10870584263439528	-0.043058616955646424	-0.03946676041152422	-0.09921982593517807	0.07992225396549903	-0.3454718214706872	0.201890430656687	0.0019164466589044714	0.1978065429594664	-0.008172492021004006	0.16131136828166137	0.22343279581588826	-0.03602460901492322	-0.02470870604205071	0.10893445690875384	-0.21079746643585082	-0.04430707329877574	-0.1473416846422234	0.0382251266912346	0.05064841794258167	0.1494284058449398	0.1825106691237591	-0.16430915768607599	0.022722102368602944	-0.17814228831475215	-0.010604818342297763	0.16996324107973776	-0.015052384600445315	0.43574103555717597	-0.32464072319760756	-0.15484458445621316	0.16642592165885345	0.18917222018976054	0.10776287242040608	-0.05132280205902543	0.45450787721339286	0.2914322438754603	0.07117763431511154	0.20291748851685334	-0.009508866310455708	0.36056890199875663	0.4926117303179262	-0.07040641487815472	0.017077599811387754	-0.08432344658295236	0.023838446738910703	-0.23639475535596033	-0.11368141103184581	0.14586953110061024	-0.036961643836494015	0.08212897340710391	-0.05594460545607796	0.0313662765009908	-0.05131860955682869	-0.007758061105350541	-0.08626637452468608	-0.07663841757667303	0.011563562261127409	0.05056169991534189	-0.06201997176039969	-0.04730736242260833	0.1954852829477325
ADRA1B	Not-coupled	-	-	-	Adrenoceptors	classA	-0.38547873137080924	0.6567878035376183	-0.270420113444937	0.19825271468817304	-0.1653088090624112	-0.06235359993392044	0.04819460287230287	0.14277659376464488	0.21583253044999048	0.20273999546668542	0.07710082825323257	-0.20257349932562213	-0.13659494035729253	-0.20235995399534457	-0.15351135030601165	-0.2705242956800811	0.0646454873429472	0.2086940719656533	-0.2990470120103284	-0.29163007494302534	-0.054880799991617844	-0.10469078120985084	-0.03179450779566304	-0.1254676902042127	-0.28572385663587585	-0.01599276001399994	0.16604943008974699	-0.3122794378832209	-0.16804019743642107	0.3938271419300138	-0.09439225639391279	-0.10147022382555525	-0.28275629089076587	0.39426290783382095	-0.15952367179314286	-0.05910536956162555	0.006700819527355314	-0.2994640120908444	0.06675483072938769	-0.13303477187594964	0.11728966298337244	0.2711245340170725	0.40869764704912587	-0.0282087131089915	0.19829048017867848	0.12779073130948027	0.1139682952420554	-0.18781217463996158	-0.17735521620852512	0.38889314962850546	0.10927067723428785	-0.18662123598254038	0.08323972103644174	-0.2657297944395208	0.03420869537930154	-0.09232309712280572	0.0993337625619148	-0.18573211092418582	0.5451848785701524	-0.134466270727999	-0.23812108886049016	-0.5011119625816204	-0.08251251364216762	-0.021955718176051343	-0.1960117356823771	0.12429061786524198	-0.07851558696898567	0.0477482947903307	-0.017834430880371045	-0.0773354894964963
ADRA1D	Not-coupled	-	-	-	Adrenoceptors	classA	0.36638411736926013	0.36675671075787797	0.28579958373853775	-0.23202983069355673	0.5775308984682441	-0.11900230286683385	0.24499652223304758	-0.016545745815768596	-0.22725660340273887	-0.13343158441801353	0.15013913520631242	-0.19451670866800286	0.03731053322266641	-0.02903854213127498	0.02237991909638051	-0.4934038829510151	-0.0038036964661767206	0.1246812723094504	0.3196417101661857	-0.10601110624499524	0.08005299380269768	0.06434371323172541	0.025331917851158636	0.2842701066725737	-0.18766232598736438	-0.036678894424478824	-0.13420292442402754	0.32445410849619466	0.18820172962824044	-0.26826331359683825	0.3128949872359612	-0.005787660613865725	-0.20427040108948386	0.20667365628165427	-0.03332385911398587	0.18435912340192684	-0.08640331398646062	-0.05202714565377207	-0.04682406036988083	0.09471783052936995	0.0036206475645137073	-0.003664714443327373	-0.34166260953064165	-0.2562173934422982	0.579270080330614	0.06499896247631927	-0.031212081853755156	0.277057293481335	0.29203492107810664	-0.08292266751068225	-0.05310394806696145	-0.011663536136260283	0.05215865059179479	0.13922122837525736	0.2967923883428853	0.3279826762246748	-0.12940218579318846	0.1293739989009161	-0.049980141067477356	-0.11474911715604225	0.10461701948130404	-0.18562831069898947	-0.05561249980392496	-0.0570005909576956	-0.2669489167895885	0.08264322184540826	0.04219774023444522	-0.05875442978067003	-0.1431686633072206	-0.20854511662434727
ADRA2A	Coupled	-	Coupled	-	Adrenoceptors	classA	-0.19010037423754245	0.31355691624926546	0.38772368061430745	-0.08434742611587925	0.4661649780600843	0.10471480603323124	0.17347433113206165	0.06290228145723328	0.031951052643404046	0.0960020781270306	0.04284361732630026	-0.3669645078640013	0.25368637351853085	0.2667599310554149	-0.16030921711308244	-0.2649924648444901	0.103397113400428	-0.24593034423250432	0.0033096520524950623	0.2041205562781605	0.025922902232871234	0.11810061938400196	-0.11228586935889373	-0.005289454054839071	0.28006981040408213	-0.3048963918663313	-0.2313009955357943	-0.09395230900825242	-0.04748927778611381	-0.2594334105713154	0.4441620614338886	-0.045539481833297445	-0.09467402344474218	-0.1302884518267443	-0.0783974252572041	-0.08542195845421005	-0.23973924833880386	0.27789923930961663	0.11604800799098798	-0.010429713336977951	-0.01829587146213728	0.08109894805322017	0.17706508170311322	0.23309808033444931	0.463881902954004	-0.3275035092621451	-0.19654162537730688	0.000925770305949497	-0.417584160815884	-0.07472859971633117	0.15084753485632765	0.02143135841790542	-0.1269235516684124	0.16760464850836043	0.01509863716664555	0.32362775159961243	-0.02653543014720232	-0.08615567477721378	0.22724435487695002	0.17874573116786707	-0.13073062258109389	0.11113659394441784	-0.2319211747661417	0.05075993564656278	-0.29124173764553163	-0.037097260275302836	-0.02905678400040066	-0.23250707448307922	0.013782522008131093	-0.045674505911614184
ADRA2B	Coupled	-	Coupled	-	Adrenoceptors	classA	0.14409384879483186	0.2519398967263075	-0.00988355905668738	-0.11160421968693328	-0.007841050151817	0.28286357288230435	-0.23548056075552054	-0.10541259782876723	-0.16957496424983579	-0.20810470176442775	0.12324085313954747	-0.02281433814499565	-0.017700336514834047	0.2699115848142097	0.00021566695867629977	-0.4093113601435248	0.1367063451613386	0.030920729180485832	0.03617442090997431	-0.422680560157592	-0.1302824955378633	-0.09264385458877118	-0.27065249721318746	0.25024759499442084	-0.06364780405262109	-0.1186727089909177	0.1833616956218327	0.2242858085844626	-0.014757756504721756	-0.09998599301366853	0.010339333552947309	0.35629140093526435	0.027550457727448015	0.0673348736871091	-0.014214883164843732	0.09565664671940118	-0.047065663625571186	0.08105575045303517	0.22271705564752303	0.1261479778496741	-0.3034417239631579	0.28875958412985636	-0.25881661660606925	-0.4272596737208507	0.12918432468221128	-0.33291698481827836	0.25128755549081067	-0.17109894054610686	0.21938212069814092	0.10863230025284266	0.11733620827556168	0.0340871891636162	0.1642102422393301	-0.2112421513123592	-0.08892383977518166	0.08577390081488366	0.11637421695282527	-0.04126741721944249	-0.0027593938001892948	-0.0014015059111341874	-0.06147981387472712	-0.46046932050776657	-0.41673584175565886	-0.020370123516932688	-0.1251447788994058	0.03745305878925605	-0.22088626904640327	0.15772308924676812	0.001138392150289297	-0.3225172245267472
