Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23
ADCYAP1R1	Coupled	Not-coupled	-	-	VIP and PACAP receptors	classB	-0.2143937532992975	-0.1779398379286744	-0.3805134752972612	0.2110188252946285	0.30643607874537326	0.48713144027171645	0.08541980290758133	0.1420873767309717	-0.10777195881669135	0.381796868529736	-0.1545251758544811	0.17135148601460892	0.36070001310668043	-0.09993561552393886	-0.30977060641683907	-0.024319525173639795	0.2943282830254973	-0.024451373885784878	0.18912800251236997	-0.29055511274574547	-0.06171180226085998	-0.0423706801126386	0.21220986959461438
ADORA1	Coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	-0.31206993143674144	-0.058021276850579506	-0.4552067957368097	0.1828561898648312	0.03659797644426184	0.27906152891465613	-0.006314911980010035	0.3153236341683775	-0.2479669942815295	0.267998393873878	-0.2951266333994604	0.5545165205819028	0.043848735826481855	0.11476696846528543	-0.17883975971542698	0.03781999691588793	0.12956275110705942	0.08187132522481595	0.23199772717340064	-0.16944886121350633	-0.16405999943755514	-0.08130070469448583	0.17045565553201583
ADORA2A	Coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-0.17536640691221078	-0.20952750930408734	-0.32974700224479286	0.2659849277142869	0.14558074094993856	0.318520524508	0.1103148464605155	0.16599921437215026	-0.1743545232391993	0.2401726409106628	-0.08449908186587762	0.29266614180121325	0.383628941396955	-0.1540312022016196	-0.29466095327968705	0.05036625501726978	0.29944511327645357	0.008161917179145427	0.15954237023411386	-0.11490908937424274	-0.2814562579317746	-0.0017893749774349269	0.12716494887841223
ADORA2B	Coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-0.20153708800954553	-0.16069829360919208	-0.3696751477650815	0.18349734261650508	0.28037261379038964	0.38676843165252145	0.19764851065314828	0.030495821542256284	0.13367098564778654	0.3655401899942673	-0.08515207792725717	0.22753092335425376	0.3589759557235542	-0.13864495479746702	-0.3445460622410477	0.07156176162947983	0.29757283658296846	-0.13347546056374598	0.17314768130629318	-0.3517620903342012	-0.05755335473256369	0.0157856408467303	0.23222027266642936
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-0.30568558095072096	-0.021911082926427353	0.011257273738574351	0.21204051672864177	-0.04313641235597485	-0.2870489982249338	-0.18599337083756703	0.3654223535743329	0.09988952936179542	-0.34024715530877364	0.17536587407233947	0.19773426638562736	-0.044380839118115294	0.2759505327199067	-0.05123517951386613	0.21983118218572456	-0.16967731511415748	-0.02846354893129074	-0.03222774868797207	-0.018998444128708263	0.08831243030257913	-0.04917009089436656	0.06709126765381052
ADRA1A	Coupled	Not-coupled	Not-coupled	-	Adrenoceptors	classA	-0.33201240624834016	0.005008656140485284	0.07306646357644767	0.20823232961431234	-0.08684390367426939	-0.19803788292818836	-0.18734667231659402	0.27643337380809246	0.055295407379651884	-0.229086989985571	-0.2122682537248243	0.25074376960696276	-0.20707592346459094	0.16753079515085903	-0.0010803933532351295	0.04484459304898454	-0.20652101049081167	0.12474167915661717	-0.05130387676023262	0.0436171167095226	0.0010011418445433548	-0.04261690553517964	0.01724608400225729
ADRA1B	Coupled	Not-coupled	-	-	Adrenoceptors	classA	-0.34349637197195193	0.04115536530581549	-0.01979940751570898	0.00856209625947209	-0.08774779019727388	0.0089479644495333	0.11497619948056026	0.16072896891403757	0.3351346030164713	-0.23726481269579264	-0.09324737360215317	0.3310117117717904	-0.3746568215553419	-0.14192179997596052	0.07406582643169132	0.02167562497974269	-0.25892975005085017	0.26812865070019987	-0.028415394674214174	0.0716314839292707	-0.06128956357857418	0.027458673847255585	0.08066574491937197
ADRA1D	Coupled	Not-coupled	-	-	Adrenoceptors	classA	-0.2997794998694913	-0.055705918545227766	0.10683742569232886	-0.40903890877036453	-0.17717937117297364	0.10429094541755139	-0.28475759002609685	0.018367505292652946	-0.1377572445511113	-0.08443419730157832	-0.34344166922135316	-0.19477700640618437	-0.21466662093274733	-0.11731356722224125	-0.07384063610193181	-0.032412051567626665	-0.2998164799074836	0.11047227693735526	0.004411051677607511	-0.1085795931531475	-0.2694293482407402	0.028581501186438357	0.10020632591210692
ADRA2A	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.28870232464399476	-0.08404618896829909	0.04754858497202249	-0.36889761856280445	-0.3072110166956158	0.10653770888300491	-0.37372689521818186	0.13746731784868768	-0.013657160526281248	-0.10580750812210207	-0.3089976544371599	-0.1815497933262879	-0.08132307946035007	0.09303773158518384	-0.09924546011670886	-0.012744179420776722	-0.26732365304434225	0.14353704611076662	-0.1262974157366895	-0.2445530601178658	-0.1549498733653899	0.005150885294817735	0.16696202752232273
ADRA2B	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.24987117383740937	-0.1386460665209554	0.1204272404166736	-0.48250741269339326	-0.14900390450855294	0.08230440782300788	-0.044198136312911265	-0.04044945718164874	0.21718335446954792	-0.21971139133388531	-0.30899718256411973	-0.10841116394108236	-0.10983999695027905	-0.22002031589493143	-0.0578973591515735	-0.2610480387807758	-0.26359264531912785	0.21077377016665505	-0.07401350717482136	-0.053047074205511684	-0.3302906322209233	0.0760028557822046	0.15160029834898658
