Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37
ADCYAP1R1	Not-coupled	Not-coupled	-	-	VIP and PACAP receptors	classB	-0.3009225883942148	-0.18651425572867983	-0.31790942274869965	-0.11517025975509959	-0.3059351804725169	-0.06653794814643993	-0.41646865018555623	0.1274012524973534	-0.3646252773203704	-0.03088062514848062	0.39064452146250367	0.21815705943472316	0.38176399673530775	-0.23662918592507928	-0.02645599238447777	-0.2551356894141007	0.008489049011333412	0.08519257413030544	-0.04804214221376228	-0.04098968942693027	0.14661468937543842	0.1556198971987878	0.0583917663077556	-0.01986867722770308	0.08683564803042898	0.15781708066194064	-0.047025399611961165	-0.006511822077965482	-0.03581629690326094	-0.0391729145772148	0.20231487703634368	-0.044661598532137116	0.035895652911620515	-0.11081169067944253	-0.10711910276566808	-0.11129837574276914	-0.15275118252922942
ADORA1	Not-coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	-0.24806194568401926	-0.13501403538218254	-0.033945561963825616	0.19639093000711758	-0.3464344598395558	-0.3987388105689928	0.0689748313252689	0.07812798220083551	-0.12115655165974304	0.1243473894453552	0.39322723965267836	0.11825014277134162	0.6588629844166355	0.14428127128983942	-0.024196950688324694	-0.3880691452267201	0.4093836618020637	-0.12453175102138861	0.03799130402080136	0.041606665065060014	-0.24135658625936018	-0.07099570057415308	0.0215032510776469	-0.11095454648040742	-0.054763171426119785	-0.15457210936865512	-0.015066147858250962	-0.09603251514487841	-0.11511690734415325	-0.06581269987888581	0.10294630029850557	0.2172236203132017	0.00879558054293147	-0.0869555528893769	-0.2506935125714266	-0.13933344014932317	0.01607095809434599
ADORA2A	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-0.32439232059782785	-0.3288656528946567	-0.41682101889867723	-0.09984087295343466	0.05652412436021348	0.01568496603670044	-0.038735605702951384	0.28296440703207243	-0.06790275331058646	-0.11308631742886942	0.5030359519641355	0.20546037917478602	0.12217203908124474	0.07807584041815208	0.08895645560416109	-0.2872749046751658	0.20342620292991548	0.027853709452342883	0.1944255908242987	0.15008283400653552	-0.14317381819002042	-0.3196818448311958	-0.016538180387633144	-0.09747083552539162	0.04556223661589796	-0.036998195599799645	0.12640376005456935	-0.08516922441422815	-0.005651757064653234	-0.06992454473401921	-0.0029574049974685148	0.05734430399341511	0.013726931145547254	0.09012429045217905	-0.18644146077846374	-0.03531335508000913	-0.106936870802666
ADORA2B	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-0.30785238997837033	-0.1690901019022113	-0.3500068826645211	-0.23450883352343557	-0.07668216450745521	0.08384583205989486	-0.19272060459086351	0.21684971140432233	-0.18998487269036787	-0.2573816835563935	0.06320583779265847	0.1502281389979313	0.29850369785429	-0.1572753128336177	-0.10260298675255367	-0.5214982608293576	-0.02617636591075458	0.08769011343902648	0.009674389256783874	0.16666804009584893	-0.09381101824695183	0.2576017329129594	0.07788231719435022	-0.2596207888505921	0.08892795178723187	0.19266511339170908	-0.12966149899482296	-0.2622167016733068	0.10741710710935391	-0.11368751417715849	0.1838535981093009	-0.06772488169216277	-0.06394415454315835	0.04538615966987079	-0.26067383078757955	-0.15362574423719466	-0.003089561785513588
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	-0.14497282752259832	-0.21180771713004523	0.1989800655829008	0.09649354534506117	0.21285948961774942	0.1643643752181362	0.14046714768561397	-0.10913822937795072	-0.11870852856300514	-0.09207927632614765	-0.04678591543621725	-0.22541227521536045	-0.2182734174579069	-0.27852639662760875	-0.0962466989534907	-0.05136873746339018	0.29003095042045485	0.056616958429113615	-0.03911487240375964	-0.0961895261429296	0.05710642255173431	0.037376524969935765	-0.07023312278341359	0.04821604008736209	-0.30250224488940314	0.024173981197388155	0.06167953507901859	0.44844202893252594	0.24380530853734914	0.25632469526299256	-0.0169822535700193	0.14930620506493153	-0.003540328263303926	0.31055831709628867	-0.11626674818437335	-0.24422789576634996	0.07570588509781248
ADRA1A	Coupled	Not-coupled	Not-coupled	-	Adrenoceptors	classA	-0.08895746690376187	-0.16420052676283947	0.3164263932534062	0.3257646151090072	0.17620374912938597	-0.09431625707013942	0.1884933357551513	-0.31079996141881416	-0.17136907949184282	0.03886638469412696	-0.09735937660613637	0.03931610625732249	0.12927904631845416	0.01527716109071168	0.06393528163641166	0.18820230365368484	0.35639544785871197	-0.13259319265403863	0.08952572377416365	-0.0450756178123659	0.018235775529313332	0.09402316920426855	-0.15835874098003636	-0.01581136130428875	-0.22433009321642194	-0.035322529330015416	0.04470491728451292	0.472676542800399	0.10851405575221512	0.08349878522563713	0.018878661336222877	-0.1120696861755758	0.017572631406394004	0.395520853429356	-0.11116354673913305	-0.15755841265488543	0.2567359825280827
ADRA1B	Not-coupled	Not-coupled	-	-	Adrenoceptors	classA	-0.13483030336832877	-0.14154954040842488	0.3568844553170412	0.4086142214403151	0.27455750052486133	-0.027498693983165397	0.12419947259926432	-0.4479875478458031	0.266939742485492	-0.0677759337393093	-0.08576733081187994	0.17444543355952496	0.06330157809071066	-0.14329336706046902	0.2234585192868017	0.0747517718322699	0.22898839936766682	-0.1336122825042208	0.36966901701212584	0.5180644705232113	0.16907491498390925	-0.12241286773004179	-0.23942020706196307	-0.09055933127138016	0.16807894344267707	0.09619830013497259	-0.10849230488330393	0.5436456942538955	0.3592261759674704	0.0013969782850644023	-0.022086703392300178	-0.05879189979484991	0.021350499283926277	0.24746758675971903	0.02440074007923205	-0.08237880944546955	0.12589615144618965
ADRA1D	Not-coupled	Not-coupled	-	-	Adrenoceptors	classA	-0.03247779572189871	-0.3024739948614569	0.32743610717020605	0.11514075752444757	-0.286051676710629	-0.09777826429025815	0.15076742427328768	0.16217071159280788	-0.06584255617428475	-0.06964574520425178	-0.10434586280031301	0.5048092593796928	-0.06494284625762042	0.1163812276476964	-0.15973286527312644	0.18586895766111766	-0.22313589419853866	-0.09696146971470032	-0.12139601466904244	-0.1287547452237289	-0.13347676963449953	-0.16167928064010215	0.41003460963715993	-0.033943353889810624	0.20160776208484893	-0.28523057819597997	-0.034010017210164334	0.1194372006132344	-0.11460185154247102	-0.09755951206319075	0.04222292706589842	-0.2705536755784666	-0.4806960302999727	-0.20547268588106316	-0.11891560070809744	0.1705601134941058	0.06806053387170548
ADRA2A	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.11626680160748168	-0.3133234751326939	0.28594742912143545	0.09900356931008111	-0.37566272619171975	0.16604875761058208	-0.05208327576304826	0.1247478739857598	0.43065175389921506	0.10305042304116072	-0.10792278384032979	0.34270641064453516	-0.015686751593311243	0.3345235842156144	-0.3401025494001483	0.09947193173999536	-0.10263137106068607	0.10345144665013026	-0.20185020444682789	-0.2448181786948372	-0.10912180546145904	-0.038920273235286906	0.23781521092984764	0.005265306735922076	0.20492789710090015	-0.12029212017654602	-0.07798913150425968	0.2735681492495966	-0.020431306702672535	-0.22808888336027192	0.031137688727301424	-0.29793138571777605	-0.3777065040484164	-0.31881829173041887	-0.12379005368651455	0.049620306575847	-0.03615025091672953
ADRA2B	Not-coupled	Coupled	Coupled	-	Adrenoceptors	classA	-0.11016278172098312	-0.3969156700555868	0.22888485918210144	0.035115968457957114	-0.2873918801873565	0.05898018998424734	0.023470834706960486	-0.0751772178976125	-0.04179266766030918	0.0800354212681462	-0.2874943449724678	0.5907244782553803	0.03327229914795127	0.2159607484963089	0.046769143133209554	-0.05157899806204243	-0.2158575161746294	-0.060545870073117763	0.26569531548949393	0.16460208113634292	0.043616984591255424	-0.24857569494319004	-0.13158221507188295	-0.0755354356331593	0.43260995779229233	-0.2515313202661548	-0.021871090158918062	0.16535417803729419	0.23994288792078586	0.04534132979684669	0.2135185117727986	-0.16697451948101522	-0.21596697359824224	0.02993109917964327	0.095268161275056	0.2579138630192522	0.07049316001255002
