Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46
ADCYAP1R1	-	-	-	-	VIP and PACAP receptors	classB	-0.09768257457633693	0.3055973630384494	0.19206488476552275	0.29032678140034784	-0.20697787581625887	0.2377466866894146	0.03969129323500558	-0.1475411659417139	0.04177256708449579	0.25519755919744513	0.18027223722723568	-0.20646433417468393	-0.007779354656196572	-0.006335267977310634	0.1528162646053177	-0.06368487684485188	-0.06885372942682963	0.15929014327389654	-0.015152360274298346	-0.18817983209816408	-0.11424570879939003	0.055027258942210396	0.1586306896720116	-0.08882313180803933	0.044321421140793425	-0.08357663986457516	0.7048918913786897	-0.11039358479471051	-0.10848943679829019	0.41177232446822093	-0.051598402385543925	0.11989088467704785	0.04975041205572006	0.04735301678630967	-0.022091559363426664	0.03115079971310527	0.23224222763329017	0.25299779343844747	0.13362391398022808	0.13680834524535485	-0.18671209436695194	-0.14239640018064428	0.016910680885611862	-0.0024319408299788964	-0.14885447818764738	0.25416025403981
ADORA1	-	-	Not-coupled	-	Adenosine receptors	classA	0.2638786248730231	0.05765583426226013	0.18860184255749388	-0.41704256598826994	0.06646113325278619	-0.26628569063369645	0.27228711221152424	0.11247901480099301	0.19680171746200134	0.11709699333399479	-0.08145711887083176	-0.21576068988429317	0.07166221602128282	-0.0607739573672095	-0.08106540186712526	-0.10934924220851996	-0.30555235354324334	-0.07554027705841818	0.009923670229069578	0.09267706760098574	0.012701685217937589	-0.0021902915802848137	0.0592135092544209	-0.22555777931237378	-0.056895634167169806	0.051543631091491	0.31355766545386804	-0.16109271119392116	-0.3546207068658243	0.18815258684576366	-0.15986912399292796	0.0009588126403366096	-0.024430889493215594	0.06032833034519208	0.06384101196740848	0.24618905586437337	0.14228419342204962	-0.2221369259635727	0.09028851068100147	-0.036192032890979664	-0.17430504212460948	0.21516494028101776	0.11479131749630275	-0.1457037249788172	-0.1186148525841162	0.10587899098053093
ADORA2A	-	-	Not-coupled	-	Adenosine receptors	classA	-0.061613495607361485	0.046096708873456044	-0.14106756272588078	-0.3392213256923113	-0.08989599969627	0.007029865362163963	0.08662244185866749	-0.10902158830722511	-0.14104557268479104	-0.16606989343785675	-0.22887459567462698	-0.30622486832829443	0.013039150422560722	-0.20702060020972501	0.08071295689829674	0.0009259582042093244	-0.2779633600510775	0.23376389603615633	0.017175044203057044	-0.022488071939681924	0.2843193403841916	0.06698078858661707	0.22087492096779712	0.07641917689690272	-0.1796021823513617	0.12026685554638786	0.4495220364280368	0.3093675852240188	-0.05452818152308515	0.19002291920303283	-0.24180799959777674	-0.01276579415597204	-0.22728323729261918	0.020463992112114197	0.042485032220452634	-0.08597554594884681	-0.008424492432275202	0.030832758394973094	0.19384475818975275	-0.06882114568353835	-0.05711627036706823	-0.04248249203272463	0.0740284138434623	0.09110179828612698	-0.04951795654435435	0.10281552425215773
ADORA2B	-	-	Not-coupled	-	Adenosine receptors	classA	0.3867347316661895	-0.2409962947846935	0.1464557707623048	0.27146774689414804	-0.49135169803377576	0.1495183725269295	-0.08767557990263293	-0.06256573557546526	0.0692267566717141	0.16255524179072686	-0.11517400249618359	-0.066608040922994	0.19958943392162892	-0.42596999550402403	0.2086365159302062	0.14223704778828145	0.044324144075236806	0.3462200824386655	0.006972744678168413	0.10468147868444629	0.22396640402666276	-0.01616729395806413	-0.11299451911888601	-0.060270772612497164	0.05646289317873784	-0.13437405927963056	0.16758218354913249	0.3367699941063549	-0.11145209706152173	0.09404652816102388	-0.25851831645975687	0.203582129619086	0.1706634312701494	0.012462038747572401	0.11467935691985934	-0.09029509067464164	0.263332140111122	-0.11505622594812735	-0.2734561286997901	0.2763026309199976	-0.2698186179194853	0.19128676859456029	-0.05294318989182843	-0.0569678907812454	0.03795759119643469	0.2295898581636177
ADORA3	-	-	Not-coupled	-	Adenosine receptors	classA	-0.19675507509904572	0.13436546051073459	0.5067655337133878	0.3184794685987816	0.3242182610146258	-0.27601425740976826	0.20785979920419972	0.1731043904894913	0.2289088370015171	-0.10185102461604927	-0.12921145300761047	0.012319827281204704	-0.03860627121059083	-0.0647715830623855	-0.24629749592540903	0.13676522020446485	-0.24035575770960266	0.07326844369699208	-0.046942593205681435	-0.28767093047158543	0.2500457874222092	-0.21948776628615077	-0.04326543227892282	0.09267432257590928	-0.17680681751436617	0.16697960326957803	-0.02591116884857012	-0.2805930816390507	-0.11246025994551377	-0.04181629958361353	0.339418850843976	0.0525291437814044	-0.22839996879384225	0.10448254596836455	-0.30920592521789864	-0.0011727081983132347	0.1522796826930228	0.15133696672150407	0.1480390946590489	-0.005150650114696764	-0.24080131546012962	0.16930227956463204	-0.1666925513677287	0.033783669543078466	-0.048205273164886236	-0.025724508231247604
ADRA1A	-	-	Not-coupled	-	Adrenoceptors	classA	-0.106851520020857	0.4223936325171878	-0.30206526930685307	0.08390550689917718	0.3933601289771555	0.18906292363564056	0.22114560850490994	0.18540857694606863	0.13674301927401958	-0.10508952088457289	-0.06479764579014546	-0.1014179423697448	-0.34364844247635595	-0.17036160674265635	-0.4683048736659014	0.2046732792920263	0.11905819800064855	0.2498915153566312	0.3174816180390578	-0.22104422713673585	-0.13200800283508843	0.01678924801538985	0.02009341638690787	-0.06427052916583548	0.16491622797205874	-0.1292415884679611	-0.07381594578475871	-0.18693532084455586	-0.1509621727908164	0.09794039044141209	-0.16240545785898838	-0.2643610866509938	-0.21240324329243163	0.02207799364602354	-0.13602013895800813	0.14512032775951206	-0.17195670649911363	-0.13421346114427915	-0.0014990630281581571	-0.019837444500630026	-0.16267750333773198	0.19046899458768723	-0.3389291404853935	-0.07115805844851021	0.02171743136549564	0.06902182035364093
ADRA1B	-	-	-	Coupled	Adrenoceptors	classA	-0.3891180149194707	-0.02928652663382517	-0.20980119042500514	0.28117360841615413	0.451729579979856	0.09364210316595972	0.06004598489941026	-0.1436580569317616	0.23049874488326338	-0.19907654766666785	-0.523811435319195	0.09666742095899243	-0.5074104353632053	0.01858875115701341	0.21055765148686922	0.17276414132292453	0.08723159278808082	0.014331871445574485	0.02095838794223595	0.08151335416890934	-0.007116232311593865	-0.15655566107347835	-0.06036883548032661	-0.15661936632406973	-0.26182013626447265	-0.33325896151720646	0.13649220179386523	0.20378030021073656	0.03347272089292194	0.12014746681039226	-0.12587839036579632	-0.0971341762961895	0.6835786299666687	-0.08054029240805202	-0.38240587615786836	-0.15885405514286297	-0.4707948700118275	-0.5555150962668481	0.3790329597975108	-0.0933194726416747	-0.46626152856426634	0.21675337883267293	-0.007514445072446646	0.3703820330364886	0.22572342287190247	0.1178280715675606
ADRA1D	-	-	-	-	Adrenoceptors	classA	-0.006568032709051439	-0.36330090964421996	0.010880143504412687	-0.1757937527923507	0.33985545010361423	-0.19698163646748063	0.13346017015640774	-0.31128542297271994	0.1703844588260375	0.44836751897910393	-0.1382107120774212	-0.08991213438606958	0.34883466744623576	-0.16876779194067232	-0.2860428313002497	0.06252780473799459	0.3041314215796385	-0.13416195955397553	0.25790158954400244	0.4107406120167303	-0.417483149456564	-0.06633037411878599	0.40059377128279805	-0.13583538205605664	0.17728680551918968	-0.3374178378483085	0.13741881903860573	-0.19416531128567155	-0.14343610205762433	0.015198333346030568	0.23013407459939275	-0.34906056453165435	0.10445682190202792	0.17112769270734107	-0.2319987407264753	-0.0659245133461479	0.34288992685449515	-0.11109507674546484	-0.0668104169794316	0.29252368869445583	-0.09926183479342145	-0.2706085871772102	-0.38214725904539815	0.18099553668169932	-0.09051949961669566	-0.44972746630938704
ADRA2A	-	-	Coupled	-	Adrenoceptors	classA	-0.3341565850461555	-0.2283749468654145	0.46741205123133905	-0.27210829402179815	0.18894339224254114	-0.19406873118180995	0.17562616985514082	-0.10395930951100928	-0.4689770492647281	-0.14620077152160854	0.33261875207101255	-0.11171985304035544	0.23187846428414152	-0.17237017233654633	-0.03724135652551103	0.08073856334744454	0.3459441357287391	-0.4166042785863543	-0.07403284795486528	0.18384944910396997	-0.05479434520594786	-0.19439987287163477	0.5535025124452029	-0.3588300383267947	0.1463903111864883	0.1077990545429735	0.021905651027521022	0.06495599026320653	-0.1722381604423033	0.02921133340148963	0.21609521840942397	0.0677105627345628	-0.33568850433014225	-0.0821335811377967	-0.11613287365551067	0.12291546420919483	0.03873244941515314	-0.25091715801156594	0.2839736753902499	0.16697534686931806	0.0010375331366833669	0.06636272357753185	0.002463470362306223	-0.039834512019516675	-0.0915510387770573	0.10570757500734633
ADRA2B	-	-	Coupled	-	Adrenoceptors	classA	-0.1495021534311574	-0.14764888793540637	-0.3890527263706156	-0.23726190067296876	0.19063450801169116	-0.06791690974045156	-0.26208124156103557	-0.14653292305377	-0.10167701598996745	-0.10005794259901266	-0.49690562083431133	0.2656256880588879	0.2599254467672015	0.07915768819025276	0.34830109006285814	0.3108077000281239	0.24357874455450598	-0.10879248454046753	-0.19609866570475767	0.6463318353869507	-0.3498942718280966	-0.10293030332111373	0.2930675251474804	-0.16882704429842596	-0.240785982532235	0.0378505579930552	0.1910789144822242	-0.10472983495576502	-0.038636568897043026	0.00835569959004612	-0.24044712210799332	0.14070907756645257	-0.13840590133572503	-0.10462112026857087	-0.24200208693432568	-0.20740671999228952	-0.030580090881667698	0.14476748895910443	0.04572113571584868	0.1097969564552712	-0.28714258653720015	-0.1040537367677131	-0.21658748640382938	0.3056416152924113	0.1502365491920672	0.060860062288451915
